"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CREATIVE","SM","03-Jul-2017","        123.00","        125.00","        125.10","        125.00","        125.10","        125.10","        125.05","       4800","              600240.00","          3","          0","          0.00"
"CREATIVE","SM","04-Jul-2017","        125.10","        124.50","        124.60","        117.25","        120.00","        120.00","        122.07","       8000","              976560.00","          5","       3200","         40.00"
"CREATIVE","SM","05-Jul-2017","        120.00","        122.20","        122.35","        115.10","        115.10","        115.10","        120.16","       6400","              769040.00","          4","       1600","         25.00"
"CREATIVE","SM","06-Jul-2017","        115.10","        124.00","        124.00","        116.00","        116.00","        116.00","        120.44","      12800","             1541680.00","          8","       6400","         50.00"
"CREATIVE","SM","07-Jul-2017","        116.00","        122.00","        122.25","        121.30","        121.30","        121.30","        121.85","       4800","              584880.00","          3","          0","          0.00"
"CREATIVE","SM","10-Jul-2017","        121.30","        134.00","        134.00","        133.60","        133.60","        133.60","        133.80","       4800","              642240.00","          3","          0","          0.00"
"CREATIVE","SM","11-Jul-2017","        133.60","        126.00","        126.00","        125.10","        125.10","        125.10","        125.53","       4800","              602560.00","          3","          0","          0.00"
"CREATIVE","SM","12-Jul-2017","        125.10","        122.00","        122.60","        122.00","        122.60","        122.60","        122.37","       4800","              587360.00","          3","          0","          0.00"
"CREATIVE","SM","13-Jul-2017","        122.60","        122.00","        122.50","        116.10","        116.10","        116.10","        120.70","       6400","              772480.00","          4","       1600","         25.00"
"CREATIVE","SM","14-Jul-2017","        116.10","        122.50","        122.65","        115.00","        115.00","        115.00","        120.04","       8000","              960320.00","          5","       3200","         40.00"
"CREATIVE","SM","17-Jul-2017","        115.00","        123.00","        123.00","        122.00","        122.00","        122.00","        122.50","       4800","              588000.00","          3","          0","          0.00"
"CREATIVE","SM","18-Jul-2017","        122.00","        119.00","        119.25","        117.10","        117.10","        117.10","        118.46","       6400","              758160.00","          4","       1600","         25.00"
"CREATIVE","SM","19-Jul-2017","        117.10","        122.00","        122.50","        121.50","        122.50","        122.50","        122.00","       4800","              585600.00","          3","          0","          0.00"
"CREATIVE","SM","20-Jul-2017","        122.50","        122.00","        123.00","        116.05","        116.25","        116.25","        120.40","      11200","             1348480.00","          7","       1600","         14.29"
"CREATIVE","SM","21-Jul-2017","        116.25","        123.00","        123.25","        117.00","        117.00","        117.00","        121.31","       6400","              776400.00","          4","       1600","         25.00"
"CREATIVE","SM","24-Jul-2017","        117.00","        122.50","        122.70","        115.00","        115.00","        115.00","        119.94","       9600","             1151440.00","          6","       3200","         33.33"
"CREATIVE","SM","25-Jul-2017","        115.00","        115.60","        117.00","        115.50","        117.00","        117.00","        115.90","       6400","              741760.00","          3","       6400","        100.00"
"CREATIVE","SM","26-Jul-2017","        117.00","        116.50","        117.50","        114.50","        114.50","        114.50","        116.23","      11200","             1301760.00","          6","       8000","         71.43"
"CREATIVE","SM","27-Jul-2017","        114.50","        113.70","        113.70","        113.60","        113.60","        113.60","        113.63","       4800","              545440.00","          2","       4800","        100.00"
"CREATIVE","SM","28-Jul-2017","        113.60","        115.80","        116.00","        115.50","        116.00","        116.00","        115.83","       6400","              741280.00","          4","       1600","         25.00"
"CREATIVE","SM","31-Jul-2017","        116.00","        121.80","        121.80","        113.00","        113.00","        113.00","        116.28","      11200","             1302320.00","          7","       3200","         28.57"
"CREATIVE","SM","01-Aug-2017","        113.00","        113.50","        115.75","        113.00","        113.00","        113.00","        114.09","      14400","             1642960.00","          6","       9600","         66.67"
