"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CYIENT","EQ","03-Apr-2017","        467.50","        470.00","        474.90","        464.00","        464.05","        465.35","        467.81","      17759","             8307831.85","       1539","      12922","         72.76"
"CYIENT","EQ","05-Apr-2017","        465.35","        494.00","        509.00","        480.20","        482.00","        484.45","        490.23","     304819","           149432024.60","      14643","     112785","         37.00"
"CYIENT","EQ","06-Apr-2017","        484.45","        486.80","        493.50","        484.00","        486.00","        486.40","        488.25","      40059","            19558978.45","       2564","      20653","         51.56"
"CYIENT","EQ","07-Apr-2017","        486.40","        485.05","        486.00","        468.80","        477.00","        476.40","        476.20","      54490","            25948327.45","       5400","      36962","         67.83"
"CYIENT","EQ","10-Apr-2017","        476.40","        483.00","        484.00","        468.10","        474.00","        473.10","        474.44","     106542","            50548222.10","      13784","      78311","         73.50"
"CYIENT","EQ","11-Apr-2017","        473.10","        476.10","        478.30","        465.50","        474.50","        472.15","        472.96","     589388","           278758882.55","       4438","     569748","         96.67"
"CYIENT","EQ","12-Apr-2017","        472.15","        499.15","        499.55","        475.50","        479.00","        477.70","        484.65","     356449","           172753601.80","      10767","     118284","         33.18"
"CYIENT","EQ","13-Apr-2017","        477.70","        480.10","        484.55","        478.15","        478.60","        479.25","        480.73","      34596","            16631276.45","       1483","      18176","         52.54"
"CYIENT","EQ","17-Apr-2017","        479.25","        483.95","        484.25","        476.05","        483.80","        483.50","        482.49","      40378","            19481888.40","       1954","      24478","         60.62"
"CYIENT","EQ","18-Apr-2017","        483.50","        488.00","        493.90","        484.30","        488.00","        487.40","        489.24","     116527","            57009332.10","       4610","      89519","         76.82"
"CYIENT","EQ","19-Apr-2017","        487.40","        486.45","        498.70","        485.25","        495.85","        493.60","        492.31","     112341","            55306948.95","       4669","      74841","         66.62"
"CYIENT","EQ","20-Apr-2017","        493.60","        498.90","        509.90","        491.25","        503.00","        502.65","        502.96","    1190663","           598859337.70","      17074","     855421","         71.84"
"CYIENT","EQ","21-Apr-2017","        502.65","        509.85","        525.85","        494.40","        521.00","        520.75","        514.89","     295041","           151914393.95","      11685","     104559","         35.44"
"CYIENT","EQ","24-Apr-2017","        520.75","        524.00","        544.00","        523.00","        540.05","        540.25","        539.11","     306020","           164977615.75","      19937","     151336","         49.45"
"CYIENT","EQ","25-Apr-2017","        540.25","        545.00","        549.00","        525.10","        536.25","        535.60","        537.94","      94006","            50569261.15","       8355","      55068","         58.58"
"CYIENT","EQ","26-Apr-2017","        535.60","        539.55","        541.00","        527.70","        531.70","        533.05","        537.07","     188107","           101026339.20","       4973","     170320","         90.54"
"CYIENT","EQ","27-Apr-2017","        533.05","        535.00","        540.00","        530.15","        538.00","        537.85","        537.42","      49530","            26618593.90","       2941","      34375","         69.40"
"CYIENT","EQ","28-Apr-2017","        537.85","        535.00","        559.00","        534.95","        550.00","        547.65","        548.77","     177530","            97422291.70","       6474","      85785","         48.32"
"CYIENT","EQ","02-May-2017","        547.65","        547.00","        564.90","        544.00","        559.00","        557.10","        555.34","     147982","            82180055.00","       6709","      92375","         62.42"
"CYIENT","EQ","03-May-2017","        557.10","        560.30","        562.55","        540.10","        544.40","        547.15","        550.24","      59199","            32573843.75","       6083","      39220","         66.25"
"CYIENT","EQ","04-May-2017","        547.15","        545.00","        545.35","        526.00","        527.00","        527.70","        533.87","      46654","            24907249.65","       4556","      32687","         70.06"
"CYIENT","EQ","05-May-2017","        527.70","        530.40","        530.50","        506.00","        514.50","        513.95","        512.72","     137098","            70292289.95","       8097","     110879","         80.88"
"CYIENT","EQ","08-May-2017","        513.95","        521.00","        549.00","        519.60","        531.55","        532.70","        535.89","     222973","           119488860.45","       4798","     172637","         77.43"
"CYIENT","EQ","09-May-2017","        532.70","        530.05","        543.40","        528.00","        535.00","        533.30","        534.77","      80693","            43152092.50","       2248","      60324","         74.76"
"CYIENT","EQ","10-May-2017","        533.30","        536.70","        555.45","        532.00","        534.90","        535.10","        543.94","      62327","            33902373.80","       3660","      34831","         55.88"
"CYIENT","EQ","11-May-2017","        535.10","        538.00","        542.00","        526.60","        535.00","        531.00","        534.64","      25059","            13397456.10","       1487","      15703","         62.66"
"CYIENT","EQ","12-May-2017","        531.00","        534.00","        536.00","        526.35","        527.65","        529.00","        531.23","      30344","            16119738.20","       1670","      16793","         55.34"
"CYIENT","EQ","15-May-2017","        529.00","        530.70","        535.00","        525.20","        531.00","        531.75","        531.89","      36440","            19381981.55","       2680","      23125","         63.46"
"CYIENT","EQ","16-May-2017","        531.75","        531.00","        542.45","        530.75","        538.90","        539.05","        538.93","      50516","            27224685.85","       2715","      36154","         71.57"
"CYIENT","EQ","17-May-2017","        539.05","        538.90","        538.90","        526.00","        527.00","        527.30","        529.37","      22878","            12110946.65","       1606","      14822","         64.79"
"CYIENT","EQ","18-May-2017","        527.30","        530.85","        530.85","        513.30","        514.25","        516.55","        519.66","      22115","            11492205.50","       1394","      12601","         56.98"
"CYIENT","EQ","19-May-2017","        516.55","        515.95","        517.00","        510.30","        513.00","        513.50","        512.23","      45019","            23060180.75","       2366","      34783","         77.26"
"CYIENT","EQ","22-May-2017","        513.50","        513.50","        519.80","        501.00","        505.15","        505.10","        513.51","     180577","            92727784.80","       2105","     175176","         97.01"
