"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DALMIABHA","EQ","03-Jul-2017","       2469.70","       2469.70","       2539.80","       2457.05","       2522.00","       2525.85","       2494.67","      79584","           198535810.35","       6933","      33591","         42.21"
"DALMIABHA","EQ","04-Jul-2017","       2525.85","       2530.00","       2604.35","       2512.55","       2597.00","       2596.60","       2561.16","     114159","           292379466.80","       9190","      56790","         49.75"
"DALMIABHA","EQ","05-Jul-2017","       2596.60","       2599.00","       2645.00","       2590.25","       2612.00","       2608.50","       2619.73","     120020","           314419585.10","      13357","      46816","         39.01"
"DALMIABHA","EQ","06-Jul-2017","       2608.50","       2618.70","       2618.70","       2571.60","       2582.10","       2590.10","       2587.96","      69827","           180709707.55","       4757","      37598","         53.84"
"DALMIABHA","EQ","07-Jul-2017","       2590.10","       2589.70","       2610.35","       2551.10","       2570.00","       2568.65","       2579.13","      51238","           132149517.30","       5089","      20567","         40.14"
"DALMIABHA","EQ","10-Jul-2017","       2568.65","       2650.00","       2650.00","       2584.75","       2615.05","       2618.95","       2611.58","      10599","            27680120.15","        653","       7067","         66.68"
"DALMIABHA","EQ","11-Jul-2017","       2618.95","       2616.90","       2678.00","       2615.70","       2654.90","       2647.00","       2655.52","     551993","          1465826519.00","       9649","     450678","         81.65"
"DALMIABHA","EQ","12-Jul-2017","       2647.00","       2636.00","       2689.00","       2636.00","       2665.10","       2663.25","       2667.46","      49162","           131137827.20","       3653","      11537","         23.47"
"DALMIABHA","EQ","13-Jul-2017","       2663.25","       2677.00","       2717.90","       2660.45","       2713.95","       2708.80","       2689.25","     216514","           582260920.25","      12235","     143008","         66.05"
"DALMIABHA","EQ","14-Jul-2017","       2708.80","       2717.00","       2774.90","       2693.00","       2741.05","       2742.95","       2742.11","     144473","           396160581.60","       7251","      97745","         67.66"
"DALMIABHA","EQ","17-Jul-2017","       2742.95","       2769.90","       2779.75","       2720.10","       2745.05","       2750.65","       2753.62","     177566","           488949947.15","       8586","     130103","         73.27"
"DALMIABHA","EQ","18-Jul-2017","       2750.65","       2745.00","       2780.00","       2715.00","       2735.00","       2738.55","       2765.00","     177281","           490182233.10","       9102","     123903","         69.89"
"DALMIABHA","EQ","19-Jul-2017","       2738.55","       2735.00","       2784.40","       2710.00","       2724.90","       2726.20","       2750.74","     100304","           275910205.75","       6722","      41931","         41.80"
"DALMIABHA","EQ","20-Jul-2017","       2726.20","       2731.10","       2749.05","       2632.00","       2642.80","       2650.90","       2663.97","      95060","           253236882.05","       8735","      45981","         48.37"
"DALMIABHA","EQ","21-Jul-2017","       2650.90","       2659.90","       2660.80","       2612.00","       2646.00","       2645.00","       2636.74","     145897","           384692155.60","      14634","      96635","         66.24"
"DALMIABHA","EQ","24-Jul-2017","       2645.00","       2639.95","       2662.80","       2615.20","       2622.35","       2622.45","       2642.93","      47492","           125517878.45","       4353","      24651","         51.91"
