"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LALPATHLAB","EQ","03-Apr-2017","        967.55","        968.00","        993.25","        965.00","        975.50","        972.90","        977.27","     428169","           418435869.65","      16308","     288170","         67.30"
"LALPATHLAB","EQ","05-Apr-2017","        972.90","        973.50","        988.75","        967.00","        977.05","        976.30","        979.43","     146736","           143717230.25","       7868","     106690","         72.71"
"LALPATHLAB","EQ","06-Apr-2017","        976.30","        977.05","        980.00","        961.00","        967.00","        966.30","        968.31","      86518","            83776457.00","       5261","      56683","         65.52"
"LALPATHLAB","EQ","07-Apr-2017","        966.30","        964.00","        976.05","        957.45","        959.00","        960.80","        967.40","     100204","            96937517.35","       6935","      76151","         76.00"
"LALPATHLAB","EQ","10-Apr-2017","        960.80","        962.50","        971.00","        961.00","        963.15","        965.55","        965.57","      56175","            54240990.40","       5234","      42244","         75.20"
"LALPATHLAB","EQ","11-Apr-2017","        965.55","        969.80","        971.90","        941.35","        957.65","        959.25","        966.03","     123199","           119014012.70","       5355","     100700","         81.74"
"LALPATHLAB","EQ","12-Apr-2017","        959.25","        960.00","        974.10","        953.10","        968.00","        967.95","        966.48","      80445","            77748196.35","       3878","      51901","         64.52"
"LALPATHLAB","EQ","13-Apr-2017","        967.95","        970.00","        980.00","        965.05","        969.00","        969.65","        972.06","     138369","           134503513.90","       7339","     101581","         73.41"
"LALPATHLAB","EQ","17-Apr-2017","        969.65","        968.20","        975.15","        955.00","        961.00","        963.90","        966.48","      51701","            49968141.10","       2171","      39619","         76.63"
"LALPATHLAB","EQ","18-Apr-2017","        963.90","        962.50","        967.90","        949.55","        962.00","        955.25","        960.04","      55219","            53012457.10","       2700","      40359","         73.09"
"LALPATHLAB","EQ","19-Apr-2017","        955.25","        958.00","        967.40","        952.10","        966.55","        965.65","        962.84","      27976","            26936394.40","       1285","      17660","         63.13"
"LALPATHLAB","EQ","20-Apr-2017","        965.65","        965.65","        965.65","        947.95","        951.00","        949.85","        950.68","     406987","           386914779.00","       2950","     394609","         96.96"
"LALPATHLAB","EQ","21-Apr-2017","        949.85","        959.80","        959.80","        950.00","        953.90","        951.10","        953.71","      49941","            47629045.70","       1648","      38003","         76.10"
"LALPATHLAB","EQ","24-Apr-2017","        951.10","        954.00","        967.50","        954.00","        963.20","        964.30","        962.81","      39321","            37858697.90","       2178","      29302","         74.52"
"LALPATHLAB","EQ","25-Apr-2017","        964.30","        966.00","        967.00","        956.50","        960.00","        960.30","        962.28","      20434","            19663170.15","       1671","      15302","         74.88"
"LALPATHLAB","EQ","26-Apr-2017","        960.30","        961.00","        965.00","        955.05","        957.00","        960.20","        960.62","      34318","            32966452.60","       3172","      25963","         75.65"
"LALPATHLAB","EQ","27-Apr-2017","        960.20","        958.00","        961.00","        951.95","        953.00","        954.75","        956.51","      31333","            29970211.65","       2335","      25313","         80.79"
"LALPATHLAB","EQ","28-Apr-2017","        954.75","        952.00","        970.00","        950.00","        964.00","        959.90","        957.53","      58229","            55756095.65","       4609","      53152","         91.28"
"LALPATHLAB","EQ","02-May-2017","        959.90","        963.00","        968.00","        945.60","        948.25","        952.50","        955.45","      35074","            33511395.55","       1725","      26667","         76.03"
"LALPATHLAB","EQ","03-May-2017","        952.50","        953.00","        955.00","        930.00","        930.05","        935.90","        948.09","     238445","           226067362.35","       3880","     224745","         94.25"
"LALPATHLAB","EQ","04-May-2017","        935.90","        936.00","        949.00","        925.05","        925.05","        930.05","        938.20","      48299","            45314180.75","       4393","      35021","         72.51"
"LALPATHLAB","EQ","05-May-2017","        930.05","        925.05","        962.00","        925.05","        955.55","        959.25","        948.24","     177388","           168206342.35","       9126","     136285","         76.83"
"LALPATHLAB","EQ","08-May-2017","        959.25","        960.00","        965.00","        949.95","        959.90","        959.65","        956.98","      96159","            92022308.40","       2588","      84307","         87.67"
"LALPATHLAB","EQ","09-May-2017","        959.65","        959.00","        960.00","        945.00","        951.00","        951.60","        952.47","      63207","            60202824.60","       6755","      39907","         63.14"
"LALPATHLAB","EQ","10-May-2017","        951.60","        959.95","        968.00","        947.50","        962.00","        961.55","        961.44","     163678","           157366270.50","       4542","     135151","         82.57"
"LALPATHLAB","EQ","11-May-2017","        961.55","        965.00","        969.95","        955.00","        961.10","        964.00","        963.28","      66491","            64049765.45","       2426","      44766","         67.33"
"LALPATHLAB","EQ","12-May-2017","        964.00","        956.00","        961.95","        871.40","        901.00","        891.15","        908.16","     371410","           337300789.45","      15250","      89671","         24.14"
"LALPATHLAB","EQ","15-May-2017","        891.15","        895.00","        914.15","        881.00","        912.00","        900.60","        889.35","     257655","           229145315.95","      15451","     174775","         67.83"
"LALPATHLAB","EQ","16-May-2017","        900.60","        910.00","        925.00","        895.05","        909.40","        910.95","        914.57","     104896","            95934298.20","      13001","      75813","         72.27"
"LALPATHLAB","EQ","17-May-2017","        910.95","        913.00","        925.00","        909.00","        912.05","        911.70","        917.19","      72460","            66459596.40","       2802","      53829","         74.29"
"LALPATHLAB","EQ","18-May-2017","        911.70","        908.00","        919.35","        903.05","        906.00","        909.75","        914.12","      37707","            34468891.25","       2731","      24836","         65.87"
"LALPATHLAB","EQ","19-May-2017","        909.75","        917.00","        917.00","        905.80","        910.00","        910.25","        910.61","      81082","            73833750.25","       4430","      69926","         86.24"
