"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EIMCOELECO","BE","03-Apr-2017","        478.00","        470.00","        499.90","        470.00","        487.00","        483.55","        483.66","       3356","             1623160.85","         39","-","-"
"EIMCOELECO","BE","05-Apr-2017","        483.55","        480.00","        494.00","        480.00","        481.00","        481.35","        485.58","        780","              378755.90","         14","-","-"
"EIMCOELECO","BE","06-Apr-2017","        481.35","        472.00","        485.00","        472.00","        480.00","        480.00","        478.60","        125","               59825.00","          4","-","-"
"EIMCOELECO","BE","07-Apr-2017","        480.00","        462.00","        480.00","        460.00","        475.00","        468.35","        467.07","      10563","             4933626.40","         68","-","-"
"EIMCOELECO","BE","10-Apr-2017","        468.35","        472.00","        491.75","        470.00","        491.75","        487.35","        483.60","       2272","             1098748.45","         39","-","-"
"EIMCOELECO","BE","11-Apr-2017","        487.35","        499.00","        511.70","        494.00","        511.70","        511.70","        509.38","       2758","             1404881.10","         45","-","-"
"EIMCOELECO","BE","12-Apr-2017","        511.70","        537.00","        537.25","        518.00","        535.00","        534.95","        533.68","       9603","             5124967.30","        159","-","-"
"EIMCOELECO","BE","13-Apr-2017","        534.95","        537.25","        537.25","        511.00","        516.00","        512.35","        515.26","       8253","             4252417.60","         91","-","-"
"EIMCOELECO","BE","17-Apr-2017","        512.35","        504.00","        519.00","        491.00","        505.60","        506.85","        506.64","       4282","             2169451.65","         49","-","-"
"EIMCOELECO","BE","18-Apr-2017","        506.85","        500.00","        530.00","        500.00","        518.00","        516.35","        521.89","       3416","             1782783.20","         64","-","-"
"EIMCOELECO","BE","19-Apr-2017","        516.35","        505.05","        516.85","        505.05","        510.15","        510.10","        510.07","       5576","             2844162.85","         56","-","-"
"EIMCOELECO","BE","20-Apr-2017","        510.10","        527.90","        530.00","        515.50","        518.00","        518.00","        519.17","       3615","             1876801.75","         26","-","-"
"EIMCOELECO","BE","21-Apr-2017","        518.00","        518.00","        524.00","        512.50","        523.50","        523.50","        521.41","       6608","             3445484.00","         44","-","-"
"EIMCOELECO","BE","24-Apr-2017","        523.50","        524.00","        540.00","        512.00","        530.00","        534.95","        534.31","      17016","             9091844.75","         63","-","-"
"EIMCOELECO","BE","25-Apr-2017","        534.95","        530.00","        534.00","        510.00","        521.00","        521.00","        515.19","       3029","             1560508.60","         39","-","-"
"EIMCOELECO","BE","26-Apr-2017","        521.00","        524.00","        526.50","        515.00","        525.00","        525.55","        523.94","       1399","              732990.20","         25","-","-"
"EIMCOELECO","BE","27-Apr-2017","        525.55","        530.00","        536.00","        510.00","        522.00","        522.00","        531.45","       3330","             1769742.25","         27","-","-"
"EIMCOELECO","BE","28-Apr-2017","        522.00","        502.00","        535.00","        502.00","        534.00","        533.40","        532.25","       5709","             3038598.75","         63","-","-"
"EIMCOELECO","BE","02-May-2017","        533.40","        520.00","        524.00","        508.00","        510.00","        510.10","        517.34","       8506","             4400501.30","         38","-","-"
"EIMCOELECO","BE","03-May-2017","        510.10","        500.05","        514.00","        500.00","        508.00","        507.30","        511.78","       5430","             2778941.50","         20","-","-"
"EIMCOELECO","BE","04-May-2017","        507.30","        513.80","        513.90","        500.00","        510.00","        510.00","        508.03","        514","              261125.60","         10","-","-"
"EIMCOELECO","BE","05-May-2017","        510.00","        512.90","        520.00","        501.00","        506.00","        508.40","        507.70","       3297","             1673877.00","         75","-","-"
"EIMCOELECO","BE","08-May-2017","        508.40","        495.00","        512.90","        495.00","        508.00","        508.00","        509.15","       1144","              582473.00","         26","-","-"
"EIMCOELECO","BE","09-May-2017","        508.00","        507.00","        528.00","        507.00","        523.00","        523.00","        518.23","       4647","             2408232.10","         57","-","-"
"EIMCOELECO","BE","10-May-2017","        523.00","        505.00","        534.00","        500.00","        532.00","        525.10","        520.55","       8557","             4454340.55","         80","-","-"
"EIMCOELECO","BE","11-May-2017","        525.10","        540.00","        551.35","        531.00","        551.35","        551.35","        548.86","      33189","            18216051.35","        388","-","-"
"EIMCOELECO","BE","12-May-2017","        551.35","        574.80","        574.80","        552.05","        560.00","        562.85","        561.19","      18038","            10122767.60","        382","-","-"
"EIMCOELECO","BE","15-May-2017","        562.85","        569.00","        570.00","        560.00","        564.00","        568.35","        564.95","       6399","             3615141.90","        113","-","-"
