"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ENIL","EQ","03-Jul-2017","        897.55","        912.00","        922.00","        898.45","        906.25","        915.00","        911.31","       7637","             6959670.15","        512","       4275","         55.98"
"ENIL","EQ","04-Jul-2017","        915.00","        907.10","        985.00","        907.10","        960.00","        957.95","        956.65","      40800","            39031454.05","       2242","      20374","         49.94"
"ENIL","EQ","05-Jul-2017","        957.95","        960.00","       1005.00","        960.00","        968.00","        969.30","        981.13","      35811","            35135283.95","       2059","      18113","         50.58"
"ENIL","EQ","06-Jul-2017","        969.30","        993.95","        997.80","        960.00","        960.00","        966.55","        976.20","      12810","            12505178.45","        658","       8999","         70.25"
"ENIL","EQ","07-Jul-2017","        966.55","        970.00","        980.00","        953.00","        959.50","        957.95","        968.55","       8332","             8069958.20","        485","       5029","         60.36"
"ENIL","EQ","10-Jul-2017","        957.95","        960.00","        983.00","        960.00","        970.00","        968.60","        967.58","       1163","             1125292.35","         79","        640","         55.03"
"ENIL","EQ","11-Jul-2017","        968.60","        970.00","        980.00","        935.00","        937.80","        938.30","        955.09","       6167","             5890063.25","        430","       3805","         61.70"
"ENIL","EQ","12-Jul-2017","        938.30","        960.00","        960.00","        930.10","        933.10","        935.50","        943.07","       5869","             5534878.70","        467","       3556","         60.59"
"ENIL","EQ","13-Jul-2017","        935.50","        955.00","        955.00","        923.00","        933.50","        928.30","        936.39","       3813","             3570452.05","        280","       2353","         61.71"
"ENIL","EQ","14-Jul-2017","        928.30","        936.00","        936.70","        920.00","        932.00","        928.35","        926.46","       3805","             3525171.90","        406","       2143","         56.32"
"ENIL","EQ","17-Jul-2017","        928.35","        936.00","        944.85","        924.05","        930.05","        932.05","        934.84","       3233","             3022330.80","        330","       2050","         63.41"
"ENIL","EQ","18-Jul-2017","        932.05","        926.00","        934.30","        895.00","        908.00","        902.80","        910.39","       6779","             6171551.60","        601","       3803","         56.10"
"ENIL","EQ","19-Jul-2017","        902.80","        924.80","        924.80","        903.00","        904.05","        905.30","        907.80","       2898","             2630809.40","        230","       1688","         58.25"
"ENIL","EQ","20-Jul-2017","        905.30","        915.00","        949.00","        909.65","        919.00","        923.20","        926.24","       4961","             4595099.00","        657","       2201","         44.37"
"ENIL","EQ","21-Jul-2017","        923.20","        923.00","        937.75","        906.00","        914.00","        911.75","        918.16","       2808","             2578206.90","        236","       1624","         57.83"
"ENIL","EQ","24-Jul-2017","        911.75","        928.95","        928.95","        897.15","        900.00","        902.50","        909.70","       3883","             3532381.70","        205","       1611","         41.49"
"ENIL","EQ","25-Jul-2017","        902.50","        900.15","        934.35","        900.15","        933.00","        930.00","        924.13","       6989","             6458769.65","        645","       3218","         46.04"
"ENIL","EQ","26-Jul-2017","        930.00","        930.00","        940.00","        914.00","        934.00","        922.75","        925.59","       4575","             4234559.55","        513","       2510","         54.86"
"ENIL","EQ","27-Jul-2017","        922.75","        926.45","        926.45","        907.00","        907.05","        911.70","        917.05","       1665","             1526882.70","        144","        856","         51.41"
"ENIL","EQ","28-Jul-2017","        911.70","        926.45","        926.45","        895.00","        905.00","        905.35","        904.73","       3116","             2819131.95","        274","       1579","         50.67"
"ENIL","EQ","31-Jul-2017","        905.35","        928.90","        928.90","        904.00","        910.25","        911.85","        907.78","       2715","             2464625.00","        122","       2003","         73.78"
"ENIL","EQ","01-Aug-2017","        911.85","        919.00","        919.00","        902.00","        902.00","        902.30","        908.22","       3531","             3206939.75","        170","       2521","         71.40"
