"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EROSMEDIA","EQ","03-Apr-2017","        274.85","        276.80","        281.85","        273.10","        276.00","        276.10","        277.03","    1616217","           447739033.75","      25319","     596090","         36.88"
"EROSMEDIA","EQ","05-Apr-2017","        276.10","        276.15","        277.05","        268.00","        269.55","        270.30","        272.31","     765656","           208498254.05","      13840","     406892","         53.14"
"EROSMEDIA","EQ","06-Apr-2017","        270.30","        268.55","        268.55","        250.00","        250.30","        251.05","        255.78","    1243185","           317983508.70","      30644","     617253","         49.65"
"EROSMEDIA","EQ","07-Apr-2017","        251.05","        249.50","        261.90","        246.45","        248.90","        248.55","        255.14","    1245556","           317796379.10","      21693","     416014","         33.40"
"EROSMEDIA","EQ","10-Apr-2017","        248.55","        251.00","        258.75","        249.90","        256.90","        255.90","        255.19","     687171","           175358336.90","      13002","     247993","         36.09"
"EROSMEDIA","EQ","11-Apr-2017","        255.90","        258.00","        258.00","        252.30","        253.30","        253.30","        255.45","     751967","           192091374.10","       8865","     370364","         49.25"
"EROSMEDIA","EQ","12-Apr-2017","        253.30","        253.25","        253.30","        239.40","        241.35","        241.25","        244.15","     934125","           228062731.10","      11442","     410651","         43.96"
"EROSMEDIA","EQ","13-Apr-2017","        241.25","        242.40","        252.75","        242.10","        246.50","        248.10","        248.88","     999389","           248730856.80","      14586","     374066","         37.43"
"EROSMEDIA","EQ","17-Apr-2017","        248.10","        245.00","        247.60","        241.20","        243.75","        243.10","        243.52","     459842","           111979892.20","       5551","     298449","         64.90"
"EROSMEDIA","EQ","18-Apr-2017","        243.10","        244.95","        252.20","        237.00","        238.00","        238.55","        244.83","     829972","           203205922.75","       7247","     492861","         59.38"
"EROSMEDIA","EQ","19-Apr-2017","        238.55","        242.30","        243.80","        238.00","        241.50","        240.35","        240.74","     241575","            58156845.75","       4533","      83075","         34.39"
"EROSMEDIA","EQ","20-Apr-2017","        240.35","        242.25","        258.60","        242.20","        255.70","        255.50","        253.05","    1260763","           319035087.30","      15154","     474093","         37.60"
"EROSMEDIA","EQ","21-Apr-2017","        255.50","        259.50","        265.30","        251.10","        252.30","        252.45","        259.04","    1580239","           409338290.20","      20857","     741583","         46.93"
"EROSMEDIA","EQ","24-Apr-2017","        252.45","        252.90","        253.00","        232.65","        233.00","        236.75","        241.84","    1107250","           267780680.80","      12452","     770485","         69.59"
"EROSMEDIA","EQ","25-Apr-2017","        236.75","        234.65","        238.70","        227.50","        228.65","        229.30","        233.41","    1062829","           248077719.25","      12779","     542271","         51.02"
"EROSMEDIA","EQ","26-Apr-2017","        229.30","        231.40","        235.90","        224.10","        225.85","        225.65","        229.84","    2114008","           485880284.80","      12962","    1410927","         66.74"
"EROSMEDIA","EQ","27-Apr-2017","        225.65","        227.85","        228.60","        217.95","        218.95","        219.95","        222.17","     943883","           209705832.75","      14388","     445875","         47.24"
"EROSMEDIA","EQ","28-Apr-2017","        219.95","        219.00","        224.75","        215.00","        217.00","        216.35","        219.58","    1097448","           240973211.55","      21245","     609935","         55.58"
"EROSMEDIA","EQ","02-May-2017","        216.35","        218.60","        228.40","        216.60","        227.70","        226.20","        223.24","    1905218","           425325262.10","      22607","    1126457","         59.12"
"EROSMEDIA","EQ","03-May-2017","        226.20","        227.95","        230.65","        217.85","        219.15","        219.10","        225.11","     867728","           195335833.85","      10313","     484609","         55.85"
"EROSMEDIA","EQ","04-May-2017","        219.10","        220.85","        229.70","        220.50","        223.00","        223.10","        225.75","    1560707","           352327100.05","      16158","     383877","         24.60"
"EROSMEDIA","EQ","05-May-2017","        223.10","        223.00","        224.30","        217.75","        218.40","        218.30","        220.03","     531390","           116920626.90","       7812","     294477","         55.42"
"EROSMEDIA","EQ","08-May-2017","        218.30","        220.65","        234.10","        220.45","        230.75","        229.70","        227.97","    7057001","          1608785327.60","      36061","    3167223","         44.88"
"EROSMEDIA","EQ","09-May-2017","        229.70","        231.30","        246.30","        231.30","        241.85","        243.10","        239.25","    3517837","           841633310.80","      36564","    1274638","         36.23"
"EROSMEDIA","EQ","10-May-2017","        243.10","        244.00","        247.35","        240.20","        245.00","        245.75","        244.49","    1325341","           324028021.95","      15980","     463708","         34.99"
"EROSMEDIA","EQ","11-May-2017","        245.75","        245.05","        249.80","        239.00","        242.00","        240.75","        244.98","     880944","           215814035.00","      10951","     417418","         47.38"
"EROSMEDIA","EQ","12-May-2017","        240.75","        241.00","        242.00","        233.55","        236.10","        236.75","        236.57","     604352","           142970328.50","       8602","     265404","         43.92"
"EROSMEDIA","EQ","15-May-2017","        236.75","        236.25","        245.00","        232.65","        244.50","        244.10","        241.11","    1153453","           278114529.70","      10372","     578990","         50.20"
"EROSMEDIA","EQ","16-May-2017","        244.10","        244.80","        246.50","        238.00","        238.05","        238.70","        241.04","     473239","           114070411.25","       6010","     249989","         52.83"
"EROSMEDIA","EQ","17-May-2017","        238.70","        238.70","        242.05","        234.80","        235.40","        236.40","        238.82","     474346","           113282968.30","       7483","     183641","         38.71"
"EROSMEDIA","EQ","18-May-2017","        236.40","        233.05","        236.00","        226.00","        226.90","        228.10","        231.02","     519761","           120074467.45","       6411","     230873","         44.42"
"EROSMEDIA","EQ","19-May-2017","        228.10","        229.50","        234.25","        219.80","        222.25","        222.45","        227.21","     561660","           127616122.50","       8097","     238678","         42.50"
"EROSMEDIA","EQ","22-May-2017","        222.45","        224.00","        230.75","        216.40","        217.00","        218.50","        223.38","     541590","           120980399.95","       7850","     193849","         35.79"
"EROSMEDIA","EQ","23-May-2017","        218.50","        219.30","        221.65","        205.00","        206.00","        205.95","        210.37","     900581","           189454840.80","      11857","     356495","         39.59"
