"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ESTER","EQ","02-Jan-2017","         37.90","         38.00","         38.75","         37.75","         37.80","         37.85","         37.99","      23773","              903102.55","        284","      17931","         75.43"
"ESTER","EQ","03-Jan-2017","         37.85","         38.05","         39.90","         38.00","         39.00","         39.10","         38.99","      46030","             1794606.75","        566","      31534","         68.51"
"ESTER","EQ","04-Jan-2017","         39.10","         39.70","         39.70","         38.35","         39.20","         39.00","         38.88","      29189","             1134912.60","        464","      19405","         66.48"
"ESTER","EQ","05-Jan-2017","         39.00","         39.60","         40.65","         39.20","         40.45","         40.15","         40.06","      53818","             2156119.10","        555","      42421","         78.82"
"ESTER","EQ","06-Jan-2017","         40.15","         40.30","         48.15","         40.25","         48.15","         48.10","         46.79","    1571028","            73508298.30","       9101","     421550","         26.83"
"ESTER","EQ","09-Jan-2017","         48.10","         49.30","         49.30","         44.25","         44.70","         44.60","         46.48","     568614","            26431692.20","       5040","     276643","         48.65"
"ESTER","EQ","10-Jan-2017","         44.60","         45.45","         45.70","         42.90","         45.10","         44.55","         44.34","     253372","            11233354.65","       3114","     133440","         52.67"
"ESTER","EQ","11-Jan-2017","         44.55","         45.05","         47.90","         45.05","         46.00","         45.95","         46.60","     348559","            16241426.80","       3710","     132366","         37.98"
"ESTER","EQ","12-Jan-2017","         45.95","         46.45","         46.55","         44.60","         45.00","         45.20","         45.31","      87677","             3972703.05","       1273","      52574","         59.96"
"ESTER","EQ","13-Jan-2017","         45.20","         45.20","         50.35","         45.20","         48.90","         49.15","         49.20","    1445216","            71106581.75","       9735","     541439","         37.46"
"ESTER","EQ","16-Jan-2017","         49.15","         49.45","         55.00","         47.60","         50.25","         50.10","         51.90","    2903122","           150668678.90","      19555","     694567","         23.92"
"ESTER","EQ","17-Jan-2017","         50.10","         50.00","         52.40","         48.70","         48.85","         48.95","         50.14","    1734558","            86975391.85","       8897","     466982","         26.92"
