"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EUROCERA","EQ","02-Jan-2017","          6.40","          6.65","          6.70","          6.55","          6.65","          6.65","          6.65","      10730","               71337.70","         23","       8730","         81.36"
"EUROCERA","EQ","03-Jan-2017","          6.65","          6.85","          6.85","          6.50","          6.75","          6.75","          6.74","      22512","              151764.40","         13","      22236","         98.77"
"EUROCERA","EQ","04-Jan-2017","          6.75","          6.55","          6.70","          6.50","          6.50","          6.50","          6.54","      43852","              286582.55","         29","      42852","         97.72"
"EUROCERA","EQ","05-Jan-2017","          6.50","          6.60","          6.70","          6.60","          6.70","          6.70","          6.66","       5047","               33623.20","         13","       3177","         62.95"
"EUROCERA","EQ","06-Jan-2017","          6.70","          6.70","          6.80","          6.60","          6.70","          6.70","          6.67","      20948","              139746.40","         23","      20448","         97.61"
"EUROCERA","EQ","09-Jan-2017","          6.70","          6.45","          6.80","          6.45","          6.75","          6.75","          6.76","      12530","               84709.50","         22","      11462","         91.48"
"EUROCERA","EQ","10-Jan-2017","          6.75","          6.80","          6.80","          6.60","          6.75","          6.75","          6.77","       5382","               36438.00","         17","       3317","         61.63"
"EUROCERA","EQ","11-Jan-2017","          6.75","          6.75","          6.80","          6.70","          6.75","          6.75","          6.78","      20988","              142366.25","         29","      18010","         85.81"
"EUROCERA","EQ","12-Jan-2017","          6.75","          6.75","          6.75","          6.45","          6.75","          6.65","          6.58","      12094","               79617.70","         28","       6862","         56.74"
"EUROCERA","EQ","13-Jan-2017","          6.65","          6.45","          6.65","          6.35","          6.65","          6.45","          6.45","      23967","              154578.45","         40","      16514","         68.90"
"EUROCERA","EQ","16-Jan-2017","          6.45","          6.75","          6.75","          6.45","          6.60","          6.60","          6.56","       3966","               26029.00","          7","       3965","         99.97"
"EUROCERA","EQ","17-Jan-2017","          6.60","          6.70","          6.85","          6.45","          6.45","          6.75","          6.67","      17843","              118939.60","         39","      15665","         87.79"
"EUROCERA","EQ","18-Jan-2017","          6.75","          6.50","          6.90","          6.50","          6.70","          6.70","          6.59","       7479","               49263.65","         24","       3922","         52.44"
