"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EVEREADY","EQ","03-Apr-2017","        262.30","        261.00","        275.30","        260.00","        270.70","        271.45","        271.53","     480891","           130576445.55","       5649","     248903","         51.76"
"EVEREADY","EQ","05-Apr-2017","        271.45","        272.95","        280.50","        272.95","        277.00","        276.75","        277.61","     423712","           117627938.15","       6486","     246230","         58.11"
"EVEREADY","EQ","06-Apr-2017","        276.75","        278.40","        281.00","        270.25","        278.25","        277.45","        276.59","     136695","            37808919.75","       3407","      59283","         43.37"
"EVEREADY","EQ","07-Apr-2017","        277.45","        275.00","        283.95","        272.60","        281.15","        280.90","        280.50","     240274","            67397875.15","       3432","     168525","         70.14"
"EVEREADY","EQ","10-Apr-2017","        280.90","        280.90","        285.00","        275.10","        279.80","        279.45","        281.65","     127166","            35816072.40","       3721","      55809","         43.89"
"EVEREADY","EQ","11-Apr-2017","        279.45","        279.05","        286.00","        275.50","        284.55","        285.10","        282.29","     154745","            43682505.80","       3394","      88507","         57.20"
"EVEREADY","EQ","12-Apr-2017","        285.10","        285.55","        286.95","        274.60","        286.00","        285.20","        280.48","     526851","           147769979.70","       4158","     357729","         67.90"
"EVEREADY","EQ","13-Apr-2017","        285.20","        286.00","        293.00","        282.05","        291.70","        291.50","        288.51","     922903","           266269803.95","       4415","     733511","         79.48"
"EVEREADY","EQ","17-Apr-2017","        291.50","        294.75","        295.90","        285.65","        289.80","        291.80","        292.79","     365476","           107007632.60","       3283","     261500","         71.55"
"EVEREADY","EQ","18-Apr-2017","        291.80","        293.80","        297.90","        287.00","        288.05","        288.10","        289.96","     247200","            71678751.50","       2440","     182132","         73.68"
"EVEREADY","EQ","19-Apr-2017","        288.10","        293.85","        302.05","        289.00","        301.00","        300.60","        293.84","     581492","           170866929.75","       5599","     415563","         71.46"
"EVEREADY","EQ","20-Apr-2017","        300.60","        303.00","        304.00","        296.10","        304.00","        302.10","        300.34","     211616","            63556643.95","       3537","     149369","         70.58"
"EVEREADY","EQ","21-Apr-2017","        302.10","        302.00","        307.00","        298.00","        304.20","        304.75","        304.55","     172914","            52661087.20","       4176","     100756","         58.27"
"EVEREADY","EQ","24-Apr-2017","        304.75","        304.75","        308.75","        300.00","        301.75","        302.25","        303.89","     117132","            35595761.90","       3057","      62742","         53.57"
"EVEREADY","EQ","25-Apr-2017","        302.25","        305.70","        305.70","        301.00","        303.50","        303.65","        303.44","     106869","            32428464.50","       3680","      61859","         57.88"
