"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EVERESTIND","EQ","03-Apr-2017","        227.50","        225.55","        239.80","        225.55","        236.40","        236.40","        235.00","      52164","            12258504.10","       1136","      34497","         66.13"
"EVERESTIND","EQ","05-Apr-2017","        236.40","        239.90","        253.70","        237.65","        246.10","        246.45","        246.82","     128210","            31644616.05","       2176","      58269","         45.45"
"EVERESTIND","EQ","06-Apr-2017","        246.45","        246.00","        247.90","        241.35","        245.65","        246.20","        245.82","      35797","             8799566.55","        688","      20262","         56.60"
"EVERESTIND","EQ","07-Apr-2017","        246.20","        245.00","        248.70","        237.00","        240.90","        239.60","        243.69","      34408","             8384886.95","        590","      27652","         80.37"
"EVERESTIND","EQ","10-Apr-2017","        239.60","        240.50","        249.00","        240.50","        247.00","        247.10","        245.42","      41956","            10296744.15","        710","      23391","         55.75"
"EVERESTIND","EQ","11-Apr-2017","        247.10","        247.10","        251.20","        247.10","        251.00","        249.65","        249.60","      46717","            11660668.60","        809","      27981","         59.89"
"EVERESTIND","EQ","12-Apr-2017","        249.65","        248.00","        254.70","        241.00","        247.90","        247.10","        248.56","      28776","             7152438.45","        743","      15084","         52.42"
"EVERESTIND","EQ","13-Apr-2017","        247.10","        247.20","        251.00","        243.25","        244.05","        244.85","        246.77","      17901","             4417500.40","        468","      10177","         56.85"
"EVERESTIND","EQ","17-Apr-2017","        244.85","        244.05","        253.60","        244.05","        252.00","        251.60","        250.46","      41611","            10421716.35","        693","      27891","         67.03"
"EVERESTIND","EQ","18-Apr-2017","        251.60","        249.20","        256.90","        244.10","        246.10","        245.10","        251.49","      38264","             9622993.60","        847","      19774","         51.68"
"EVERESTIND","EQ","19-Apr-2017","        245.10","        245.15","        251.10","        244.20","        248.50","        248.15","        247.38","      21574","             5336968.85","        647","      11102","         51.46"
"EVERESTIND","EQ","20-Apr-2017","        248.15","        250.95","        250.95","        245.10","        246.40","        247.20","        248.08","      19598","             4861882.35","        425","      12473","         63.64"
"EVERESTIND","EQ","21-Apr-2017","        247.20","        249.65","        251.45","        244.40","        246.25","        246.90","        247.79","      18234","             4518290.25","        447","      11681","         64.06"
"EVERESTIND","EQ","24-Apr-2017","        246.90","        247.70","        250.00","        247.05","        249.75","        248.85","        248.60","      14276","             3549059.45","        360","       8592","         60.18"
"EVERESTIND","EQ","25-Apr-2017","        248.85","        249.95","        254.00","        243.55","        246.30","        247.80","        248.76","      38186","             9499132.60","        990","      18483","         48.40"
"EVERESTIND","EQ","26-Apr-2017","        247.80","        249.85","        256.70","        244.50","        247.85","        247.65","        250.41","      66707","            16703832.50","       1071","      26218","         39.30"
"EVERESTIND","EQ","27-Apr-2017","        247.65","        250.90","        250.90","        244.00","        244.20","        245.25","        246.98","      14661","             3621014.75","        365","       8452","         57.65"
"EVERESTIND","EQ","28-Apr-2017","        245.25","        246.00","        248.90","        244.00","        245.50","        245.80","        246.28","      20451","             5036710.15","        405","      14510","         70.95"
