"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EXCELCROP","EQ","03-Jul-2017","       1770.45","       1800.00","       1800.00","       1750.00","       1750.00","       1751.05","       1759.51","        129","              226977.40","         57","         60","         46.51"
"EXCELCROP","EQ","04-Jul-2017","       1751.05","       1787.95","       1800.00","       1752.25","       1765.00","       1767.25","       1788.68","       2143","             3833140.20","        103","       1981","         92.44"
"EXCELCROP","EQ","05-Jul-2017","       1767.25","       1767.05","       1779.85","       1750.05","       1760.00","       1760.00","       1761.72","       1175","             2070016.50","         85","        927","         78.89"
"EXCELCROP","EQ","06-Jul-2017","       1760.00","       1738.00","       1779.00","       1738.00","       1760.00","       1756.85","       1763.48","        711","             1253833.35","         68","        584","         82.14"
"EXCELCROP","EQ","07-Jul-2017","       1756.85","       1768.95","       1769.00","       1735.15","       1769.00","       1750.65","       1752.09","        948","             1660981.30","        116","        759","         80.06"
"EXCELCROP","EQ","10-Jul-2017","       1750.65","       1765.00","       1770.00","       1711.00","       1754.00","       1762.70","       1751.03","        211","              369467.05","         35","        187","         88.63"
"EXCELCROP","EQ","11-Jul-2017","       1762.70","       1799.00","       1799.00","       1740.00","       1750.00","       1750.90","       1761.68","       1693","             2982522.90","        221","       1100","         64.97"
"EXCELCROP","EQ","12-Jul-2017","       1750.90","       1751.20","       1758.00","       1734.95","       1750.00","       1750.25","       1743.66","       1680","             2929343.60","        175","       1249","         74.35"
"EXCELCROP","EQ","13-Jul-2017","       1750.25","       1742.00","       2099.95","       1742.00","       2007.00","       2010.85","       1993.73","      69128","           137822267.70","       6669","      24456","         35.38"
"EXCELCROP","EQ","14-Jul-2017","       2010.85","       2048.00","       2073.20","       1964.80","       1999.00","       1981.05","       2018.38","      19110","            38571316.00","       1607","      13275","         69.47"
"EXCELCROP","EQ","17-Jul-2017","       1981.05","       1961.00","       2000.00","       1941.40","       1970.00","       1966.45","       1977.87","       3989","             7889731.85","        354","       3214","         80.57"
"EXCELCROP","EQ","18-Jul-2017","       1966.45","       1966.00","       1972.70","       1880.00","       1880.00","       1897.35","       1916.15","       6782","            12995321.60","        756","       4679","         68.99"
"EXCELCROP","EQ","19-Jul-2017","       1897.35","       1925.70","       1925.70","       1870.00","       1875.00","       1875.35","       1882.00","       2028","             3816695.35","        221","       1651","         81.41"
"EXCELCROP","EQ","20-Jul-2017","       1875.35","       1861.30","       1905.00","       1861.30","       1895.00","       1895.90","       1893.16","       1103","             2088150.55","        193","        756","         68.54"
"EXCELCROP","EQ","21-Jul-2017","       1895.90","       1876.35","       1924.00","       1865.00","       1875.00","       1884.20","       1878.31","       1193","             2240828.45","        235","        628","         52.64"
