"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FDC","EQ","02-Jan-2017","        221.05","        224.50","        224.50","        218.40","        223.80","        223.55","        221.69","      13720","             3041558.75","        343","       8647","         63.02"
"FDC","EQ","03-Jan-2017","        223.55","        221.35","        226.05","        220.00","        221.40","        222.60","        224.42","     138553","            31093950.40","        964","     122186","         88.19"
"FDC","EQ","04-Jan-2017","        222.60","        221.00","        224.35","        220.10","        220.35","        220.90","        222.96","      29571","             6593275.65","        514","      24650","         83.36"
"FDC","EQ","05-Jan-2017","        220.90","        221.00","        223.85","        219.35","        219.45","        220.30","        221.23","      18844","             4168894.20","        577","      13555","         71.93"
"FDC","EQ","06-Jan-2017","        220.30","        222.00","        222.70","        216.00","        216.00","        217.35","        219.90","      19382","             4262163.00","        649","      14252","         73.53"
"FDC","EQ","09-Jan-2017","        217.35","        221.00","        222.00","        217.05","        219.60","        219.65","        220.47","      42021","             9264323.60","        774","      26112","         62.14"
"FDC","EQ","10-Jan-2017","        219.65","        218.70","        225.00","        217.50","        224.00","        223.40","        218.87","     464718","           101712977.30","       1175","     434027","         93.40"
"FDC","EQ","11-Jan-2017","        223.40","        224.00","        225.80","        219.50","        220.95","        220.10","        221.38","      15287","             3384282.15","        546","       9895","         64.73"
"FDC","EQ","12-Jan-2017","        220.10","        219.25","        221.50","        217.25","        217.50","        218.60","        219.67","      14537","             3193316.55","        480","      11127","         76.54"
"FDC","EQ","13-Jan-2017","        218.60","        219.95","        221.00","        216.00","        218.00","        218.15","        218.87","      18741","             4101932.05","        539","      12131","         64.73"
"FDC","EQ","16-Jan-2017","        218.15","        218.15","        220.00","        217.10","        218.05","        218.30","        218.28","      36217","             7905292.70","        478","      31195","         86.13"
"FDC","EQ","17-Jan-2017","        218.30","        219.00","        221.00","        216.10","        217.20","        217.20","        218.59","      23565","             5151110.40","        366","      12227","         51.89"
"FDC","EQ","18-Jan-2017","        217.20","        217.40","        219.00","        216.05","        216.60","        217.05","        217.71","      21472","             4674652.00","        359","      16928","         78.84"
"FDC","EQ","19-Jan-2017","        217.05","        217.55","        221.65","        216.00","        218.05","        218.30","        219.06","     111562","            24438307.50","       1376","      77572","         69.53"
"FDC","EQ","20-Jan-2017","        218.30","        221.00","        221.00","        212.60","        214.00","        215.25","        217.55","      45387","             9873819.50","        923","      34471","         75.95"
"FDC","EQ","23-Jan-2017","        215.25","        217.15","        219.50","        214.10","        217.30","        218.00","        217.87","     136803","            29805588.25","        942","     126081","         92.16"
"FDC","EQ","24-Jan-2017","        218.00","        217.30","        218.45","        216.00","        217.05","        217.20","        217.15","      17327","             3762543.95","        373","      12637","         72.93"
"FDC","EQ","25-Jan-2017","        217.20","        218.70","        219.55","        216.10","        218.45","        218.05","        218.00","     127540","            27803186.35","        740","     121279","         95.09"
"FDC","EQ","27-Jan-2017","        218.05","        218.95","        222.65","        218.00","        220.50","        220.00","        220.08","      36429","             8017184.40","       1088","      27510","         75.52"
"FDC","EQ","30-Jan-2017","        220.00","        221.95","        221.95","        215.60","        216.20","        216.30","        218.56","      75850","            16578140.50","       1911","      66198","         87.27"
"FDC","EQ","31-Jan-2017","        216.30","        217.00","        217.90","        212.00","        212.50","        213.30","        214.78","      32071","             6888193.50","       1273","      26514","         82.67"
"FDC","EQ","01-Feb-2017","        213.30","        212.90","        214.65","        211.00","        213.65","        212.95","        212.91","      21998","             4683549.15","        558","      16421","         74.65"
"FDC","EQ","02-Feb-2017","        212.95","        212.95","        221.40","        212.55","        218.50","        217.75","        217.69","      52842","            11503237.15","       1921","      25254","         47.79"
"FDC","EQ","03-Feb-2017","        217.75","        217.00","        235.00","        214.55","        232.55","        228.55","        225.91","     214757","            48516009.85","       3529","     113879","         53.03"
"FDC","EQ","06-Feb-2017","        228.55","        218.00","        218.00","        203.30","        210.90","        210.10","        209.63","     332084","            69613934.65","       5553","     194488","         58.57"
"FDC","EQ","07-Feb-2017","        210.10","        210.85","        212.00","        208.50","        210.00","        209.65","        209.96","      80584","            16919070.60","       1237","      68673","         85.22"
"FDC","EQ","08-Feb-2017","        209.65","        209.65","        211.35","        209.00","        210.00","        209.95","        210.04","      31605","             6638311.55","        640","      25678","         81.25"
"FDC","EQ","09-Feb-2017","        209.95","        209.10","        213.00","        209.10","        210.00","        210.20","        210.04","      27053","             5682345.50","        945","      22235","         82.19"
"FDC","EQ","10-Feb-2017","        210.20","        211.50","        211.50","        208.60","        210.50","        210.15","        210.07","      39286","             8252978.65","       1173","      31452","         80.06"
"FDC","EQ","13-Feb-2017","        210.15","        209.00","        212.30","        208.50","        212.00","        211.50","        210.25","      44591","             9375198.55","        847","      38671","         86.72"
"FDC","EQ","14-Feb-2017","        211.50","        211.00","        212.30","        210.00","        210.00","        210.60","        210.52","      21526","             4531690.60","        639","      15784","         73.33"
"FDC","EQ","15-Feb-2017","        210.60","        210.15","        210.95","        207.50","        210.95","        210.15","        209.87","      32545","             6830296.00","        760","      26642","         81.86"
"FDC","EQ","16-Feb-2017","        210.15","        210.00","        210.90","        207.70","        210.00","        209.95","        209.82","      29486","             6186761.50","       1219","      21683","         73.54"
"FDC","EQ","17-Feb-2017","        209.95","        210.50","        216.10","        209.00","        210.55","        211.00","        213.44","      45218","             9651323.75","        829","      23742","         52.51"
"FDC","EQ","20-Feb-2017","        211.00","        214.95","        214.95","        210.50","        214.45","        213.55","        213.46","      35469","             7571230.15","       1072","      29644","         83.58"
"FDC","EQ","21-Feb-2017","        213.55","        213.00","        214.10","        209.65","        210.50","        210.50","        210.41","      51482","            10832112.05","        595","      41490","         80.59"
"FDC","EQ","22-Feb-2017","        210.50","        212.80","        214.10","        208.50","        211.00","        211.70","        210.15","     540013","           113485076.30","        894","     520682","         96.42"
"FDC","EQ","23-Feb-2017","        211.70","        210.65","        213.80","        210.10","        212.10","        212.00","        211.60","      18822","             3982797.05","        493","      12170","         64.66"
"FDC","EQ","27-Feb-2017","        212.00","        212.00","        213.55","        210.00","        211.50","        211.70","        212.33","      14517","             3082403.95","        371","       9180","         63.24"
"FDC","EQ","28-Feb-2017","        211.70","        211.20","        212.50","        209.10","        212.00","        211.75","        211.28","      35658","             7533693.80","       1231","      26048","         73.05"
"FDC","EQ","01-Mar-2017","        211.75","        212.20","        215.90","        210.10","        213.50","        214.60","        213.47","      39819","             8500093.20","        667","      29356","         73.72"
"FDC","EQ","02-Mar-2017","        214.60","        213.50","        215.50","        208.00","        210.00","        210.05","        210.52","      44743","             9419416.00","       1247","      32659","         72.99"
"FDC","EQ","03-Mar-2017","        210.05","        210.45","        214.95","        209.00","        210.05","        210.60","        211.32","      49235","            10404237.10","        987","      35276","         71.65"
"FDC","EQ","06-Mar-2017","        210.60","        211.95","        216.00","        209.15","        210.00","        210.00","        210.66","      42929","             9043494.15","        939","      25625","         59.69"
"FDC","EQ","07-Mar-2017","        210.00","        210.00","        214.00","        209.05","        210.00","        210.00","        210.12","     860616","           180830598.20","       1933","     816139","         94.83"
"FDC","EQ","08-Mar-2017","        210.00","        211.55","        211.55","        209.10","        209.60","        209.95","        209.91","      43588","             9149554.40","        541","      34895","         80.06"
"FDC","EQ","09-Mar-2017","        209.95","        210.20","        210.90","        208.90","        210.00","        209.95","        209.94","     137018","            28766223.85","       1404","     124127","         90.59"
"FDC","EQ","10-Mar-2017","        209.95","        210.15","        210.95","        208.60","        208.95","        209.55","        210.00","     387710","            81418250.65","        697","     381980","         98.52"
"FDC","EQ","14-Mar-2017","        209.55","        212.25","        215.00","        209.35","        211.05","        211.85","        211.67","      54416","            11517978.45","        868","      34671","         63.71"
"FDC","EQ","15-Mar-2017","        211.85","        211.05","        212.35","        207.90","        207.90","        208.35","        209.96","     424280","            89080817.20","        925","     410039","         96.64"
"FDC","EQ","16-Mar-2017","        208.35","        209.85","        210.50","        206.10","        207.90","        207.65","        207.98","      55283","            11497892.20","        999","      38949","         70.45"
"FDC","EQ","17-Mar-2017","        207.65","        208.25","        209.10","        205.15","        206.30","        206.00","        207.00","      64138","            13276848.15","        809","      50883","         79.33"
"FDC","EQ","20-Mar-2017","        206.00","        208.00","        208.00","        204.15","        206.50","        205.75","        205.58","      24994","             5138357.85","        534","      19069","         76.29"
"FDC","EQ","21-Mar-2017","        205.75","        206.20","        207.80","        204.10","        204.30","        204.65","        205.07","      20205","             4143494.05","        620","      14799","         73.24"
"FDC","EQ","22-Mar-2017","        204.65","        204.00","        206.40","        202.50","        205.20","        205.50","        203.72","      38238","             7789976.75","        961","      30657","         80.17"
"FDC","EQ","23-Mar-2017","        205.50","        205.50","        207.30","        202.30","        206.20","        205.75","        204.53","      27470","             5618421.45","        773","      20202","         73.54"
"FDC","EQ","24-Mar-2017","        205.75","        210.80","        210.80","        203.40","        203.40","        204.25","        206.48","     112402","            23208663.40","       2203","      68391","         60.85"
"FDC","EQ","27-Mar-2017","        204.25","        205.50","        205.55","        202.20","        202.60","        202.90","        203.14","      31870","             6474130.35","       1000","      24561","         77.07"
"FDC","EQ","28-Mar-2017","        202.90","        204.00","        212.00","        201.70","        202.25","        202.90","        205.09","      96954","            19884080.65","       2089","      36009","         37.14"
"FDC","EQ","29-Mar-2017","        202.90","        204.00","        205.05","        201.90","        203.00","        203.85","        203.05","      41810","             8489690.80","       1067","      32886","         78.66"
"FDC","EQ","30-Mar-2017","        203.85","        203.60","        205.05","        202.05","        204.40","        204.30","        203.84","      42352","             8633152.75","       1290","      33023","         77.97"
"FDC","EQ","31-Mar-2017","        204.30","        203.50","        205.00","        202.45","        203.40","        203.90","        203.65","      23863","             4859665.10","        662","      17830","         74.72"
