"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GIRRESORTS","IT","25-Apr-2017","        243.00","        250.80","        250.80","        250.80","-","        250.80","        250.80","       5000","             1254000.00","          1","-","-"
"GIRRESORTS","IT","26-Apr-2017","        250.80","        249.90","        249.90","        249.90","-","        249.90","        249.90","       5000","             1249500.00","          1","-","-"
"GIRRESORTS","IT","03-May-2017","        249.90","        248.80","        248.80","        248.80","-","        248.80","        248.80","       5000","             1244000.00","          1","-","-"
"GIRRESORTS","IT","15-May-2017","        248.80","        246.00","        248.00","        246.00","-","        248.00","        247.00","      10000","             2470000.00","          2","-","-"
"GIRRESORTS","IT","17-May-2017","        248.00","        249.60","        249.60","        249.60","-","        249.60","        249.60","       5000","             1248000.00","          1","-","-"
"GIRRESORTS","IT","18-May-2017","        249.60","        249.25","        249.25","        249.25","-","        249.25","        249.25","       5000","             1246250.00","          1","-","-"
"GIRRESORTS","IT","30-May-2017","        249.25","        249.80","        249.80","        249.50","-","        249.50","        249.65","      10000","             2496500.00","          2","-","-"
"GIRRESORTS","IT","05-Jun-2017","        249.50","        249.60","        250.20","        249.60","-","        249.90","        249.90","      10000","             2499000.00","          2","-","-"
"GIRRESORTS","IT","09-Jun-2017","        249.90","        248.80","        249.00","        248.80","-","        249.00","        248.90","      10000","             2489000.00","          2","-","-"
"GIRRESORTS","IT","20-Jun-2017","        249.00","        249.30","        249.80","        249.30","-","        249.80","        249.55","      10000","             2495500.00","          2","-","-"
