"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRPLTD","EQ","02-Jan-2017","       1400.00","       1382.60","       1382.60","       1362.00","       1362.00","       1381.85","       1381.84","        102","              140947.20","          7","        100","         98.04"
"GRPLTD","EQ","03-Jan-2017","       1381.85","       1385.15","       1437.00","       1385.00","       1415.10","       1428.50","       1412.49","        235","              331935.35","         51","        168","         71.49"
"GRPLTD","EQ","04-Jan-2017","       1428.50","       1448.00","       1448.00","       1425.00","       1447.00","       1447.00","       1427.97","        140","              199916.15","          8","        137","         97.86"
"GRPLTD","EQ","05-Jan-2017","       1447.00","       1420.00","       1489.00","       1420.00","       1426.50","       1451.65","       1443.92","        352","              508259.90","         30","        294","         83.52"
"GRPLTD","EQ","06-Jan-2017","       1451.65","       1488.00","       1488.00","       1430.00","       1441.50","       1441.50","       1448.13","        120","              173775.05","         24","         88","         73.33"
"GRPLTD","EQ","09-Jan-2017","       1441.50","       1456.00","       1490.00","       1456.00","       1485.00","       1485.00","       1464.88","         76","              111330.70","          8","         73","         96.05"
"GRPLTD","EQ","10-Jan-2017","       1485.00","       1485.00","       1536.00","       1485.00","       1536.00","       1509.75","       1506.82","       1284","             1934751.90","         56","        931","         72.51"
"GRPLTD","EQ","11-Jan-2017","       1509.75","       1549.00","       1589.90","       1548.00","       1549.00","       1549.70","       1555.18","        629","              978205.50","         44","        529","         84.10"
"GRPLTD","EQ","12-Jan-2017","       1549.70","       1550.00","       1550.00","       1550.00","       1550.00","       1550.00","       1550.00","         40","               62000.00","          4","         40","        100.00"
"GRPLTD","EQ","13-Jan-2017","       1550.00","       1523.00","       1550.00","       1523.00","       1550.00","       1550.00","       1547.62","         63","               97499.75","          9","         55","         87.30"
"GRPLTD","EQ","16-Jan-2017","       1550.00","       1548.95","       1580.00","       1535.05","       1580.00","       1570.95","       1562.13","       1547","             2416608.25","         44","       1473","         95.22"
"GRPLTD","EQ","17-Jan-2017","       1570.95","       1560.00","       1560.00","       1537.10","       1540.00","       1543.55","       1543.55","       1217","             1878495.60","          7","       1206","         99.10"
"GRPLTD","EQ","18-Jan-2017","       1543.55","       1559.95","       1587.95","       1532.00","       1587.95","       1587.95","       1551.29","        569","              882686.40","         15","        546","         95.96"
"GRPLTD","EQ","19-Jan-2017","       1587.95","       1580.00","       1639.95","       1562.50","       1590.00","       1588.80","       1602.15","        259","              414957.20","         31","        218","         84.17"
"GRPLTD","EQ","20-Jan-2017","       1588.80","       1542.05","       1590.00","       1542.00","       1570.00","       1570.00","       1578.84","        143","              225774.20","         16","         95","         66.43"
"GRPLTD","EQ","23-Jan-2017","       1570.00","       1588.00","       1600.00","       1575.00","       1575.00","       1588.70","       1592.38","       1014","             1614669.25","         66","        927","         91.42"
"GRPLTD","EQ","24-Jan-2017","       1588.70","       1610.00","       1630.00","       1590.00","       1630.00","       1629.50","       1614.28","       2179","             3517511.05","         60","       2109","         96.79"
