"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GARWALLROP","EQ","03-Jul-2017","        815.65","        830.00","        830.00","        817.00","        829.00","        827.15","        825.23","       7141","             5892971.70","        480","       5100","         71.42"
"GARWALLROP","EQ","04-Jul-2017","        827.15","        830.00","        839.95","        818.00","        834.95","        832.90","        829.48","      15586","            12928298.80","        788","       9303","         59.69"
"GARWALLROP","EQ","05-Jul-2017","        832.90","        855.25","        898.90","        840.00","        876.40","        877.60","        877.70","     142084","           124706947.00","       6672","      36394","         25.61"
"GARWALLROP","EQ","06-Jul-2017","        877.60","        887.60","        887.60","        858.00","        863.00","        868.20","        872.51","      16370","            14282975.10","       1238","       7915","         48.35"
"GARWALLROP","EQ","07-Jul-2017","        868.20","        862.00","        924.90","        860.00","        918.00","        915.75","        899.78","      52332","            47087151.25","       2326","      31525","         60.24"
"GARWALLROP","EQ","10-Jul-2017","        915.75","        925.00","        945.00","        910.00","        943.05","        940.45","        934.65","       8834","             8256670.60","        637","       5615","         63.56"
"GARWALLROP","EQ","11-Jul-2017","        940.45","        960.00","        993.90","        945.00","        981.70","        977.50","        968.57","      45436","            44008052.40","       3173","      22014","         48.45"
"GARWALLROP","EQ","12-Jul-2017","        977.50","        988.95","        994.85","        954.60","        965.00","        966.40","        971.36","      23655","            22977443.50","       2062","      11536","         48.77"
"GARWALLROP","EQ","13-Jul-2017","        966.40","        968.00","        978.75","        946.55","        950.00","        952.60","        960.16","      18260","            17532598.85","       1128","      12732","         69.73"
"GARWALLROP","EQ","14-Jul-2017","        952.60","        959.80","        959.80","        930.15","        936.85","        937.85","        939.48","      11264","            10582341.20","       1282","       8260","         73.33"
"GARWALLROP","EQ","17-Jul-2017","        937.85","        930.25","        952.00","        919.00","        949.00","        936.20","        941.46","      28940","            27245861.95","       3372","      20144","         69.61"
"GARWALLROP","EQ","18-Jul-2017","        936.20","        945.00","        948.80","        887.35","        898.00","        897.50","        912.51","      33315","            30400279.10","       2648","      18774","         56.35"
"GARWALLROP","EQ","19-Jul-2017","        897.50","        898.05","        927.95","        898.05","        918.00","        910.50","        916.52","      12784","            11716740.25","       1295","       7520","         58.82"
"GARWALLROP","EQ","20-Jul-2017","        910.50","        925.95","        925.95","        884.00","        889.95","        890.80","        893.57","      15819","            14135359.55","       1477","      10746","         67.93"
"GARWALLROP","EQ","21-Jul-2017","        890.80","        905.00","        905.00","        869.00","        881.80","        881.00","        879.35","      18063","            15883683.60","       1518","      11931","         66.05"
