"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GEECEE","EQ","02-Jan-2017","        118.35","        118.00","        128.00","        118.00","        126.50","        127.00","        126.10","      82322","            10380604.85","       1824","      27191","         33.03"
"GEECEE","EQ","03-Jan-2017","        127.00","        127.40","        129.35","        125.10","        126.85","        125.95","        127.35","      26589","             3386078.65","        539","      12302","         46.27"
"GEECEE","EQ","04-Jan-2017","        125.95","        127.00","        135.00","        127.00","        134.00","        133.95","        132.44","      78181","            10354206.15","       1231","      33845","         43.29"
"GEECEE","EQ","05-Jan-2017","        133.95","        135.00","        149.00","        133.15","        144.75","        143.95","        143.69","     196456","            28228662.80","       4089","      51427","         26.18"
"GEECEE","EQ","06-Jan-2017","        143.95","        144.50","        145.50","        137.10","        138.50","        138.85","        140.84","      54819","             7720574.05","       1484","      19454","         35.49"
"GEECEE","EQ","09-Jan-2017","        138.85","        138.00","        150.75","        138.00","        144.85","        144.50","        146.64","     114103","            16732521.60","       2736","      39471","         34.59"
"GEECEE","EQ","10-Jan-2017","        144.50","        144.05","        145.40","        141.50","        142.85","        142.60","        143.13","      18724","             2680001.80","        397","      10823","         57.80"
"GEECEE","EQ","11-Jan-2017","        142.60","        143.10","        148.80","        140.10","        142.40","        141.45","        143.59","      36519","             5243601.20","       1028","      15530","         42.53"
"GEECEE","EQ","12-Jan-2017","        141.45","        141.95","        145.00","        139.80","        140.15","        141.30","        142.27","      25295","             3598644.00","        498","      14760","         58.35"
"GEECEE","EQ","13-Jan-2017","        141.30","        140.60","        144.00","        140.30","        140.30","        142.20","        141.96","      17778","             2523705.10","        375","       9226","         51.90"
"GEECEE","EQ","16-Jan-2017","        142.20","        142.20","        144.60","        140.75","        142.30","        142.20","        142.38","      11577","             1648301.45","        309","       4071","         35.16"
"GEECEE","EQ","17-Jan-2017","        142.20","        144.00","        144.00","        139.50","        142.40","        142.00","        141.78","      12196","             1729187.10","        316","       6701","         54.94"
"GEECEE","EQ","18-Jan-2017","        142.00","        142.00","        144.80","        140.30","        142.00","        142.85","        142.56","      55624","             7929821.95","        675","      27578","         49.58"
"GEECEE","EQ","19-Jan-2017","        142.85","        143.80","        144.30","        140.50","        141.00","        141.50","        142.36","       9319","             1326653.00","        251","       5604","         60.14"
"GEECEE","EQ","20-Jan-2017","        141.50","        141.25","        142.50","        140.05","        140.05","        140.25","        140.94","      10650","             1500984.25","        366","       6624","         62.20"
"GEECEE","EQ","23-Jan-2017","        140.25","        140.00","        142.00","        137.00","        137.20","        137.60","        139.04","       9992","             1389308.65","        403","       4244","         42.47"
"GEECEE","EQ","24-Jan-2017","        137.60","        138.65","        145.00","        138.60","        143.75","        143.15","        142.91","      24092","             3443073.55","        791","      14778","         61.34"
"GEECEE","EQ","25-Jan-2017","        143.15","        143.40","        146.00","        141.10","        146.00","        145.25","        144.65","      47349","             6849167.65","        819","      32439","         68.51"
"GEECEE","EQ","27-Jan-2017","        145.25","        145.30","        154.00","        145.20","        147.20","        147.50","        149.92","      90867","            13622849.40","       1459","      55007","         60.54"
"GEECEE","EQ","30-Jan-2017","        147.50","        147.00","        148.05","        142.20","        144.50","        145.45","        146.42","      13185","             1930537.55","        434","       7721","         58.56"
"GEECEE","EQ","31-Jan-2017","        145.45","        147.00","        147.80","        142.20","        144.60","        143.30","        144.25","      16045","             2314451.90","        431","       9737","         60.69"
"GEECEE","EQ","01-Feb-2017","        143.30","        143.10","        145.40","        140.60","        143.85","        143.15","        142.70","      33972","             4847706.55","        467","      20213","         59.50"
"GEECEE","EQ","02-Feb-2017","        143.15","        143.00","        145.00","        142.50","        143.00","        143.85","        143.40","       8460","             1213204.40","        234","       6061","         71.64"
"GEECEE","EQ","03-Feb-2017","        143.85","        145.95","        149.00","        143.10","        144.50","        144.65","        145.52","      12828","             1866743.55","        342","       8075","         62.95"
"GEECEE","EQ","06-Feb-2017","        144.65","        145.10","        147.50","        131.60","        142.30","        142.25","        140.54","      65314","             9179097.45","       1049","      33161","         50.77"
"GEECEE","EQ","07-Feb-2017","        142.25","        141.05","        144.00","        140.30","        141.00","        141.25","        142.52","      18687","             2663311.10","        315","      12928","         69.18"
"GEECEE","EQ","08-Feb-2017","        141.25","        143.80","        145.00","        138.15","        139.50","        140.25","        141.04","      29199","             4118228.95","        626","      16389","         56.13"
"GEECEE","EQ","09-Feb-2017","        140.25","        132.35","        137.00","        130.05","        131.75","        131.30","        132.84","     105580","            14025483.45","       1795","      55666","         52.72"
"GEECEE","EQ","10-Feb-2017","        131.30","        134.95","        134.95","        127.10","        127.90","        127.95","        129.00","      26890","             3468756.55","        720","      18837","         70.05"
"GEECEE","EQ","13-Feb-2017","        127.95","        126.00","        127.80","        121.40","        122.75","        122.35","        123.99","      42671","             5290932.90","        763","      30927","         72.48"
"GEECEE","EQ","14-Feb-2017","        122.35","        123.25","        128.85","        120.80","        125.15","        125.60","        125.85","      34091","             4290396.50","       1192","      12427","         36.45"
"GEECEE","EQ","15-Feb-2017","        125.60","        126.00","        130.00","        123.55","        124.20","        124.75","        125.92","      16997","             2140218.30","        595","       8208","         48.29"
"GEECEE","EQ","16-Feb-2017","        124.75","        125.00","        129.50","        123.00","        127.00","        127.40","        126.99","      24909","             3163255.15","        526","      16016","         64.30"
"GEECEE","EQ","17-Feb-2017","        127.40","        128.80","        129.30","        124.55","        126.50","        125.80","        125.73","      17743","             2230746.45","        410","      12245","         69.01"
"GEECEE","EQ","20-Feb-2017","        125.80","        127.60","        127.60","        124.20","        125.20","        125.65","        125.87","      16550","             2083194.05","        238","      14177","         85.66"
"GEECEE","EQ","21-Feb-2017","        125.65","        126.90","        127.00","        124.30","        126.40","        124.80","        125.12","      16920","             2117009.50","        266","      12931","         76.42"
"GEECEE","EQ","22-Feb-2017","        124.80","        126.00","        133.70","        124.05","        129.00","        128.75","        128.63","      34122","             4388993.35","        916","      22691","         66.50"
"GEECEE","EQ","23-Feb-2017","        128.75","        129.75","        132.25","        128.50","        128.50","        128.75","        130.19","      16227","             2112588.45","        324","       9293","         57.27"
"GEECEE","EQ","27-Feb-2017","        128.75","        128.05","        133.70","        127.00","        131.60","        132.15","        131.33","      15300","             2009277.05","        396","      10795","         70.56"
"GEECEE","EQ","28-Feb-2017","        132.15","        132.15","        141.50","        131.00","        134.20","        133.85","        137.37","     131750","            18098596.20","       2374","      47631","         36.15"
"GEECEE","EQ","01-Mar-2017","        133.85","        133.85","        136.75","        128.65","        129.60","        130.25","        132.40","      44709","             5919549.50","        822","      31845","         71.23"
"GEECEE","EQ","02-Mar-2017","        130.25","        131.70","        135.40","        129.35","        131.60","        130.75","        132.26","      33395","             4416973.25","        656","      12381","         37.07"
"GEECEE","EQ","03-Mar-2017","        130.75","        129.05","        134.50","        127.00","        132.50","        132.10","        131.77","      26529","             3495816.10","        414","      18986","         71.57"
"GEECEE","EQ","06-Mar-2017","        132.10","        133.10","        135.00","        128.95","        131.00","        131.35","        134.01","      73142","             9801405.20","        436","      65203","         89.15"
"GEECEE","EQ","07-Mar-2017","        131.35","        131.10","        132.40","        128.50","        128.75","        129.30","        129.95","      12410","             1612668.50","        366","       7608","         61.31"
"GEECEE","EQ","08-Mar-2017","        129.30","        130.70","        130.70","        126.65","        129.00","        127.25","        128.40","      14020","             1800174.80","        279","       8114","         57.87"
"GEECEE","EQ","09-Mar-2017","        127.25","        127.45","        128.40","        123.55","        124.55","        124.75","        126.25","      17172","             2167952.25","        384","      11873","         69.14"
"GEECEE","EQ","10-Mar-2017","        124.75","        126.90","        129.90","        122.20","        124.40","        125.05","        125.26","      10648","             1333761.60","        391","       5137","         48.24"
"GEECEE","EQ","14-Mar-2017","        125.05","        126.80","        128.80","        124.50","        126.00","        125.15","        125.98","      21564","             2716728.95","        276","      17396","         80.67"
"GEECEE","EQ","15-Mar-2017","        125.15","        126.80","        126.95","        124.55","        126.30","        126.75","        125.94","       8239","             1037651.75","        219","       5740","         69.67"
"GEECEE","EQ","16-Mar-2017","        126.75","        128.65","        128.65","        126.10","        127.50","        127.50","        127.21","      10598","             1348156.75","        204","       7125","         67.23"
"GEECEE","EQ","17-Mar-2017","        127.50","        128.30","        128.50","        125.00","        125.55","        125.85","        126.38","      10399","             1314185.65","        225","       7876","         75.74"
"GEECEE","EQ","20-Mar-2017","        125.85","        124.40","        132.00","        124.40","        131.70","        130.95","        128.84","      44860","             5779797.20","        892","      23772","         52.99"
"GEECEE","EQ","21-Mar-2017","        130.95","        130.95","        131.95","        126.55","        130.90","        130.40","        129.20","      22904","             2959121.60","        418","      14158","         61.81"
"GEECEE","EQ","22-Mar-2017","        130.40","        129.10","        131.40","        128.05","        131.25","        130.95","        130.38","      20083","             2618351.45","        374","      12737","         63.42"
"GEECEE","EQ","23-Mar-2017","        130.95","        131.60","        133.00","        128.15","        129.70","        130.05","        130.41","      24156","             3150299.55","        460","      13035","         53.96"
"GEECEE","EQ","24-Mar-2017","        130.05","        130.05","        131.00","        128.95","        129.70","        129.35","        129.80","      11809","             1532817.10","        342","       6454","         54.65"
"GEECEE","EQ","27-Mar-2017","        129.35","        129.70","        130.00","        126.40","        127.20","        127.05","        127.64","      24949","             3184533.10","        308","      18058","         72.38"
"GEECEE","EQ","28-Mar-2017","        127.05","        127.10","        128.50","        125.20","        125.20","        126.10","        126.84","      13421","             1702273.30","        360","      11206","         83.50"
"GEECEE","EQ","29-Mar-2017","        126.10","        128.15","        128.20","        124.20","        125.00","        124.85","        125.30","      21376","             2678462.65","        416","      17902","         83.75"
"GEECEE","EQ","30-Mar-2017","        124.85","        125.00","        127.65","        124.20","        126.50","        126.90","        126.63","      13769","             1743524.85","        389","       7237","         52.56"
"GEECEE","EQ","31-Mar-2017","        126.90","        126.00","        127.05","        124.90","        126.00","        125.55","        125.89","      18899","             2379181.00","        271","      15101","         79.90"
