"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GEEKAYWIRE","SM","24-Aug-2017","         33.00","         33.35","         33.70","         33.15","         33.30","         33.25","         33.26","     324000","            10777400.00","         70","     220000","         67.90"
"GEEKAYWIRE","SM","28-Aug-2017","         33.25","         33.20","         33.25","         33.10","         33.20","         33.25","         33.18","      72000","             2389000.00","         18","      72000","        100.00"
"GEEKAYWIRE","SM","29-Aug-2017","         33.25","         33.20","         33.30","         33.20","         33.25","         33.25","         33.25","     228000","             7581000.00","         51","     228000","        100.00"
"GEEKAYWIRE","SM","30-Aug-2017","         33.25","         33.15","         33.35","         33.15","         33.35","         33.35","         33.26","     376000","            12507600.00","         26","     224000","         59.57"
"GEEKAYWIRE","SM","31-Aug-2017","         33.35","         33.30","         33.30","         33.20","         33.25","         33.30","         33.30","     224000","             7458200.00","         23","     144000","         64.29"
"GEEKAYWIRE","SM","01-Sep-2017","         33.30","         33.30","         33.30","         33.20","         33.30","         33.25","         33.26","      64000","             2128800.00","         15","      44000","         68.75"
"GEEKAYWIRE","SM","04-Sep-2017","         33.25","         33.20","         33.30","         33.20","         33.25","         33.25","         33.27","     108000","             3593000.00","         11","      56000","         51.85"
"GEEKAYWIRE","SM","05-Sep-2017","         33.25","         33.25","         33.25","         33.25","         33.25","         33.25","         33.25","      72000","             2394000.00","          2","      72000","        100.00"
"GEEKAYWIRE","SM","06-Sep-2017","         33.25","         33.90","         33.90","         33.30","         33.30","         33.30","         33.32","     116000","             3865200.00","         14","     116000","        100.00"
"GEEKAYWIRE","SM","07-Sep-2017","         33.30","         33.20","         33.20","         33.20","         33.20","         33.20","         33.20","      12000","              398400.00","          3","      12000","        100.00"
"GEEKAYWIRE","SM","08-Sep-2017","         33.20","         33.30","         33.30","         33.20","         33.25","         33.25","         33.26","      52000","             1729600.00","          6","      44000","         84.62"
"GEEKAYWIRE","SM","11-Sep-2017","         33.25","         33.25","         33.45","         33.20","         33.45","         33.40","         33.33","      16000","              533200.00","          4","       8000","         50.00"
"GEEKAYWIRE","SM","13-Sep-2017","         33.40","         33.25","         33.25","         33.20","         33.20","         33.25","         33.25","      48000","             1595800.00","          3","      48000","        100.00"
"GEEKAYWIRE","SM","14-Sep-2017","         33.25","         33.45","         33.45","         33.25","         33.30","         33.30","         33.31","      52000","             1732000.00","          9","      44000","         84.62"
"GEEKAYWIRE","SM","15-Sep-2017","         33.30","         33.20","         33.30","         33.20","         33.30","         33.30","         33.26","      88000","             2926800.00","         11","      88000","        100.00"
"GEEKAYWIRE","SM","18-Sep-2017","         33.30","         33.20","         33.25","         33.20","         33.20","         33.20","         33.24","      44000","             1462400.00","          7","      44000","        100.00"
"GEEKAYWIRE","SM","19-Sep-2017","         33.20","         33.20","         33.25","         33.20","         33.20","         33.20","         33.22","      36000","             1196000.00","          5","      20000","         55.56"
