"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GENUSPOWER","EQ","02-Jan-2017","         38.85","         39.30","         39.35","         38.40","         38.75","         38.85","         38.72","      76896","             2977621.60","        620","      33989","         44.20"
"GENUSPOWER","EQ","03-Jan-2017","         38.85","         39.15","         39.60","         39.00","         39.30","         39.30","         39.29","      68003","             2672051.15","        459","      32930","         48.42"
"GENUSPOWER","EQ","04-Jan-2017","         39.30","         39.50","         42.20","         39.40","         41.30","         41.60","         41.44","     341690","            14159986.50","       1702","     164770","         48.22"
"GENUSPOWER","EQ","05-Jan-2017","         41.60","         42.00","         42.10","         40.70","         41.00","         41.35","         41.47","     119410","             4952435.20","       1167","      58313","         48.83"
"GENUSPOWER","EQ","06-Jan-2017","         41.35","         41.50","         41.70","         40.30","         40.70","         40.60","         41.05","      50154","             2058592.30","        489","      31536","         62.88"
"GENUSPOWER","EQ","09-Jan-2017","         40.60","         40.75","         41.50","         40.05","         40.05","         40.25","         40.73","      72052","             2934408.50","        748","      22079","         30.64"
"GENUSPOWER","EQ","10-Jan-2017","         40.25","         41.25","         41.25","         40.50","         40.60","         40.70","         40.78","      69091","             2817752.20","        676","      30783","         44.55"
"GENUSPOWER","EQ","11-Jan-2017","         40.70","         40.40","         42.50","         40.40","         42.00","         40.80","         40.80","    1109707","            45279641.40","        884","    1065825","         96.05"
"GENUSPOWER","EQ","12-Jan-2017","         40.80","         41.95","         44.55","         40.80","         42.20","         42.15","         41.87","    1914999","            80174271.95","       4271","    1440853","         75.24"
"GENUSPOWER","EQ","13-Jan-2017","         42.15","         42.60","         42.60","         41.20","         41.60","         41.40","         41.76","      98565","             4115760.50","        743","      63638","         64.56"
"GENUSPOWER","EQ","16-Jan-2017","         41.40","         41.50","         43.20","         41.20","         42.00","         42.30","         42.63","     197764","             8430191.95","       1079","      94992","         48.03"
"GENUSPOWER","EQ","17-Jan-2017","         42.30","         42.65","         42.65","         41.65","         42.25","         42.10","         42.05","      76512","             3217242.15","        452","      47465","         62.04"
"GENUSPOWER","EQ","18-Jan-2017","         42.10","         42.10","         42.40","         41.50","         42.00","         42.00","         41.91","      68158","             2856201.75","        415","      45996","         67.48"
"GENUSPOWER","EQ","19-Jan-2017","         42.00","         42.15","         42.15","         41.40","         41.85","         41.70","         41.73","      55401","             2311797.95","        283","      33385","         60.26"
"GENUSPOWER","EQ","20-Jan-2017","         41.70","         41.85","         44.40","         41.85","         42.75","         42.55","         43.25","     292199","            12637260.00","       1401","     164642","         56.35"
"GENUSPOWER","EQ","23-Jan-2017","         42.55","         42.30","         42.70","         41.60","         41.80","         41.90","         42.09","      86189","             3628069.40","        414","      44340","         51.45"
"GENUSPOWER","EQ","24-Jan-2017","         41.90","         41.85","         42.30","         41.00","         41.70","         41.65","         41.64","      94297","             3926436.00","        512","      61046","         64.74"
"GENUSPOWER","EQ","25-Jan-2017","         41.65","         41.95","         42.05","         41.25","         41.40","         41.50","         41.61","      64329","             2676547.45","        427","      41399","         64.36"
"GENUSPOWER","EQ","27-Jan-2017","         41.50","         41.60","         43.50","         41.55","         43.05","         43.00","         42.83","     264603","            11332270.35","       1394","     197560","         74.66"
"GENUSPOWER","EQ","30-Jan-2017","         43.00","         43.05","         43.50","         42.15","         42.15","         42.35","         42.70","     117433","             5013942.20","       2346","      90080","         76.71"
