"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GLOBOFFS","EQ","02-Jan-2017","         56.95","         59.75","         59.75","         57.00","         59.75","         59.75","         59.58","     216072","            12872634.25","        865","     158308","         73.27"
"GLOBOFFS","EQ","03-Jan-2017","         59.75","         62.70","         62.70","         61.20","         62.70","         62.70","         62.31","     198655","            12378079.65","        864","     130259","         65.57"
"GLOBOFFS","EQ","04-Jan-2017","         62.70","         64.00","         64.00","         59.60","         60.45","         60.80","         61.81","     408298","            25235183.15","       3222","     201411","         49.33"
"GLOBOFFS","EQ","05-Jan-2017","         60.80","         62.00","         62.00","         57.80","         58.15","         58.30","         58.70","     524034","            30762974.90","       3600","     189572","         36.18"
"GLOBOFFS","EQ","06-Jan-2017","         58.30","         56.70","         59.90","         56.70","         57.85","         57.80","         58.52","     133534","             7813961.40","       1485","      63050","         47.22"
"GLOBOFFS","EQ","09-Jan-2017","         57.80","         58.45","         58.80","         54.95","         57.40","         57.05","         55.63","    1551083","            86279751.00","       3671","     978344","         63.07"
"GLOBOFFS","EQ","10-Jan-2017","         57.05","         58.35","         59.90","         57.50","         59.90","         59.90","         59.79","    1419188","            84855689.55","       1501","     994253","         70.06"
"GLOBOFFS","EQ","11-Jan-2017","         59.90","         62.85","         62.85","         62.85","         62.85","         62.85","         62.85","    1009591","            63452794.35","        310","     691732","         68.52"
"GLOBOFFS","EQ","12-Jan-2017","         62.85","         64.35","         65.95","         62.50","         65.95","         65.95","         65.05","    1637915","           106547383.05","       5209","     756455","         46.18"
"GLOBOFFS","EQ","13-Jan-2017","         65.95","         68.40","         69.20","         67.35","         69.20","         69.20","         68.65","     796706","            54694273.35","       3058","     451548","         56.68"
"GLOBOFFS","EQ","16-Jan-2017","         69.20","         69.90","         72.65","         67.95","         69.55","         70.65","         71.42","    1115701","            79682427.00","       6179","     401676","         36.00"
"GLOBOFFS","EQ","17-Jan-2017","         70.65","         69.55","         70.70","         68.00","         69.20","         68.90","         69.00","     470073","            32435825.65","       2740","     251003","         53.40"
