"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GICL","SM","03-Jan-2017","         23.00","         22.90","         22.90","         22.90","         22.90","         22.90","         22.90","       6000","              137400.00","          1","       6000","        100.00"
"GICL","SM","04-Jan-2017","         22.90","         21.10","         22.90","         21.10","         22.90","         22.90","         22.00","      12000","              264000.00","          2","          0","          0.00"
"GICL","SM","05-Jan-2017","         22.90","         22.00","         22.95","         22.00","         22.95","         22.95","         22.48","      12000","              269700.00","          2","      12000","        100.00"
"GICL","SM","09-Jan-2017","         22.95","         22.00","         24.80","         21.65","         23.45","         23.45","         22.61","      90000","             2034600.00","         14","      60000","         66.67"
"GICL","SM","10-Jan-2017","         23.45","         23.75","         24.00","         23.00","         23.00","         23.00","         23.44","      24000","              562500.00","          4","      12000","         50.00"
"GICL","SM","11-Jan-2017","         23.00","         22.00","         22.00","         22.00","         22.00","         22.00","         22.00","       6000","              132000.00","          1","       6000","        100.00"
"GICL","SM","12-Jan-2017","         22.00","         21.95","         21.95","         21.95","         21.95","         21.95","         21.95","       6000","              131700.00","          1","       6000","        100.00"
"GICL","SM","16-Jan-2017","         21.95","         23.25","         23.30","         23.25","         23.30","         23.30","         23.28","      12000","              279300.00","          2","      12000","        100.00"
"GICL","SM","17-Jan-2017","         23.30","         23.60","         23.65","         23.60","         23.65","         23.65","         23.63","      12000","              283500.00","          2","      12000","        100.00"
"GICL","SM","19-Jan-2017","         23.65","         23.30","         23.40","         23.30","         23.40","         23.35","         23.35","      30000","              700500.00","          5","      30000","        100.00"
"GICL","SM","20-Jan-2017","         23.35","         22.50","         22.50","         22.50","         22.50","         22.50","         22.50","       6000","              135000.00","          1","       6000","        100.00"
"GICL","SM","23-Jan-2017","         22.50","         23.00","         23.00","         23.00","         23.00","         23.00","         23.00","       6000","              138000.00","          1","       6000","        100.00"
"GICL","SM","24-Jan-2017","         23.00","         23.80","         23.95","         23.80","         23.95","         23.95","         23.87","      18000","              429600.00","          3","      18000","        100.00"
"GICL","SM","27-Jan-2017","         23.95","         24.00","         24.00","         24.00","         24.00","         24.00","         24.00","      18000","              432000.00","          3","      18000","        100.00"
"GICL","SM","30-Jan-2017","         24.00","         24.00","         24.00","         24.00","         24.00","         24.00","         24.00","      54000","             1296000.00","          5","      54000","        100.00"
"GICL","SM","31-Jan-2017","         24.00","         24.05","         24.10","         24.00","         24.05","         24.05","         24.05","      66000","             1587300.00","          4","      66000","        100.00"
"GICL","SM","06-Feb-2017","         24.05","         24.25","         24.50","         24.25","         24.50","         24.50","         24.38","      24000","              585000.00","          3","      24000","        100.00"
"GICL","SM","08-Feb-2017","         24.50","         24.70","         25.50","         24.70","         25.50","         25.50","         25.03","      30000","              750900.00","          5","      30000","        100.00"
"GICL","SM","13-Feb-2017","         25.50","         24.00","         24.00","         24.00","         24.00","         24.00","         24.00","       6000","              144000.00","          1","       6000","        100.00"
"GICL","SM","14-Feb-2017","         24.00","         24.00","         25.40","         24.00","         25.40","         25.40","         24.55","      48000","             1178400.00","          8","      42000","         87.50"
"GICL","SM","17-Feb-2017","         25.40","         25.00","         25.00","         25.00","         25.00","         25.00","         25.00","      18000","              450000.00","          3","      18000","        100.00"
"GICL","SM","20-Feb-2017","         25.00","         24.50","         25.00","         24.50","         25.00","         24.80","         24.80","      30000","              744000.00","          5","      30000","        100.00"
"GICL","SM","28-Feb-2017","         24.80","         24.00","         24.95","         24.00","         24.95","         24.95","         24.48","      12000","              293700.00","          2","      12000","        100.00"
"GICL","SM","06-Mar-2017","         24.95","         23.00","         23.25","         23.00","         23.25","         23.25","         23.13","      12000","              277500.00","          2","       6000","         50.00"
"GICL","SM","08-Mar-2017","         23.25","         24.00","         24.50","         24.00","         24.50","         24.50","         24.25","      12000","              291000.00","          2","      12000","        100.00"
"GICL","SM","09-Mar-2017","         24.50","         24.00","         24.00","         24.00","         24.00","         24.00","         24.00","       6000","              144000.00","          1","       6000","        100.00"
"GICL","SM","10-Mar-2017","         24.00","         22.80","         22.80","         22.80","         22.80","         22.80","         22.80","       6000","              136800.00","          1","       6000","        100.00"
"GICL","SM","14-Mar-2017","         22.80","         24.20","         25.65","         24.20","         25.00","         25.00","         24.73","      36000","              890100.00","          6","      36000","        100.00"
"GICL","SM","15-Mar-2017","         25.00","         25.45","         25.65","         25.45","         25.65","         25.65","         25.55","      30000","              766500.00","          5","      30000","        100.00"
"GICL","SM","16-Mar-2017","         25.65","         25.00","         25.00","         24.00","         24.00","         24.00","         24.50","      12000","              294000.00","          2","       6000","         50.00"
"GICL","SM","17-Mar-2017","         24.00","         24.95","         25.35","         24.95","         25.35","         25.35","         25.10","      18000","              451800.00","          3","      12000","         66.67"
"GICL","SM","21-Mar-2017","         25.35","         25.25","         25.50","         25.25","         25.50","         25.50","         25.38","      12000","              304500.00","          2","      12000","        100.00"
"GICL","SM","28-Mar-2017","         25.50","         25.50","         26.00","         25.50","         26.00","         26.00","         25.78","      18000","              464100.00","          3","      18000","        100.00"
"GICL","SM","30-Mar-2017","         26.00","         26.00","         26.00","         26.00","         26.00","         26.00","         26.00","       6000","              156000.00","          1","       6000","        100.00"
"GICL","SM","31-Mar-2017","         26.00","         26.00","         26.00","         26.00","         26.00","         26.00","         26.00","       6000","              156000.00","          1","       6000","        100.00"
