"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GODREJPROP","EQ","02-Jan-2017","        303.20","        307.90","        315.85","        305.20","        314.00","        313.70","        309.90","      77550","            24032444.90","       1765","      37027","         47.75"
"GODREJPROP","EQ","03-Jan-2017","        313.70","        309.95","        327.20","        309.95","        321.00","        321.20","        320.47","      81665","            26171582.95","       2514","      24094","         29.50"
"GODREJPROP","EQ","04-Jan-2017","        321.20","        318.50","        331.00","        318.50","        322.50","        323.65","        325.33","     137174","            44626916.55","       5390","      59108","         43.09"
"GODREJPROP","EQ","05-Jan-2017","        323.65","        329.00","        330.70","        322.05","        325.00","        325.00","        325.21","      91144","            29641223.35","       2300","      37198","         40.81"
"GODREJPROP","EQ","06-Jan-2017","        325.00","        326.80","        328.75","        315.00","        315.05","        316.15","        319.85","      34285","            10966000.45","       1319","      19047","         55.55"
"GODREJPROP","EQ","09-Jan-2017","        316.15","        318.85","        326.00","        313.40","        323.50","        322.75","        319.51","      31199","             9968516.10","       1097","      17675","         56.65"
"GODREJPROP","EQ","10-Jan-2017","        322.75","        324.65","        329.00","        319.50","        320.15","        321.70","        324.68","      41288","            13405380.90","       2560","      25361","         61.42"
"GODREJPROP","EQ","11-Jan-2017","        321.70","        323.90","        328.40","        320.15","        326.50","        326.15","        325.14","      28175","             9160935.00","       1605","      19386","         68.81"
"GODREJPROP","EQ","12-Jan-2017","        326.15","        328.80","        340.85","        323.50","        335.00","        335.05","        334.71","     141319","            47301326.55","       3783","      47652","         33.72"
"GODREJPROP","EQ","13-Jan-2017","        335.05","        335.00","        335.95","        327.30","        331.95","        331.70","        330.74","      37344","            12351229.75","       1118","      20785","         55.66"
"GODREJPROP","EQ","16-Jan-2017","        331.70","        331.70","        336.95","        331.00","        335.70","        335.25","        334.73","      28351","             9489905.30","        868","      18683","         65.90"
