"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GOODLUCK","EQ","03-Jul-2017","         86.65","         86.50","         87.50","         85.60","         85.60","         85.95","         86.43","      15939","             1377622.05","        252","       9572","         60.05"
"GOODLUCK","EQ","04-Jul-2017","         85.95","         86.35","         90.00","         85.10","         89.10","         88.30","         87.55","      26086","             2283930.25","        368","      17832","         68.36"
"GOODLUCK","EQ","05-Jul-2017","         88.30","         88.60","         93.00","         88.00","         91.05","         91.15","         90.85","      74849","             6800239.85","        947","      36588","         48.88"
"GOODLUCK","EQ","06-Jul-2017","         91.15","         89.70","         91.00","         89.50","         89.85","         90.05","         90.15","      39856","             3592983.15","        498","      24951","         62.60"
"GOODLUCK","EQ","07-Jul-2017","         90.05","         89.95","         92.70","         88.45","         91.05","         91.20","         90.35","      47757","             4314838.85","        646","      26641","         55.78"
"GOODLUCK","EQ","10-Jul-2017","         91.20","         92.00","         92.00","         89.30","         90.55","         91.00","         91.05","       6023","              548382.50","         58","       5538","         91.95"
"GOODLUCK","EQ","11-Jul-2017","         91.00","         91.00","         92.00","         88.60","         89.00","         89.30","         90.16","      42871","             3865282.55","        503","      24503","         57.16"
"GOODLUCK","EQ","12-Jul-2017","         89.30","         90.00","         95.00","         88.70","         92.00","         92.05","         92.43","     164249","            15182207.05","       1690","      85565","         52.09"
"GOODLUCK","EQ","13-Jul-2017","         92.05","         92.25","         94.00","         91.00","         91.80","         91.85","         92.52","      57740","             5342334.85","        728","      26193","         45.36"
"GOODLUCK","EQ","14-Jul-2017","         91.85","         92.00","         92.00","         89.50","         90.30","         90.20","         90.36","      40677","             3675508.55","        408","      32454","         79.78"
"GOODLUCK","EQ","17-Jul-2017","         90.20","         90.25","         90.70","         88.20","         88.30","         88.85","         89.35","      28364","             2534431.55","        334","      23151","         81.62"
"GOODLUCK","EQ","18-Jul-2017","         88.85","         88.85","         89.90","         88.50","         89.65","         88.80","         89.10","      20611","             1836445.55","        259","      12145","         58.92"
"GOODLUCK","EQ","19-Jul-2017","         88.80","         89.90","         90.50","         88.80","         90.00","         90.00","         89.65","      26741","             2397386.05","        282","      17882","         66.87"
"GOODLUCK","EQ","20-Jul-2017","         90.00","         90.60","         91.90","         90.05","         90.65","         90.50","         90.85","      32834","             2982819.25","        411","      21993","         66.98"
"GOODLUCK","EQ","21-Jul-2017","         90.50","         91.00","         91.85","         90.55","         91.10","         91.05","         91.06","      13724","             1249657.80","        247","       9412","         68.58"
"GOODLUCK","EQ","24-Jul-2017","         91.05","         92.95","         96.70","         92.00","         93.20","         92.50","         94.70","     220869","            20916951.90","       2645","     113146","         51.23"
"GOODLUCK","EQ","25-Jul-2017","         92.50","         93.75","         94.50","         92.55","         93.30","         93.20","         93.39","      48735","             4551491.85","        642","      28783","         59.06"
"GOODLUCK","EQ","26-Jul-2017","         93.20","         93.95","         95.00","         92.00","         92.35","         92.70","         93.44","      38021","             3552673.30","        528","      23204","         61.03"
"GOODLUCK","EQ","27-Jul-2017","         92.70","         92.30","         93.95","         91.80","         92.50","         92.20","         92.54","      52927","             4897704.45","        426","      32765","         61.91"
"GOODLUCK","EQ","28-Jul-2017","         92.20","         91.50","         92.70","         91.35","         92.45","         92.15","         92.10","      34876","             3211925.70","        308","      25276","         72.47"
