"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRAPHITE","EQ","02-Jan-2017","         73.10","         73.00","         73.80","         72.75","         72.80","         72.95","         73.02","      21354","             1559368.95","        154","      18572","         86.97"
"GRAPHITE","EQ","03-Jan-2017","         72.95","         73.65","         74.00","         72.90","         73.00","         73.30","         73.42","      25716","             1888001.75","        189","      20312","         78.99"
"GRAPHITE","EQ","04-Jan-2017","         73.30","         74.25","         74.30","         73.00","         73.30","         73.45","         73.41","      23761","             1744294.55","        159","      21289","         89.60"
"GRAPHITE","EQ","05-Jan-2017","         73.45","         74.30","         75.50","         73.45","         75.00","         74.50","         74.40","     144737","            10767896.20","       2259","      85591","         59.14"
"GRAPHITE","EQ","06-Jan-2017","         74.50","         74.90","         79.40","         74.90","         79.15","         78.55","         77.72","     173451","            13480274.10","       6792","     112889","         65.08"
"GRAPHITE","EQ","09-Jan-2017","         78.55","         80.25","         94.25","         79.50","         91.00","         91.25","         91.22","    2904815","           264988210.35","      26021","     775535","         26.70"
"GRAPHITE","EQ","10-Jan-2017","         91.25","         91.25","         94.75","         90.50","         93.40","         93.40","         92.69","    1385722","           128444957.60","       9414","     407136","         29.38"
"GRAPHITE","EQ","11-Jan-2017","         93.40","         93.50","         96.75","         92.10","         94.45","         94.00","         94.27","     948814","            89442644.85","       9189","     367095","         38.69"
"GRAPHITE","EQ","12-Jan-2017","         94.00","         94.00","         95.00","         87.40","         90.00","         89.30","         91.61","     390856","            35806125.60","       3609","     194261","         49.70"
"GRAPHITE","EQ","13-Jan-2017","         89.30","         90.15","         93.85","         88.25","         93.00","         92.85","         91.70","     305820","            28044321.80","       5174","     161976","         52.96"
"GRAPHITE","EQ","16-Jan-2017","         92.85","         93.35","         94.55","         91.20","         93.40","         93.10","         92.93","     188444","            17511654.00","       4086","      79445","         42.16"
"GRAPHITE","EQ","17-Jan-2017","         93.10","         93.00","        100.00","         91.75","         97.80","         97.50","         97.30","     730328","            71061179.55","      11625","     279351","         38.25"
"GRAPHITE","EQ","18-Jan-2017","         97.50","         96.95","        105.80","         96.95","        101.70","        101.80","        102.97","     962848","            99143502.20","      11154","     303112","         31.48"
"GRAPHITE","EQ","19-Jan-2017","        101.80","        100.40","        107.00","        100.40","        102.05","        102.30","        104.14","     549208","            57196105.25","       6319","     147981","         26.94"
"GRAPHITE","EQ","20-Jan-2017","        102.30","        102.00","        106.00","         97.30","         98.40","         98.40","        101.50","     309975","            31461791.65","       3352","      89447","         28.86"
"GRAPHITE","EQ","23-Jan-2017","         98.40","         97.40","        101.65","         96.10","         96.90","         97.00","         98.13","     170176","            16699565.35","       1880","      51779","         30.43"
"GRAPHITE","EQ","24-Jan-2017","         97.00","         98.00","        102.90","         97.20","        102.55","        102.05","        101.08","     396891","            40116619.15","       6291","     160763","         40.51"
"GRAPHITE","EQ","25-Jan-2017","        102.05","        102.50","        103.80","         99.45","        100.35","        100.25","        101.49","     148722","            15094506.05","       2065","      56138","         37.75"
"GRAPHITE","EQ","27-Jan-2017","        100.25","        100.35","        101.90","         98.00","         99.00","         98.80","         99.69","     134714","            13429034.65","       1305","      68915","         51.16"
"GRAPHITE","EQ","30-Jan-2017","         98.80","         99.10","         99.85","         96.55","         97.00","         97.00","         98.00","      80399","             7878736.55","        857","      46909","         58.35"
"GRAPHITE","EQ","31-Jan-2017","         97.00","         97.25","         98.90","         93.75","         97.35","         97.85","         96.34","     244020","            23508250.50","       2213","      92344","         37.84"
"GRAPHITE","EQ","01-Feb-2017","         97.85","         98.00","         99.90","         95.15","         98.35","         99.10","         98.56","     128763","            12690402.65","       1847","      74708","         58.02"
"GRAPHITE","EQ","02-Feb-2017","         99.10","         97.70","         98.85","         95.40","         96.15","         96.05","         97.12","      75215","             7304561.15","        772","      38257","         50.86"
"GRAPHITE","EQ","03-Feb-2017","         96.05","         97.00","        110.45","         96.15","        102.00","        102.10","        105.93","    1457858","           154427333.80","      11714","     468399","         32.13"
"GRAPHITE","EQ","06-Feb-2017","        102.10","        102.00","        104.90","        101.50","        104.00","        103.10","        103.30","     257351","            26583595.85","       3997","     138336","         53.75"
"GRAPHITE","EQ","07-Feb-2017","        103.10","        103.60","        103.90","        101.55","        102.85","        103.10","        103.05","     143418","            14778617.05","       1615","      83838","         58.46"
"GRAPHITE","EQ","08-Feb-2017","        103.10","        103.80","        104.60","        101.05","        103.00","        103.15","        102.91","      97423","            10025470.90","        851","      53804","         55.23"
"GRAPHITE","EQ","09-Feb-2017","        103.15","        102.90","        106.85","        102.90","        104.50","        104.65","        105.08","     212924","            22374296.45","       1807","     127555","         59.91"
"GRAPHITE","EQ","10-Feb-2017","        104.65","        106.00","        107.45","        104.20","        104.20","        104.75","        105.73","     142926","            15112022.50","       1568","      72106","         50.45"
