"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRUH","EQ","02-Jan-2017","        323.45","        329.40","        339.90","        325.00","        327.00","        329.35","        330.86","     114220","            37790500.85","       3503","      47318","         41.43"
"GRUH","EQ","03-Jan-2017","        329.35","        329.80","        334.00","        320.55","        325.60","        326.80","        324.39","      69023","            22390064.45","       2439","      21808","         31.60"
"GRUH","EQ","04-Jan-2017","        326.80","        327.95","        331.00","        323.50","        327.45","        328.75","        327.37","      88135","            28852886.60","       2642","      51973","         58.97"
"GRUH","EQ","05-Jan-2017","        328.75","        329.50","        332.60","        325.00","        326.00","        325.75","        328.13","      62118","            20382490.60","       2711","      38814","         62.48"
"GRUH","EQ","06-Jan-2017","        325.75","        328.35","        329.40","        325.05","        329.00","        327.30","        326.58","     137254","            44824409.05","       3548","     114680","         83.55"
"GRUH","EQ","09-Jan-2017","        327.30","        328.50","        332.65","        323.80","        326.00","        324.85","        327.96","      53642","            17592566.70","       2017","      29671","         55.31"
"GRUH","EQ","10-Jan-2017","        324.85","        327.80","        339.90","        321.20","        337.00","        333.25","        328.75","     218021","            71675262.55","       6588","     184678","         84.71"
"GRUH","EQ","11-Jan-2017","        333.25","        336.00","        346.00","        330.85","        334.75","        334.80","        340.07","    8096692","          2753463260.80","       7337","    7852905","         96.99"
"GRUH","EQ","12-Jan-2017","        334.80","        337.00","        340.00","        335.85","        339.80","        339.00","        338.18","     159628","            53982512.45","       6048","     111557","         69.89"
"GRUH","EQ","13-Jan-2017","        339.00","        339.50","        343.00","        300.00","        330.50","        330.55","        332.80","     670785","           223236994.40","      12409","     103265","         15.39"
"GRUH","EQ","16-Jan-2017","        330.55","        329.60","        338.00","        316.15","        330.10","        330.25","        331.03","     316090","           104634024.80","       9993","     216901","         68.62"
"GRUH","EQ","17-Jan-2017","        330.25","        333.50","        342.00","        331.25","        340.00","        340.35","        338.44","     509341","           172383755.75","       4967","     422687","         82.99"
"GRUH","EQ","18-Jan-2017","        340.35","        341.80","        341.80","        333.30","        337.00","        338.85","        337.47","      89480","            30196556.30","       2582","      41493","         46.37"
"GRUH","EQ","19-Jan-2017","        338.85","        335.50","        344.00","        335.50","        341.50","        341.10","        341.32","     122203","            41710253.50","       2253","      97044","         79.41"
"GRUH","EQ","20-Jan-2017","        341.10","        341.10","        342.45","        332.10","        335.00","        335.10","        338.29","      57745","            19534588.60","       6395","      41878","         72.52"
"GRUH","EQ","23-Jan-2017","        335.10","        337.50","        340.00","        330.20","        331.90","        333.50","        333.25","     108633","            36201968.25","       5082","      53841","         49.56"
"GRUH","EQ","24-Jan-2017","        333.50","        333.50","        338.25","        330.05","        338.00","        336.20","        333.93","      91644","            30602405.05","       6967","      68167","         74.38"
"GRUH","EQ","25-Jan-2017","        336.20","        338.90","        338.90","        331.70","        332.95","        332.75","        333.98","      94598","            31593592.00","       2071","      67188","         71.02"
"GRUH","EQ","27-Jan-2017","        332.75","        334.75","        343.00","        334.35","        337.70","        337.80","        339.80","     159470","            54188430.25","       7511","     104423","         65.48"
"GRUH","EQ","30-Jan-2017","        337.80","        338.70","        341.00","        332.10","        335.80","        337.10","        336.35","     100019","            33641449.50","       4993","      60826","         60.81"
"GRUH","EQ","31-Jan-2017","        337.10","        337.50","        337.50","        332.30","        336.50","        335.55","        335.10","      75997","            25466490.70","       3388","      49404","         65.01"
"GRUH","EQ","01-Feb-2017","        335.55","        338.00","        360.00","        338.00","        356.20","        353.90","        348.67","     495565","           172789956.00","       8222","     271686","         54.82"
"GRUH","EQ","02-Feb-2017","        353.90","        358.00","        360.00","        345.35","        351.00","        348.50","        352.56","     170415","            60081995.00","       5531","      94983","         55.74"
"GRUH","EQ","03-Feb-2017","        348.50","        350.00","        355.30","        350.00","        355.00","        354.45","        352.98","      87914","            31031610.25","       3572","      43379","         49.34"
"GRUH","EQ","06-Feb-2017","        354.45","        355.15","        359.50","        352.35","        358.30","        357.65","        355.77","      96547","            34348645.65","       3377","      66261","         68.63"
"GRUH","EQ","07-Feb-2017","        357.65","        354.10","        364.00","        354.05","        359.00","        359.45","        359.65","     130431","            46910051.75","      12119","      74071","         56.79"
"GRUH","EQ","08-Feb-2017","        359.45","        359.05","        362.55","        354.95","        360.65","        360.05","        359.20","     121197","            43533820.65","       6085","      85011","         70.14"
"GRUH","EQ","09-Feb-2017","        360.05","        363.80","        363.80","        356.40","        361.00","        360.90","        360.83","     182377","            65807555.85","       2402","     164630","         90.27"
"GRUH","EQ","10-Feb-2017","        360.90","        362.25","        369.00","        360.10","        368.85","        367.25","        364.44","     320897","           116948074.80","       8318","     226728","         70.65"
"GRUH","EQ","13-Feb-2017","        367.25","        368.10","        370.00","        353.95","        368.00","        368.65","        363.06","     145682","            52890685.70","       4529","      88266","         60.59"
"GRUH","EQ","14-Feb-2017","        368.65","        367.95","        370.00","        361.00","        362.90","        364.75","        366.15","      62700","            22957399.60","       1623","      44661","         71.23"
"GRUH","EQ","15-Feb-2017","        364.75","        364.50","        390.90","        363.35","        381.25","        384.10","        380.25","     722366","           274679445.40","      13650","     357691","         49.52"
"GRUH","EQ","16-Feb-2017","        384.10","        384.10","        389.90","        371.15","        383.00","        383.80","        383.56","     256376","            98334430.00","       7527","     100138","         39.06"
"GRUH","EQ","17-Feb-2017","        383.80","        385.80","        388.00","        375.00","        377.00","        377.55","        381.84","     104337","            39840009.40","       2337","      62880","         60.27"
"GRUH","EQ","20-Feb-2017","        377.55","        378.50","        381.40","        367.55","        369.25","        369.25","        374.02","     108108","            40434603.05","       2932","      67093","         62.06"
"GRUH","EQ","21-Feb-2017","        369.25","        371.30","        374.70","        368.20","        369.00","        369.75","        370.99","      77385","            28709264.65","       1662","      53607","         69.27"
"GRUH","EQ","22-Feb-2017","        369.75","        371.40","        374.35","        366.85","        368.50","        368.35","        369.61","      63687","            23539464.05","       1539","      44463","         69.81"
"GRUH","EQ","23-Feb-2017","        368.35","        370.20","        382.50","        369.05","        372.00","        373.00","        377.71","     263643","            99581377.00","       5140","     135114","         51.25"
"GRUH","EQ","27-Feb-2017","        373.00","        374.90","        374.90","        368.10","        370.00","        369.55","        369.97","     111926","            41408987.95","       2663","      89662","         80.11"
"GRUH","EQ","28-Feb-2017","        369.55","        371.10","        374.90","        367.65","        372.20","        373.40","        372.17","      91522","            34061649.55","       2306","      74499","         81.40"
"GRUH","EQ","01-Mar-2017","        373.40","        370.15","        375.00","        369.00","        374.00","        373.50","        371.90","      90178","            33536759.35","       2229","      58542","         64.92"
"GRUH","EQ","02-Mar-2017","        373.50","        374.50","        376.00","        370.50","        375.50","        375.20","        373.93","      88069","            32931283.60","       4806","      63856","         72.51"
"GRUH","EQ","03-Mar-2017","        375.20","        374.00","        378.00","        373.30","        373.80","        374.90","        374.78","      67502","            25298428.85","       3780","      52652","         78.00"
"GRUH","EQ","06-Mar-2017","        374.90","        374.90","        378.35","        366.65","        368.90","        368.25","        369.23","     206267","            76158972.25","       9576","     158299","         76.74"
"GRUH","EQ","07-Mar-2017","        368.25","        370.00","        372.00","        363.60","        364.00","        364.55","        365.37","     100772","            36818997.55","       5510","      62587","         62.11"
