"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GSFC","EQ","03-Apr-2017","        131.00","        131.05","        131.75","        127.10","        127.60","        128.00","        129.12","     876322","           113150387.45","       5721","     410505","         46.84"
"GSFC","EQ","05-Apr-2017","        128.00","        128.80","        128.80","        125.50","        125.90","        125.95","        126.66","     667792","            84584618.95","       3992","     336666","         50.41"
"GSFC","EQ","06-Apr-2017","        125.95","        125.40","        126.80","        121.30","        121.80","        121.75","        123.52","     794607","            98148593.10","       7700","     459942","         57.88"
"GSFC","EQ","07-Apr-2017","        121.75","        121.80","        123.90","        118.60","        119.20","        119.35","        121.85","     945661","           115227395.10","       5983","     451742","         47.77"
"GSFC","EQ","10-Apr-2017","        119.35","        120.00","        122.50","        117.25","        117.55","        117.75","        119.42","     891367","           106449515.20","       9968","     454136","         50.95"
"GSFC","EQ","11-Apr-2017","        117.75","        117.35","        119.40","        116.60","        117.85","        117.40","        117.92","     796699","            93950113.20","       7153","     379134","         47.59"
"GSFC","EQ","12-Apr-2017","        117.40","        117.75","        122.25","        116.30","        120.80","        121.85","        120.83","    1896874","           229201204.90","       9415","     946215","         49.88"
"GSFC","EQ","13-Apr-2017","        121.85","        122.20","        122.50","        117.85","        118.30","        118.50","        120.56","     707135","            85253313.70","       5056","     290339","         41.06"
"GSFC","EQ","17-Apr-2017","        118.50","        118.50","        119.60","        116.70","        116.95","        117.35","        117.89","     382808","            45131050.10","       2886","     197682","         51.64"
"GSFC","EQ","18-Apr-2017","        117.35","        117.95","        120.30","        113.90","        115.00","        114.85","        117.33","     625997","            73450255.35","       4344","     296424","         47.35"
"GSFC","EQ","19-Apr-2017","        114.85","        115.45","        117.00","        114.60","        115.20","        115.30","        115.63","     358830","            41492998.25","       2613","     170799","         47.60"
"GSFC","EQ","20-Apr-2017","        115.30","        118.85","        126.30","        118.25","        123.70","        123.70","        122.01","    2402676","           293161790.00","      17457","    1078626","         44.89"
"GSFC","EQ","21-Apr-2017","        123.70","        124.60","        125.75","        119.10","        120.00","        120.15","        122.52","    1366711","           167446356.80","       7583","     681651","         49.88"
"GSFC","EQ","24-Apr-2017","        120.15","        120.90","        123.45","        119.50","        119.60","        119.85","        121.31","     731405","            88728397.65","       4517","     399462","         54.62"
