"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GAL","EQ","03-Jul-2017","          7.15","          7.45","          7.65","          7.00","          7.40","          7.30","          7.32","     184187","             1348643.45","        296","      55738","         30.26"
"GAL","EQ","04-Jul-2017","          7.30","          7.60","          7.60","          6.95","          7.30","          7.30","          7.19","     251400","             1806839.65","        278","     137129","         54.55"
"GAL","EQ","05-Jul-2017","          7.30","          7.25","          7.50","          7.05","          7.45","          7.45","          7.27","     787400","             5723727.00","        192","      89914","         11.42"
"GAL","EQ","06-Jul-2017","          7.45","          7.45","          8.00","          7.35","          7.95","          7.80","          7.60","    1034061","             7858662.65","        771","     211204","         20.42"
"GAL","EQ","07-Jul-2017","          7.80","          7.65","          8.30","          7.40","          7.90","          7.80","          7.79","     628790","             4895628.60","        756","     159929","         25.43"
"GAL","EQ","10-Jul-2017","          7.80","          8.10","          8.30","          7.50","          8.15","          8.00","          8.00","      32070","              256626.85","        110","      27759","         86.56"
"GAL","EQ","11-Jul-2017","          8.00","          8.25","          8.35","          7.60","          8.25","          8.00","          7.91","     543593","             4299408.75","        564","     235133","         43.26"
"GAL","EQ","12-Jul-2017","          8.00","          8.15","          8.70","          8.00","          8.40","          8.25","          8.34","     561456","             4683343.80","        533","     272385","         48.51"
"GAL","EQ","13-Jul-2017","          8.25","          8.40","          8.45","          8.00","          8.10","          8.05","          8.18","     372594","             3047104.20","        418","     277732","         74.54"
"GAL","EQ","14-Jul-2017","          8.05","          8.30","          8.30","          7.80","          7.85","          7.90","          7.94","     159828","             1268631.65","        237","     142147","         88.94"
"GAL","EQ","17-Jul-2017","          7.90","          7.60","          8.25","          7.60","          8.00","          7.95","          7.86","     670790","             5273838.65","        446","     130141","         19.40"
"GAL","EQ","18-Jul-2017","          7.95","          8.00","          8.00","          7.70","          7.80","          7.80","          7.83","      50602","              396374.60","        110","      43191","         85.35"
"GAL","EQ","19-Jul-2017","          7.80","          7.70","          8.25","          7.65","          7.80","          7.85","          8.03","     502219","             4031388.20","        774","     272430","         54.25"
"GAL","EQ","20-Jul-2017","          7.85","          7.80","          8.00","          7.55","          7.55","          7.60","          7.73","     154354","             1193244.15","        211","     140137","         90.79"
"GAL","EQ","21-Jul-2017","          7.60","          7.60","          7.80","          7.50","          7.50","          7.60","          7.65","     122750","              939405.45","        175","      99379","         80.96"
"GAL","EQ","24-Jul-2017","          7.60","          7.50","          7.70","          7.50","          7.60","          7.65","          7.66","      27948","              214165.25","         83","      22548","         80.68"
"GAL","EQ","25-Jul-2017","          7.65","          7.50","          8.70","          7.50","          8.55","          8.55","          8.14","    1571664","            12792975.35","       1075","     736800","         46.88"
"GAL","EQ","26-Jul-2017","          8.55","          8.65","          9.45","          8.60","          8.75","          8.85","          9.06","    1386614","            12562302.80","       1443","     696382","         50.22"
"GAL","EQ","27-Jul-2017","          8.85","          9.20","          9.30","          8.40","          8.50","          8.60","          8.82","     601199","             5305508.80","        648","     215909","         35.91"
"GAL","EQ","28-Jul-2017","          8.60","          8.95","          8.95","          8.35","          8.55","          8.60","          8.55","     269358","             2302467.85","        309","     113379","         42.09"
"GAL","EQ","31-Jul-2017","          8.60","          9.20","          9.20","          7.85","          8.00","          8.05","          8.40","    1948974","            16363864.90","       1445","     562127","         28.84"
"GAL","EQ","01-Aug-2017","          8.05","          8.40","          8.40","          7.70","          7.70","          7.75","          7.81","     288799","             2256950.95","        584","     166996","         57.82"
"GAL","EQ","02-Aug-2017","          7.75","          7.95","          7.95","          7.45","          7.60","          7.60","          7.59","     536281","             4069470.45","        535","     262109","         48.88"
"GAL","EQ","03-Aug-2017","          7.60","          7.50","          8.15","          7.35","          7.70","          7.55","          7.51","     248222","             1862983.20","        420","      55786","         22.47"
"GAL","EQ","04-Aug-2017","          7.55","          7.80","          8.20","          7.45","          7.50","          7.60","          7.65","     927665","             7092046.90","       1052","     154016","         16.60"
"GAL","EQ","07-Aug-2017","          7.60","          7.60","          7.90","          7.40","          7.85","          7.70","          7.56","     292073","             2207930.30","        516","      77735","         26.61"
"GAL","EQ","08-Aug-2017","          7.70","          7.70","          7.75","          7.40","          7.40","          7.45","          7.48","     117389","              878267.15","        178","      78058","         66.50"
"GAL","EQ","09-Aug-2017","          7.45","          7.35","          7.35","          7.00","          7.10","          7.05","          7.13","      83143","              593028.45","        230","      57719","         69.42"
"GAL","EQ","10-Aug-2017","          7.05","          7.35","          7.35","          6.55","          7.00","          7.10","          7.02","     444642","             3120011.40","        441","     355073","         79.86"
"GAL","EQ","11-Aug-2017","          7.10","          6.80","          7.15","          6.75","          6.95","          7.00","          6.93","     105707","              733010.15","        126","      56390","         53.35"
"GAL","EQ","14-Aug-2017","          7.00","          6.95","          7.15","          6.45","          6.70","          6.65","          6.79","     319489","             2170566.35","        469","     209857","         65.69"
"GAL","EQ","16-Aug-2017","          6.65","          6.90","          6.90","          6.65","          6.75","          6.75","          6.81","      97951","              666920.95","        161","      71149","         72.64"
"GAL","EQ","17-Aug-2017","          6.75","          6.90","          6.90","          6.60","          6.75","          6.75","          6.79","      82434","              559764.90","        154","      57778","         70.09"
"GAL","EQ","18-Aug-2017","          6.75","          6.85","          7.20","          6.55","          7.15","          6.80","          6.74","     204890","             1381566.05","        176","     184099","         89.85"
"GAL","EQ","21-Aug-2017","          6.80","          7.30","          7.45","          6.85","          6.85","          6.95","          7.08","     266639","             1886629.80","        402","     146913","         55.10"
"GAL","EQ","22-Aug-2017","          6.95","          7.10","          7.30","          6.60","          6.70","          6.65","          6.88","    1032678","             7109942.95","        590","     466584","         45.18"
"GAL","EQ","23-Aug-2017","          6.65","          6.90","          6.90","          6.60","          6.75","          6.70","          6.68","     129764","              866902.20","        121","      80640","         62.14"
