"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","03-Jul-2017","       1652.05","       1652.60","       1667.50","       1647.25","       1660.00","       1658.60","       1658.07","     876083","          1452603241.70","      29692","     555332","         63.39"
"HDFCBANK","EQ","04-Jul-2017","       1658.60","       1660.25","       1666.70","       1652.00","       1653.00","       1653.35","       1656.45","     941520","          1559578817.20","      29651","     629966","         66.91"
"HDFCBANK","EQ","05-Jul-2017","       1653.35","       1653.10","       1659.50","       1645.00","       1647.15","       1648.75","       1651.02","    1003550","          1656877513.35","      33969","     745305","         74.27"
"HDFCBANK","IL","05-Jul-2017","       1670.00","       1653.35","       1653.35","       1653.35","-","       1653.35","       1653.35","      36705","            60686211.75","          1","      36705","        100.00"
"HDFCBANK","EQ","06-Jul-2017","       1648.75","       1652.55","       1663.00","       1651.35","       1658.95","       1658.15","       1658.74","    1142919","          1895807617.70","      36276","     826102","         72.28"
"HDFCBANK","EQ","07-Jul-2017","       1658.15","       1660.85","       1669.60","       1658.00","       1665.00","       1667.20","       1663.38","    1379349","          2294376290.90","      34523","     989181","         71.71"
"HDFCBANK","EQ","10-Jul-2017","       1667.20","       1670.70","       1748.00","       1661.05","       1674.00","       1676.35","       1674.39","     334769","           560535368.70","       6377","     189620","         56.64"
"HDFCBANK","EQ","11-Jul-2017","       1676.35","       1677.55","       1690.80","       1667.10","       1676.15","       1680.40","       1681.60","    1102570","          1854082214.50","      46609","     683669","         62.01"
"HDFCBANK","IL","11-Jul-2017","       1653.35","       1700.00","       1732.00","       1700.00","-","       1726.25","       1725.18","    1409409","          2431490800.00","         81","    1409409","        100.00"
"HDFCBANK","EQ","12-Jul-2017","       1680.40","       1680.00","       1685.00","       1658.55","       1680.55","       1681.25","       1675.45","    1434723","          2403800089.65","      39173","     807682","         56.30"
"HDFCBANK","IL","12-Jul-2017","       1726.25","       1705.00","       1705.00","       1700.00","-","       1700.00","       1700.21","     208956","           355269980.00","         15","     208956","        100.00"
"HDFCBANK","EQ","13-Jul-2017","       1681.25","       1688.00","       1693.30","       1679.65","       1681.05","       1683.55","       1687.47","    1120251","          1890389586.05","      38013","     794284","         70.90"
"HDFCBANK","IL","13-Jul-2017","       1700.00","       1721.00","       1721.00","       1711.00","-","       1711.00","       1719.08","     885000","          1521385000.00","         30","     235000","         26.55"
