"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HMT","BE","02-Jan-2017","         40.85","         41.40","         42.85","         40.10","         42.85","         42.85","         42.56","      51880","             2207808.90","        228","-","-"
"HMT","BE","03-Jan-2017","         42.85","         44.00","         44.00","         41.05","         42.20","         41.95","         42.00","      20181","              847551.40","        112","-","-"
"HMT","BE","04-Jan-2017","         41.95","         42.80","         42.80","         41.25","         41.35","         41.45","         41.63","       5673","              236178.25","         52","-","-"
"HMT","BE","05-Jan-2017","         41.45","         42.20","         43.50","         41.35","         43.50","         43.35","         42.70","      37941","             1619973.35","        169","-","-"
"HMT","BE","06-Jan-2017","         43.35","         42.00","         43.35","         42.00","         43.05","         42.85","         42.81","      16536","              707894.00","        106","-","-"
"HMT","BE","09-Jan-2017","         42.85","         43.50","         43.50","         42.00","         43.50","         43.30","         42.98","      13016","              559421.25","         72","-","-"
"HMT","BE","10-Jan-2017","         43.30","         43.50","         45.45","         41.85","         45.45","         45.40","         44.41","     115491","             5128569.45","        358","-","-"
"HMT","BE","11-Jan-2017","         45.40","         46.45","         46.45","         43.70","         45.15","         45.00","         44.78","      43214","             1935189.10","        233","-","-"
"HMT","BE","12-Jan-2017","         45.00","         45.00","         45.80","         43.55","         44.50","         44.35","         44.52","      26175","             1165263.40","        139","-","-"
"HMT","BE","13-Jan-2017","         44.35","         45.00","         45.00","         42.80","         44.10","         43.80","         43.47","      20613","              896084.95","        107","-","-"
"HMT","BE","16-Jan-2017","         43.80","         43.00","         44.10","         41.65","         42.60","         42.85","         43.27","      13523","              585160.45","         77","-","-"
"HMT","BE","17-Jan-2017","         42.85","         43.90","         43.90","         42.05","         43.40","         42.80","         43.04","       9299","              400214.35","         58","-","-"
"HMT","BE","18-Jan-2017","         42.80","         43.90","         43.90","         42.00","         42.50","         42.50","         42.52","       7133","              303299.20","         44","-","-"
"HMT","BE","19-Jan-2017","         42.50","         41.50","         44.60","         41.00","         44.60","         44.60","         44.29","      53289","             2360234.00","        125","-","-"
"HMT","BE","20-Jan-2017","         44.60","         46.50","         46.50","         43.30","         43.95","         43.85","         45.14","      35649","             1609184.60","        179","-","-"
"HMT","BE","23-Jan-2017","         43.85","         43.95","         44.70","         43.00","         44.70","         44.10","         43.93","       9822","              431440.05","         61","-","-"
"HMT","BE","24-Jan-2017","         44.10","         42.50","         44.85","         42.20","         43.50","         43.65","         43.28","       5501","              238107.00","         40","-","-"
"HMT","BE","25-Jan-2017","         43.65","         43.70","         44.75","         43.15","         43.35","         44.00","         44.18","      18682","              825431.20","        109","-","-"
"HMT","BE","27-Jan-2017","         44.00","         45.10","         45.10","         43.35","         43.85","         43.75","         43.74","       8424","              368490.55","         53","-","-"
"HMT","BE","30-Jan-2017","         43.75","         43.00","         45.10","         43.00","         43.80","         43.85","         44.37","      10678","              473786.60","         82","-","-"
"HMT","BE","31-Jan-2017","         43.85","         45.00","         45.00","         43.10","         43.10","         43.35","         43.71","       7069","              308965.05","         67","-","-"
"HMT","BE","01-Feb-2017","         43.35","         44.90","         44.90","         42.55","         42.90","         42.80","         43.31","      45835","             1985086.85","        122","-","-"
"HMT","BE","02-Feb-2017","         42.80","         42.80","         43.95","         42.45","         42.60","         42.55","         42.61","      19090","              813456.05","        100","-","-"
"HMT","BE","03-Feb-2017","         42.55","         43.50","         43.50","         42.50","         42.90","         42.65","         42.62","       9032","              384943.35","         59","-","-"
"HMT","BE","06-Feb-2017","         42.65","         41.05","         43.45","         41.05","         41.75","         41.95","         42.20","      11654","              491795.15","         74","-","-"
"HMT","BE","07-Feb-2017","         41.95","         43.00","         43.00","         41.25","         42.50","         42.35","         42.49","      18447","              783874.95","        103","-","-"
"HMT","BE","08-Feb-2017","         42.35","         43.00","         43.35","         41.65","         41.85","         41.85","         42.01","      10021","              420983.15","         46","-","-"
"HMT","BE","09-Feb-2017","         41.85","         42.50","         42.50","         41.40","         41.75","         41.75","         41.88","       4378","              183340.70","         47","-","-"
"HMT","BE","10-Feb-2017","         41.75","         41.75","         42.80","         41.50","         41.80","         41.60","         41.76","       5728","              239203.40","         50","-","-"
"HMT","BE","13-Feb-2017","         41.60","         43.00","         43.00","         40.55","         41.80","         40.80","         41.24","      10014","              413003.55","         59","-","-"
"HMT","BE","14-Feb-2017","         40.80","         40.80","         42.00","         40.10","         41.50","         41.20","         40.65","       2835","              115246.55","         22","-","-"
"HMT","BE","15-Feb-2017","         41.20","         40.20","         40.90","         39.50","         39.50","         39.80","         39.91","       9427","              376275.35","         68","-","-"
"HMT","BE","16-Feb-2017","         39.80","         39.50","         40.70","         39.00","         40.65","         40.20","         39.92","       5306","              211818.25","         47","-","-"
"HMT","BE","17-Feb-2017","         40.20","         40.20","         40.95","         39.50","         40.30","         40.05","         39.87","       3355","              133765.65","         40","-","-"
"HMT","BE","20-Feb-2017","         40.05","         40.25","         41.45","         39.30","         41.20","         40.30","         40.40","       3085","              124619.65","         46","-","-"
"HMT","BE","21-Feb-2017","         40.30","         39.70","         41.00","         39.70","         40.05","         40.20","         40.15","       5565","              223430.10","         48","-","-"
"HMT","BE","22-Feb-2017","         40.20","         42.10","         42.10","         39.60","         39.80","         39.90","         40.31","       5441","              219315.60","         42","-","-"
"HMT","BE","23-Feb-2017","         39.90","         39.60","         40.85","         39.60","         40.80","         40.45","         40.48","      13971","              565485.80","         49","-","-"
"HMT","BZ","27-Feb-2017","         40.45","         39.00","         40.45","         39.00","         39.20","         39.25","         39.26","       4007","              157304.30","         21","-","-"
"HMT","BZ","28-Feb-2017","         39.25","         40.80","         40.80","         39.00","         39.85","         39.10","         39.10","       1531","               59867.70","         16","-","-"
"HMT","BZ","01-Mar-2017","         39.10","         39.10","         40.90","         38.10","         39.10","         40.10","         39.43","       1360","               53628.40","         24","-","-"
"HMT","BZ","02-Mar-2017","         40.10","         38.20","         40.70","         38.20","         39.00","         39.00","         39.36","       3548","              139660.90","         20","-","-"
"HMT","BZ","03-Mar-2017","         39.00","         38.25","         39.30","         38.00","         38.85","         38.85","         38.62","       1118","               43181.90","         20","-","-"
"HMT","BZ","06-Mar-2017","         38.85","         40.20","         40.20","         38.00","         38.05","         38.10","         38.20","       5900","              225385.95","         42","-","-"
"HMT","BZ","07-Mar-2017","         38.10","         38.20","         39.25","         37.15","         37.20","         37.20","         37.56","       5840","              219322.55","         64","-","-"
