"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HARRMALAYA","EQ","02-Jan-2017","         68.60","         68.10","         74.75","         65.90","         73.55","         73.30","         71.58","     383444","            27445423.80","       4689","     168445","         43.93"
"HARRMALAYA","EQ","03-Jan-2017","         73.30","         73.30","         74.20","         70.55","         70.95","         71.15","         72.24","      88481","             6392027.45","       1406","      43014","         48.61"
"HARRMALAYA","EQ","04-Jan-2017","         71.15","         71.50","         73.00","         70.20","         71.40","         71.15","         71.63","      72509","             5193993.80","        927","      31163","         42.98"
"HARRMALAYA","EQ","05-Jan-2017","         71.15","         71.65","         76.70","         70.50","         75.95","         75.90","         74.59","     296663","            22127144.85","       3477","     128762","         43.40"
"HARRMALAYA","EQ","06-Jan-2017","         75.90","         77.50","         81.00","         75.70","         77.00","         76.55","         78.23","     724583","            56682202.25","       7065","     209918","         28.97"
"HARRMALAYA","EQ","09-Jan-2017","         76.55","         77.00","         78.00","         75.55","         76.20","         76.30","         76.63","     118344","             9068141.00","       1523","      34991","         29.57"
"HARRMALAYA","EQ","10-Jan-2017","         76.30","         76.60","         78.70","         75.60","         76.30","         76.30","         77.38","     164769","            12749897.50","       2032","      59358","         36.02"
"HARRMALAYA","EQ","11-Jan-2017","         76.30","         77.10","         77.90","         75.15","         77.30","         77.35","         76.91","     139298","            10713352.15","       1521","      51736","         37.14"
"HARRMALAYA","EQ","12-Jan-2017","         77.35","         77.40","         77.80","         74.30","         76.75","         77.00","         76.65","     104714","             8026819.40","        896","      61525","         58.76"
"HARRMALAYA","EQ","13-Jan-2017","         77.00","         77.90","         82.35","         76.50","         80.25","         80.35","         80.71","     716487","            57827617.25","       7056","     272369","         38.01"
"HARRMALAYA","EQ","16-Jan-2017","         80.35","         79.85","         84.05","         78.85","         81.65","         82.20","         82.56","     288030","            23778986.75","       2808","     136515","         47.40"
"HARRMALAYA","EQ","17-Jan-2017","         82.20","         82.00","         84.00","         81.25","         81.80","         82.00","         82.42","     135705","            11185203.50","       1537","      53901","         39.72"
"HARRMALAYA","EQ","18-Jan-2017","         82.00","         82.50","         83.25","         80.65","         80.70","         81.35","         81.96","      88481","             7251637.70","        760","      44400","         50.18"
"HARRMALAYA","EQ","19-Jan-2017","         81.35","         81.80","         81.80","         76.20","         79.40","         79.45","         79.09","     206493","            16331038.35","       2338","     100401","         48.62"
"HARRMALAYA","EQ","20-Jan-2017","         79.45","         79.05","         85.40","         77.00","         84.80","         84.85","         82.80","     503904","            41725145.70","       4602","     201931","         40.07"
"HARRMALAYA","EQ","23-Jan-2017","         84.85","         84.50","         84.90","         81.50","         82.80","         83.45","         83.31","     694137","            57826784.70","       5909","     206198","         29.71"
"HARRMALAYA","EQ","24-Jan-2017","         83.45","         82.75","         84.80","         82.00","         82.10","         82.50","         83.20","     149032","            12400022.85","       1313","      63420","         42.55"
"HARRMALAYA","EQ","25-Jan-2017","         82.50","         82.65","         83.50","         81.50","         81.75","         82.30","         82.63","      98403","             8130859.60","       1082","      40750","         41.41"
"HARRMALAYA","EQ","27-Jan-2017","         82.30","         82.50","         83.00","         81.50","         81.85","         82.25","         82.15","      94986","             7803067.20","        885","      50489","         53.15"
"HARRMALAYA","EQ","30-Jan-2017","         82.25","         82.90","         84.90","         81.10","         83.05","         83.10","         83.43","     279001","            23277792.50","       3067","      85576","         30.67"
"HARRMALAYA","EQ","31-Jan-2017","         83.10","         83.00","         84.85","         78.60","         79.35","         79.50","         82.26","     164721","            13549144.65","       1789","      89116","         54.10"
"HARRMALAYA","EQ","01-Feb-2017","         79.50","         79.40","         81.80","         78.55","         80.20","         80.30","         80.08","      55691","             4459689.70","        804","      23499","         42.20"
"HARRMALAYA","EQ","02-Feb-2017","         80.30","         80.55","         82.90","         80.30","         81.00","         81.35","         81.62","      74181","             6054982.85","       1235","      26211","         35.33"
"HARRMALAYA","EQ","03-Feb-2017","         81.35","         81.65","         84.75","         80.70","         82.80","         82.60","         83.34","     220053","            18339816.05","       2457","      96331","         43.78"
