"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDALCO","EQ","03-Apr-2017","        195.05","        195.10","        196.85","        192.35","        193.50","        193.60","        194.31","    7198876","          1398778472.05","      48844","    3142368","         43.65"
"HINDALCO","EQ","05-Apr-2017","        193.60","        194.40","        199.20","        194.20","        197.80","        198.20","        197.57","   10440883","          2062840546.55","      69708","    3714688","         35.58"
"HINDALCO","EQ","06-Apr-2017","        198.20","        196.70","        196.70","        191.35","        193.85","        193.95","        193.26","   15667730","          3027963285.20","     143470","    8248142","         52.64"
"HINDALCO","EQ","07-Apr-2017","        193.95","        193.70","        197.60","        192.35","        193.75","        193.50","        194.44","   14576273","          2834192954.15","      83504","    6373361","         43.72"
"HINDALCO","EQ","10-Apr-2017","        193.50","        194.10","        195.50","        192.60","        195.10","        195.05","        194.43","    6929296","          1347270966.25","      62095","    2497492","         36.04"
"HINDALCO","EQ","11-Apr-2017","        195.05","        195.10","        197.00","        192.60","        196.15","        196.45","        195.02","    9870105","          1924844850.75","      89347","    4461655","         45.20"
"HINDALCO","EQ","12-Apr-2017","        196.45","        196.95","        198.00","        192.10","        192.55","        193.00","        193.72","   14253253","          2761156989.90","      83540","    7909049","         55.49"
"HINDALCO","EQ","13-Apr-2017","        193.00","        192.00","        192.00","        182.45","        183.10","        183.25","        185.73","   20027226","          3719621031.75","     107793","    9447796","         47.17"
"HINDALCO","EQ","17-Apr-2017","        183.25","        182.50","        182.95","        179.35","        181.60","        181.45","        180.81","   16069287","          2905422131.50","      97162","    8447705","         52.57"
"HINDALCO","EQ","18-Apr-2017","        181.45","        183.70","        190.35","        183.20","        183.80","        183.80","        186.57","   22344207","          4168867086.45","     116412","    9221965","         41.27"
"HINDALCO","EQ","19-Apr-2017","        183.80","        183.65","        187.20","        182.05","        186.80","        186.00","        184.27","   10062015","          1854133354.15","      57179","    3828781","         38.05"
"HINDALCO","EQ","20-Apr-2017","        186.00","        186.95","        188.60","        184.90","        186.65","        186.45","        186.68","    9335160","          1742731360.70","      82485","    3840651","         41.14"
"HINDALCO","EQ","21-Apr-2017","        186.45","        187.75","        190.70","        184.60","        187.90","        188.10","        187.45","   13683524","          2565026679.20","      88636","    6147706","         44.93"
"HINDALCO","EQ","24-Apr-2017","        188.10","        188.00","        191.70","        187.10","        190.65","        190.80","        189.85","    8934000","          1696121597.70","      63498","    4273425","         47.83"
"HINDALCO","EQ","25-Apr-2017","        190.80","        192.75","        193.75","        189.15","        191.25","        191.70","        191.55","    8090965","          1549846824.60","      64268","    3141086","         38.82"
"HINDALCO","EQ","26-Apr-2017","        191.70","        192.60","        198.45","        192.60","        197.55","        197.00","        196.37","   13469283","          2645027210.80","      84807","    4770324","         35.42"
"HINDALCO","EQ","27-Apr-2017","        197.00","        197.65","        197.75","        193.70","        195.15","        194.85","        195.05","    9453547","          1843871248.55","      59582","    4377829","         46.31"
"HINDALCO","EQ","28-Apr-2017","        194.85","        193.85","        203.70","        192.25","        199.00","        199.35","        199.86","   17428449","          3483229817.60","      81723","    4675916","         26.83"
"HINDALCO","EQ","02-May-2017","        199.35","        200.85","        203.90","        198.60","        200.40","        200.25","        200.78","   12542163","          2518177847.95","      64668","    4411932","         35.18"
"HINDALCO","EQ","03-May-2017","        200.25","        201.10","        201.90","        196.45","        197.20","        197.05","        198.52","    7853965","          1559176507.70","      43878","    1746211","         22.23"
"HINDALCO","EQ","04-May-2017","        197.05","        197.75","        198.85","        190.25","        192.30","        192.45","        192.75","   11224342","          2163529434.60","      60038","    4273875","         38.08"
