"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDMOTORS","EQ","03-Jul-2017","          7.95","          8.00","          8.15","          7.85","          8.00","          8.00","          8.01","     195719","             1568275.50","        293","     124281","         63.50"
"HINDMOTORS","EQ","04-Jul-2017","          8.00","          8.00","          8.15","          7.95","          8.05","          8.00","          8.05","     180534","             1454178.90","        311","      84257","         46.67"
"HINDMOTORS","EQ","05-Jul-2017","          8.00","          8.05","          8.10","          7.95","          8.00","          7.95","          8.01","     132634","             1062326.35","        266","      84475","         63.69"
"HINDMOTORS","EQ","06-Jul-2017","          7.95","          7.95","          8.15","          7.95","          8.00","          8.00","          8.03","     132145","             1061684.95","        283","      81325","         61.54"
"HINDMOTORS","EQ","07-Jul-2017","          8.00","          8.05","          8.45","          8.00","          8.30","          8.30","          8.28","     465059","             3851347.90","        734","     212391","         45.67"
"HINDMOTORS","EQ","10-Jul-2017","          8.30","          8.20","          8.20","          8.05","          8.15","          8.10","          8.13","      84866","              689676.75","        171","      77330","         91.12"
"HINDMOTORS","EQ","11-Jul-2017","          8.10","          8.10","          8.30","          8.05","          8.15","          8.10","          8.19","     206973","             1695621.90","        353","     144057","         69.60"
"HINDMOTORS","EQ","12-Jul-2017","          8.10","          8.10","          8.30","          8.00","          8.15","          8.10","          8.12","     189223","             1536273.25","        300","     139524","         73.74"
"HINDMOTORS","EQ","13-Jul-2017","          8.10","          8.10","          8.20","          7.85","          7.95","          7.90","          8.00","     299774","             2397038.95","        468","     226776","         75.65"
"HINDMOTORS","EQ","14-Jul-2017","          7.90","          8.05","          8.05","          7.65","          7.75","          7.75","          7.82","     400136","             3128818.35","        544","     259241","         64.79"
"HINDMOTORS","EQ","17-Jul-2017","          7.75","          7.75","          8.00","          7.75","          8.00","          7.90","          7.90","     251974","             1990179.15","        419","     143078","         56.78"
"HINDMOTORS","EQ","18-Jul-2017","          7.90","          7.90","          8.00","          7.50","          7.75","          7.70","          7.72","     316097","             2440221.30","        485","     227621","         72.01"
"HINDMOTORS","EQ","19-Jul-2017","          7.70","          7.90","          7.95","          7.50","          7.90","          7.90","          7.78","     406375","             3159869.75","        631","     249108","         61.30"
"HINDMOTORS","EQ","20-Jul-2017","          7.90","          8.00","          8.15","          7.90","          8.05","          8.00","          8.02","     364448","             2923190.85","        492","     239020","         65.58"
"HINDMOTORS","EQ","21-Jul-2017","          8.00","          8.00","          8.50","          7.90","          8.05","          8.00","          8.19","     750368","             6142691.05","        779","     497052","         66.24"
"HINDMOTORS","EQ","24-Jul-2017","          8.00","          8.10","          8.40","          8.00","          8.10","          8.10","          8.19","     975078","             7981505.30","       1219","     464914","         47.68"
"HINDMOTORS","EQ","25-Jul-2017","          8.10","          8.00","          8.85","          8.00","          8.25","          8.15","          8.48","    2118318","            17963472.90","       2665","     954450","         45.06"
"HINDMOTORS","EQ","26-Jul-2017","          8.15","          8.20","          8.55","          8.20","          8.40","          8.35","          8.32","     460550","             3833357.95","        606","     260575","         56.58"
"HINDMOTORS","EQ","27-Jul-2017","          8.35","          8.40","          8.85","          8.15","          8.50","          8.40","          8.54","     909565","             7770651.10","       1485","     511222","         56.21"
"HINDMOTORS","EQ","28-Jul-2017","          8.40","          8.15","          8.60","          8.15","          8.50","          8.45","          8.41","     643975","             5414975.35","        767","     426582","         66.24"
"HINDMOTORS","EQ","31-Jul-2017","          8.45","          8.70","          9.25","          8.55","          8.75","          8.75","          8.91","    1355501","            12080739.95","       1401","     979494","         72.26"
"HINDMOTORS","EQ","01-Aug-2017","          8.75","          8.80","          9.00","          8.35","          8.40","          8.40","          8.55","     525603","             4493490.10","        738","     284104","         54.05"
"HINDMOTORS","EQ","02-Aug-2017","          8.40","          8.40","          8.60","          8.25","          8.45","          8.45","          8.42","     242045","             2036880.55","        415","     160770","         66.42"
"HINDMOTORS","EQ","03-Aug-2017","          8.45","          8.30","          8.55","          8.25","          8.30","          8.30","          8.35","     141272","             1179125.95","        325","     104641","         74.07"
"HINDMOTORS","EQ","04-Aug-2017","          8.30","          8.20","          8.45","          7.80","          8.05","          8.05","          8.10","     288323","             2336798.10","        503","     233421","         80.96"
"HINDMOTORS","EQ","07-Aug-2017","          8.05","          8.25","          8.50","          8.00","          8.10","          8.25","          8.28","     383492","             3176592.85","        619","     266956","         69.61"
"HINDMOTORS","EQ","08-Aug-2017","          8.25","          8.35","          8.35","          7.95","          8.10","          8.00","          8.09","     256032","             2072431.25","        436","     191208","         74.68"
"HINDMOTORS","EQ","09-Aug-2017","          8.00","          8.20","          8.20","          7.80","          7.85","          7.85","          7.90","     176419","             1394121.40","        372","     126395","         71.64"
"HINDMOTORS","EQ","10-Aug-2017","          7.85","          7.85","          8.00","          7.10","          7.40","          7.25","          7.49","     335395","             2513713.95","        622","     254338","         75.83"
"HINDMOTORS","EQ","11-Aug-2017","          7.25","          7.20","          7.50","          6.70","          7.30","          7.35","          7.26","     341082","             2475263.70","        615","     205213","         60.17"
"HINDMOTORS","EQ","14-Aug-2017","          7.35","          7.80","          7.80","          7.50","          7.65","          7.65","          7.67","     189099","             1450926.45","        334","     126117","         66.69"
"HINDMOTORS","EQ","16-Aug-2017","          7.65","          7.80","          7.95","          7.65","          7.90","          7.90","          7.86","     292904","             2303458.05","        383","     193555","         66.08"
"HINDMOTORS","EQ","17-Aug-2017","          7.90","          7.85","          8.00","          7.80","          7.85","          7.85","          7.86","      95349","              749068.85","        225","      83351","         87.42"
"HINDMOTORS","EQ","18-Aug-2017","          7.85","          7.70","          7.95","          7.70","          7.90","          7.90","          7.84","     287316","             2252278.40","        268","     245138","         85.32"
"HINDMOTORS","EQ","21-Aug-2017","          7.90","          7.70","          8.20","          7.70","          8.00","          8.00","          7.97","     245298","             1955961.20","        275","     186377","         75.98"
"HINDMOTORS","EQ","22-Aug-2017","          8.00","          7.90","          8.25","          7.90","          8.25","          8.15","          8.13","     439923","             3574423.75","        486","     323236","         73.48"
"HINDMOTORS","EQ","23-Aug-2017","          8.15","          8.10","          8.40","          8.10","          8.25","          8.20","          8.21","     228844","             1878964.25","        335","     129101","         56.41"
"HINDMOTORS","EQ","24-Aug-2017","          8.20","          8.45","          8.45","          8.05","          8.15","          8.10","          8.18","     128195","             1048674.00","        213","      77821","         60.71"
"HINDMOTORS","EQ","28-Aug-2017","          8.10","          8.30","          8.30","          8.00","          8.00","          8.00","          8.07","      72723","              586625.95","        167","      54935","         75.54"
"HINDMOTORS","EQ","29-Aug-2017","          8.00","          8.00","          8.10","          7.90","          7.95","          7.95","          7.97","      97030","              773267.85","        164","      65408","         67.41"
