"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDOILEXP","EQ","03-Apr-2017","         79.05","         79.60","         82.40","         79.05","         80.95","         80.95","         81.14","    1650711","           133935545.55","       9454","     508697","         30.82"
"HINDOILEXP","EQ","05-Apr-2017","         80.95","         81.80","         83.90","         80.95","         82.10","         82.30","         82.62","    1155365","            95461787.60","       6262","     474078","         41.03"
"HINDOILEXP","EQ","06-Apr-2017","         82.30","         81.45","         82.70","         79.05","         80.55","         80.50","         80.52","     760754","            61257845.50","       4588","     389044","         51.14"
"HINDOILEXP","EQ","07-Apr-2017","         80.50","         80.90","         88.00","         80.40","         84.20","         84.15","         84.66","    3169499","           268320267.70","      16819","    1010174","         31.87"
"HINDOILEXP","EQ","10-Apr-2017","         84.15","         85.15","         85.25","         82.55","         82.75","         82.75","         83.60","     726689","            60750462.70","       4593","     327907","         45.12"
"HINDOILEXP","EQ","11-Apr-2017","         82.75","         83.40","         86.25","         82.75","         84.30","         84.30","         84.58","    1099685","            93012052.15","       5950","     355126","         32.29"
"HINDOILEXP","EQ","12-Apr-2017","         84.30","         84.40","         85.40","         80.70","         83.40","         83.70","         83.19","     985858","            82017958.40","       4409","     260928","         26.47"
"HINDOILEXP","EQ","13-Apr-2017","         83.70","         84.80","         89.40","         84.50","         86.35","         86.45","         87.56","    3048062","           266879765.80","      13898","     781520","         25.64"
"HINDOILEXP","EQ","17-Apr-2017","         86.45","         86.90","         87.70","         85.00","         87.15","         86.80","         86.52","     998474","            86385438.30","       6759","     329844","         33.03"
"HINDOILEXP","EQ","18-Apr-2017","         86.80","         87.70","         88.90","         83.00","         84.00","         83.75","         86.40","    1424952","           123115585.95","       7781","     634981","         44.56"
"HINDOILEXP","EQ","19-Apr-2017","         83.75","         87.00","         87.95","         84.30","         85.90","         86.05","         85.88","    1856247","           159408388.60","      12515","     436584","         23.52"
"HINDOILEXP","EQ","20-Apr-2017","         86.05","         86.30","         87.60","         85.05","         85.25","         85.40","         86.11","     665093","            57268125.40","       4083","     260495","         39.17"
"HINDOILEXP","EQ","21-Apr-2017","         85.40","         85.85","         86.05","         83.50","         83.60","         83.85","         84.86","     571919","            48534026.60","       3892","     245301","         42.89"
"HINDOILEXP","EQ","24-Apr-2017","         83.85","         84.25","         84.90","         82.65","         82.70","         82.95","         83.59","     539741","            45119543.70","       4109","     214580","         39.76"
"HINDOILEXP","EQ","25-Apr-2017","         82.95","         83.60","         86.20","         82.70","         83.50","         84.00","         84.34","     801481","            67594584.70","       5420","     217297","         27.11"
"HINDOILEXP","EQ","26-Apr-2017","         84.00","         84.00","         84.50","         81.10","         81.60","         81.65","         82.76","     526174","            43546693.25","       4426","     229556","         43.63"
"HINDOILEXP","EQ","27-Apr-2017","         81.65","         81.30","         83.80","         81.20","         82.20","         82.10","         82.34","     542813","            44697052.65","       3898","     152884","         28.17"
"HINDOILEXP","EQ","28-Apr-2017","         82.10","         82.90","         83.85","         81.80","         82.00","         82.20","         82.68","     659480","            54525059.65","       5705","     246948","         37.45"
"HINDOILEXP","EQ","02-May-2017","         82.20","         82.70","         83.60","         81.35","         82.25","         82.10","         82.34","     451787","            37198820.20","       3106","     191667","         42.42"
"HINDOILEXP","EQ","03-May-2017","         82.10","         82.50","         82.50","         80.35","         80.50","         80.70","         81.41","     443853","            36134536.45","       3831","     174842","         39.39"
"HINDOILEXP","EQ","04-May-2017","         80.70","         81.20","         83.30","         80.40","         81.10","         81.15","         81.60","     546636","            44608226.30","       4254","     176721","         32.33"
"HINDOILEXP","EQ","05-May-2017","         81.15","         80.85","         80.90","         77.20","         77.55","         77.80","         78.60","     591776","            46512438.45","       4945","     285690","         48.28"
"HINDOILEXP","EQ","08-May-2017","         77.80","         78.50","         79.00","         77.30","         78.00","         77.85","         78.10","     384019","            29993332.05","       3461","     143792","         37.44"
"HINDOILEXP","EQ","09-May-2017","         77.85","         78.10","         79.80","         78.05","         78.80","         78.80","         78.78","     384546","            30294509.85","       3841","     102667","         26.70"
"HINDOILEXP","EQ","10-May-2017","         78.80","         79.10","         79.70","         78.15","         78.80","         78.90","         78.90","     392100","            30937415.00","       3526","     129052","         32.91"
"HINDOILEXP","EQ","11-May-2017","         78.90","         79.25","         80.55","         78.80","         79.10","         79.45","         79.69","     493852","            39357264.25","       3709","     171131","         34.65"
"HINDOILEXP","EQ","12-May-2017","         79.45","         79.30","         79.30","         77.05","         77.20","         77.40","         77.98","     317456","            24755966.45","       2672","     114621","         36.11"
"HINDOILEXP","EQ","15-May-2017","         77.40","         77.90","         79.35","         77.25","         78.50","         78.35","         78.31","     466855","            36557935.80","       3442","     182019","         38.99"
