"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HITECHCORP","EQ","03-Jul-2017","        219.05","        213.00","        225.00","        213.00","        216.95","        216.75","        218.66","       9050","             1978830.55","        241","       5953","         65.78"
"HITECHCORP","EQ","04-Jul-2017","        216.75","        215.00","        218.95","        208.15","        212.50","        211.80","        213.03","      23103","             4921648.50","        405","      11357","         49.16"
"HITECHCORP","EQ","05-Jul-2017","        211.80","        217.90","        217.90","        209.15","        212.30","        212.65","        211.81","      15139","             3206590.60","        395","       9783","         64.62"
"HITECHCORP","EQ","06-Jul-2017","        212.65","        212.20","        217.90","        206.30","        213.90","        213.90","        213.41","       8576","             1830189.40","        297","       2990","         34.86"
"HITECHCORP","EQ","07-Jul-2017","        213.90","        211.05","        215.00","        210.10","        212.00","        212.05","        212.97","       6337","             1349585.90","        158","       4442","         70.10"
"HITECHCORP","EQ","10-Jul-2017","        212.05","        211.05","        218.00","        211.05","        211.20","        212.05","        213.35","       1183","              252391.00","         32","        966","         81.66"
"HITECHCORP","EQ","11-Jul-2017","        212.05","        208.30","        213.55","        204.00","        205.50","        205.20","        208.00","      15662","             3257625.05","        448","      11836","         75.57"
"HITECHCORP","EQ","12-Jul-2017","        205.20","        207.00","        207.95","        204.20","        205.10","        205.70","        205.81","       3368","              693170.80","        158","       2197","         65.23"
"HITECHCORP","EQ","13-Jul-2017","        205.70","        205.50","        207.95","        202.00","        203.00","        202.70","        203.63","       9317","             1897245.00","        189","       6616","         71.01"
"HITECHCORP","EQ","14-Jul-2017","        202.70","        201.00","        215.90","        192.25","        213.00","        213.15","        208.82","      30293","             6325848.30","        741","      16056","         53.00"
"HITECHCORP","EQ","17-Jul-2017","        213.15","        213.15","        231.00","        211.25","        221.65","        224.15","        224.67","      46005","            10335789.15","        843","      31253","         67.93"
"HITECHCORP","EQ","18-Jul-2017","        224.15","        221.00","        227.80","        220.00","        222.95","        222.80","        224.67","      21712","             4878117.05","        465","      14790","         68.12"
"HITECHCORP","EQ","19-Jul-2017","        222.80","        221.00","        229.70","        221.00","        224.00","        224.70","        225.96","      11991","             2709528.10","        354","       6032","         50.30"
"HITECHCORP","EQ","20-Jul-2017","        224.70","        224.35","        228.40","        222.10","        224.00","        224.85","        225.12","       7986","             1797792.05","        177","       6492","         81.29"
"HITECHCORP","EQ","21-Jul-2017","        224.85","        224.50","        228.00","        223.00","        225.00","        226.05","        226.21","       6194","             1401172.30","        184","       4255","         68.70"
"HITECHCORP","EQ","24-Jul-2017","        226.05","        226.00","        226.90","        221.10","        221.10","        222.05","        223.91","       4891","             1095146.15","        142","       3089","         63.16"
"HITECHCORP","EQ","25-Jul-2017","        222.05","        222.00","        222.05","        213.10","        215.20","        216.50","        218.54","       3363","              734960.35","        130","       2689","         79.96"
"HITECHCORP","EQ","26-Jul-2017","        216.50","        218.95","        219.65","        211.50","        211.75","        212.10","        214.33","       3389","              726364.10","        151","       1816","         53.59"
"HITECHCORP","EQ","27-Jul-2017","        212.10","        213.05","        215.30","        209.00","        210.95","        210.50","        212.01","       6714","             1423428.55","        143","       4250","         63.30"
"HITECHCORP","EQ","28-Jul-2017","        210.50","        208.00","        213.95","        208.00","        211.95","        211.25","        211.79","       2023","              428457.40","         62","       1133","         56.01"
"HITECHCORP","EQ","31-Jul-2017","        211.25","        212.00","        215.00","        210.20","        210.35","        212.00","        212.70","       6803","             1447029.05","        228","       4855","         71.37"
"HITECHCORP","EQ","01-Aug-2017","        212.00","        212.00","        214.95","        208.30","        208.30","        209.15","        211.58","       5094","             1077774.90","        159","       3939","         77.33"
"HITECHCORP","EQ","02-Aug-2017","        209.15","        209.10","        209.95","        204.10","        205.80","        206.70","        207.50","       2935","              608998.45","         90","       2577","         87.80"
"HITECHCORP","EQ","03-Aug-2017","        206.70","        205.00","        211.45","        200.30","        201.00","        201.10","        204.58","      12924","             2644000.35","        247","       7909","         61.20"
"HITECHCORP","EQ","04-Aug-2017","        201.10","        200.30","        205.55","        200.30","        201.60","        203.70","        202.00","       4417","              892236.00","         58","       3840","         86.94"
"HITECHCORP","EQ","07-Aug-2017","        203.70","        202.70","        204.95","        196.20","        202.20","        202.95","        202.47","       2617","              529862.10","         74","       1592","         60.83"
"HITECHCORP","EQ","08-Aug-2017","        202.95","        202.00","        204.45","        198.05","        198.05","        199.70","        201.85","       4491","              906487.80","         63","       4042","         90.00"
"HITECHCORP","EQ","09-Aug-2017","        199.70","        198.20","        200.70","        194.10","        195.00","        196.10","        196.80","       3373","              663812.05","        137","       2804","         83.13"
"HITECHCORP","EQ","10-Aug-2017","        196.10","        194.00","        199.90","        185.05","        189.95","        187.90","        191.15","       6667","             1274368.95","        202","       4872","         73.08"
"HITECHCORP","EQ","11-Aug-2017","        187.90","        181.10","        195.80","        165.60","        190.95","        189.10","        188.65","       5452","             1028534.95","        107","       3690","         67.68"
"HITECHCORP","EQ","14-Aug-2017","        189.10","        195.90","        195.90","        187.70","        189.50","        191.20","        193.07","       3882","              749512.85","        242","       2888","         74.39"
"HITECHCORP","EQ","16-Aug-2017","        191.20","        189.50","        196.80","        189.50","        193.70","        192.55","        192.25","       6619","             1272519.10","        111","       4257","         64.31"
"HITECHCORP","EQ","17-Aug-2017","        192.55","        192.70","        196.35","        190.00","        192.10","        192.65","        193.40","       2269","              438825.20","         99","       1298","         57.21"
"HITECHCORP","EQ","18-Aug-2017","        192.65","        187.60","        192.50","        187.60","        190.80","        190.75","        190.69","       1347","              256861.25","         54","        844","         62.66"
"HITECHCORP","EQ","21-Aug-2017","        190.75","        190.30","        198.40","        190.30","        196.00","        194.30","        195.19","       2027","              395655.10","        130","        712","         35.13"
"HITECHCORP","EQ","22-Aug-2017","        194.30","        193.45","        193.65","        188.60","        190.55","        190.55","        191.16","       1686","              322291.75","         49","       1174","         69.63"
"HITECHCORP","EQ","23-Aug-2017","        190.55","        191.00","        194.50","        191.00","        194.50","        193.05","        192.46","       1194","              229803.20","         54","        596","         49.92"
"HITECHCORP","EQ","24-Aug-2017","        193.05","        194.50","        197.90","        190.25","        195.00","        195.50","        195.35","       2034","              397350.25","         61","       1645","         80.88"
"HITECHCORP","EQ","28-Aug-2017","        195.50","        194.00","        197.50","        191.30","        197.50","        193.05","        194.86","       2326","              453235.40","         58","       1995","         85.77"
"HITECHCORP","EQ","29-Aug-2017","        193.05","        195.50","        195.50","        190.60","        192.00","        192.80","        193.23","       2031","              392457.40","         47","       1136","         55.93"
"HITECHCORP","EQ","30-Aug-2017","        192.80","        198.50","        198.50","        187.00","        197.00","        193.50","        190.18","       9036","             1718493.50","        186","       4966","         54.96"
"HITECHCORP","EQ","31-Aug-2017","        193.50","        191.00","        191.25","        187.15","        187.50","        188.45","        189.16","       3492","              660535.40","         89","       2425","         69.44"
"HITECHCORP","EQ","01-Sep-2017","        188.45","        192.05","        192.10","        189.45","        190.00","        190.00","        190.47","       5545","             1056165.30","         88","       4549","         82.04"
"HITECHCORP","EQ","04-Sep-2017","        190.00","        192.00","        192.00","        186.10","        189.50","        188.60","        188.60","       2949","              556176.00","         93","       2460","         83.42"
"HITECHCORP","EQ","05-Sep-2017","        188.60","        189.50","        189.50","        179.00","        185.00","        184.65","        183.69","      38608","             7091882.50","        372","      16219","         42.01"
"HITECHCORP","EQ","06-Sep-2017","        184.65","        183.00","        185.05","        180.45","        183.30","        181.95","        182.26","      19935","             3633261.75","        175","      13669","         68.57"
"HITECHCORP","EQ","07-Sep-2017","        181.95","        182.10","        194.80","        179.60","        190.00","        191.45","        185.72","      92939","            17260776.25","       1138","      37435","         40.28"
"HITECHCORP","EQ","08-Sep-2017","        191.45","        195.00","        203.00","        185.10","        187.60","        186.60","        191.32","       9656","             1847388.70","        247","       6619","         68.55"
"HITECHCORP","EQ","11-Sep-2017","        186.60","        187.00","        192.95","        185.00","        185.20","        185.35","        188.32","       6873","             1294356.45","        119","       5895","         85.77"
