"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HOTELEELA","EQ","02-Jan-2017","         15.95","         16.10","         16.10","         15.90","         16.00","         15.95","         15.99","      69486","             1110937.30","        304","      41128","         59.19"
"HOTELEELA","EQ","03-Jan-2017","         15.95","         15.95","         16.50","         15.90","         16.40","         16.35","         16.17","     110640","             1789581.00","        256","      50812","         45.93"
"HOTELEELA","EQ","04-Jan-2017","         16.35","         16.40","         16.40","         16.20","         16.25","         16.25","         16.29","      71312","             1161852.35","        248","      36433","         51.09"
"HOTELEELA","EQ","05-Jan-2017","         16.25","         16.40","         16.50","         16.25","         16.35","         16.45","         16.41","      55502","              910515.55","        241","      39352","         70.90"
"HOTELEELA","EQ","06-Jan-2017","         16.45","         16.50","         16.60","         16.15","         16.20","         16.25","         16.38","      92041","             1507624.10","        298","      53240","         57.84"
"HOTELEELA","EQ","09-Jan-2017","         16.25","         16.25","         16.40","         16.10","         16.20","         16.25","         16.26","      31879","              518417.80","        152","      19791","         62.08"
"HOTELEELA","EQ","10-Jan-2017","         16.25","         16.35","         17.05","         16.25","         16.50","         16.50","         16.66","     363256","             6053093.05","        774","     159012","         43.77"
"HOTELEELA","EQ","11-Jan-2017","         16.50","         16.60","         16.65","         16.00","         16.50","         16.50","         16.43","     342827","             5633838.85","        644","     186572","         54.42"
"HOTELEELA","EQ","12-Jan-2017","         16.50","         16.50","         16.75","         16.45","         16.60","         16.55","         16.57","     147915","             2451369.70","        359","      68720","         46.46"
"HOTELEELA","EQ","13-Jan-2017","         16.55","         16.55","         17.15","         16.30","         16.70","         16.75","         16.75","     303786","             5087147.20","        813","     190124","         62.58"
"HOTELEELA","EQ","16-Jan-2017","         16.75","         16.75","         17.40","         16.60","         17.05","         17.05","         17.20","     527931","             9082506.10","       1217","     225046","         42.63"
"HOTELEELA","EQ","17-Jan-2017","         17.05","         17.05","         17.30","         16.75","         16.85","         16.80","         16.93","     117289","             1986207.55","        382","      63814","         54.41"
"HOTELEELA","EQ","18-Jan-2017","         16.80","         16.75","         17.25","         16.75","         16.90","         16.90","         17.05","     155537","             2652332.05","        416","      71388","         45.90"
"HOTELEELA","EQ","19-Jan-2017","         16.90","         16.80","         17.10","         16.80","         16.90","         17.00","         16.98","     114802","             1949585.70","        314","      71612","         62.38"
"HOTELEELA","EQ","20-Jan-2017","         17.00","         16.95","         17.10","         16.55","         16.70","         16.70","         16.82","     102669","             1726656.20","        299","      65073","         63.38"
"HOTELEELA","EQ","23-Jan-2017","         16.70","         16.70","         17.10","         16.65","         16.80","         16.85","         16.89","     153831","             2598553.65","        382","      68093","         44.26"
"HOTELEELA","EQ","24-Jan-2017","         16.85","         17.00","         17.05","         16.65","         16.80","         16.75","         16.77","     123106","             2064769.15","        276","      72440","         58.84"
"HOTELEELA","EQ","25-Jan-2017","         16.75","         16.75","         16.85","         16.55","         16.55","         16.65","         16.71","     119131","             1991238.00","        318","      60295","         50.61"
"HOTELEELA","EQ","27-Jan-2017","         16.65","         16.65","         16.85","         16.60","         16.75","         16.70","         16.74","     131894","             2207852.35","        301","      75900","         57.55"
"HOTELEELA","EQ","30-Jan-2017","         16.70","         16.75","         16.85","         16.60","         16.70","         16.70","         16.78","     385376","             6467275.50","        287","     357553","         92.78"
"HOTELEELA","EQ","31-Jan-2017","         16.70","         16.70","         16.80","         16.60","         16.65","         16.65","         16.68","      93989","             1567404.15","        197","      74440","         79.20"
"HOTELEELA","EQ","01-Feb-2017","         16.65","         16.80","         16.85","         16.60","         16.65","         16.70","         16.71","      71141","             1188900.50","        213","      40011","         56.24"
"HOTELEELA","EQ","02-Feb-2017","         16.70","         16.70","         17.15","         16.70","         16.80","         16.85","         17.00","     184197","             3131129.80","        457","      82656","         44.87"
