"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HUDCO","N2","03-Apr-2017","       1144.99","       1145.00","       1145.00","       1142.00","       1142.00","       1143.00","       1144.64","       3189","             3650258.70","         18","       3168","         99.34"
"HUDCO","N3","03-Apr-2017","       1104.95","       1103.99","       1103.99","       1095.00","       1100.95","       1100.95","       1100.82","       1570","             1728286.50","          6","       1570","        100.00"
"HUDCO","N4","03-Apr-2017","       1062.00","       1062.00","       1062.00","       1062.00","       1062.00","       1062.00","       1062.00","         20","               21240.00","          1","         20","        100.00"
"HUDCO","N5","03-Apr-2017","       1090.11","       1093.00","       1093.00","       1093.00","       1093.00","       1093.00","       1093.00","         50","               54650.00","          1","         50","        100.00"
"HUDCO","N2","05-Apr-2017","       1143.00","       1143.50","       1149.00","       1142.75","       1146.05","       1146.05","       1145.26","       1992","             2281367.47","         16","       1912","         95.98"
"HUDCO","N3","05-Apr-2017","       1100.95","       1107.99","       1107.99","       1094.02","       1094.02","       1097.95","       1099.05","       1650","             1813438.52","         18","       1080","         65.45"
"HUDCO","N5","05-Apr-2017","       1093.00","       1095.00","       1100.00","       1095.00","       1100.00","       1100.00","       1095.05","        101","              110600.00","          2","        101","        100.00"
"HUDCO","N8","05-Apr-2017","       1000.00","       1015.00","       1015.00","       1015.00","       1015.00","       1015.00","       1015.00","        145","              147175.00","          1","        145","        100.00"
"HUDCO","N2","06-Apr-2017","       1146.05","       1146.00","       1155.00","       1146.00","       1153.94","       1153.94","       1154.02","       1022","             1179406.40","         11","       1021","         99.90"
"HUDCO","N4","06-Apr-2017","       1062.00","       1065.00","       1065.00","       1065.00","       1065.00","       1065.00","       1065.00","         93","               99045.00","          2","         93","        100.00"
"HUDCO","N5","06-Apr-2017","       1100.00","       1090.00","       1100.00","       1090.00","       1094.00","       1097.67","       1097.02","        447","              490369.81","         13","        428","         95.75"
"HUDCO","N9","06-Apr-2017","       1000.00","       1150.00","       1150.00","       1150.00","       1150.00","       1150.00","       1150.00","         63","               72450.00","          1","         63","        100.00"
"HUDCO","ND","06-Apr-2017","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","         20","               20000.00","          1","         20","        100.00"
"HUDCO","N2","07-Apr-2017","       1153.94","       1147.00","       1154.00","       1137.25","       1138.11","       1140.35","       1143.55","       1552","             1774795.69","         40","       1137","         73.26"
"HUDCO","N3","07-Apr-2017","       1097.95","       1106.00","       1106.00","       1092.00","       1094.05","       1094.05","       1098.99","       2117","             2326565.10","         44","       1817","         85.83"
"HUDCO","N4","07-Apr-2017","       1065.00","       1065.00","       1065.00","       1050.01","       1050.01","       1055.61","       1058.87","       1531","             1621129.04","         12","       1527","         99.74"
"HUDCO","N6","07-Apr-2017","       1011.10","       1050.00","       1050.00","       1035.00","       1035.00","       1035.00","       1035.12","        250","              258780.00","          2","        250","        100.00"
"HUDCO","N9","07-Apr-2017","       1150.00","       1150.00","       1150.00","       1150.00","       1150.00","       1150.00","       1150.00","        125","              143750.00","          1","        125","        100.00"
"HUDCO","ND","07-Apr-2017","       1000.00","       1001.01","       1100.00","       1001.01","       1100.00","       1050.50","       1050.51","          2","                2101.01","          2","          1","         50.00"
"HUDCO","N2","10-Apr-2017","       1140.35","       1145.00","       1145.00","       1141.00","       1144.00","       1142.66","       1143.75","       2244","             2566566.50","         21","       2169","         96.66"
"HUDCO","N3","10-Apr-2017","       1094.05","       1107.97","       1107.97","       1084.00","       1092.00","       1092.00","       1090.52","        275","              299894.25","          6","        225","         81.82"
"HUDCO","N4","10-Apr-2017","       1055.61","       1055.00","       1055.01","       1055.00","       1055.01","       1055.01","       1055.00","        122","              128710.12","          2","        122","        100.00"
"HUDCO","N5","10-Apr-2017","       1097.67","       1110.00","       1110.00","       1095.00","       1095.00","       1095.00","       1100.62","       2286","             2516020.00","          8","       2218","         97.03"
"HUDCO","N7","10-Apr-2017","       1173.00","       1133.00","       1133.00","       1025.00","       1050.00","       1050.00","       1032.59","       1360","             1404325.74","         16","       1000","         73.53"
"HUDCO","N2","11-Apr-2017","       1142.66","       1141.00","       1141.00","       1140.00","       1140.90","       1140.90","       1140.93","        170","              193957.60","          4","        170","        100.00"
"HUDCO","N3","11-Apr-2017","       1092.00","       1106.00","       1106.00","       1094.50","       1095.95","       1095.95","       1097.01","        667","              731706.50","         21","        630","         94.45"
"HUDCO","N5","11-Apr-2017","       1095.00","       1110.00","       1110.00","       1098.00","       1100.00","       1100.00","       1099.73","        700","              769812.50","         10","        675","         96.43"
"HUDCO","N8","11-Apr-2017","       1015.00","       1088.00","       1150.00","       1088.00","       1150.00","       1150.00","       1108.67","         30","               33260.00","          3","         30","        100.00"
"HUDCO","N9","11-Apr-2017","       1150.00","       1101.00","       1101.00","       1101.00","       1101.00","       1101.00","       1101.00","       1000","             1101000.00","          1","       1000","        100.00"
"HUDCO","ND","11-Apr-2017","       1050.50","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","         50","               55000.00","          1","         50","        100.00"
"HUDCO","N2","12-Apr-2017","       1140.90","       1148.00","       1148.00","       1138.20","       1139.00","       1139.50","       1142.72","        855","              977025.50","         21","        745","         87.13"
"HUDCO","N3","12-Apr-2017","       1095.95","       1092.05","       1099.00","       1092.00","       1099.00","       1099.00","       1094.80","        470","              514555.85","         10","        370","         78.72"
"HUDCO","N5","12-Apr-2017","       1100.00","       1095.25","       1104.00","       1095.02","       1102.25","       1102.25","       1097.23","      12325","            13523302.95","         16","      10055","         81.58"
"HUDCO","N6","12-Apr-2017","       1035.00","       1035.00","       1035.00","       1035.00","       1035.00","       1035.00","       1035.00","         20","               20700.00","          1","         20","        100.00"
"HUDCO","N2","13-Apr-2017","       1139.50","       1146.00","       1146.88","       1143.00","       1143.00","       1143.00","       1145.00","       3232","             3700629.00","         16","       3232","        100.00"
"HUDCO","N3","13-Apr-2017","       1099.00","       1100.00","       1100.00","       1098.00","       1098.00","       1098.00","       1099.29","        839","              922302.00","          5","        839","        100.00"
"HUDCO","N4","13-Apr-2017","       1055.01","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","       1060.00","        100","              106000.00","          1","        100","        100.00"
"HUDCO","N5","13-Apr-2017","       1102.25","       1100.00","       1109.00","       1100.00","       1109.00","       1108.87","       1100.56","        160","              176089.90","         12","        155","         96.88"
"HUDCO","N8","13-Apr-2017","       1150.00","       1147.98","       1147.98","       1147.98","       1147.98","       1147.98","       1147.98","         10","               11479.80","          1","         10","        100.00"
"HUDCO","N2","17-Apr-2017","       1143.00","       1143.00","       1145.00","       1140.00","       1143.51","       1143.51","       1143.78","       3805","             4352097.00","         19","       3744","         98.40"
"HUDCO","N3","17-Apr-2017","       1098.00","       1093.00","       1101.00","       1093.00","       1100.00","       1100.00","       1098.12","       1894","             2079835.22","         17","       1734","         91.55"
"HUDCO","N4","17-Apr-2017","       1060.00","       1060.01","       1070.00","       1060.01","       1070.00","       1070.00","       1069.67","        359","              384010.12","          3","        347","         96.66"
"HUDCO","N5","17-Apr-2017","       1108.87","       1119.99","       1119.99","       1101.01","       1110.00","       1110.00","       1105.98","        720","              796302.80","          5","        720","        100.00"
"HUDCO","N7","17-Apr-2017","       1050.00","       1070.00","       1070.00","       1070.00","       1070.00","       1070.00","       1070.00","         49","               52430.00","          2","         49","        100.00"
"HUDCO","ND","17-Apr-2017","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","         27","               29700.00","          1","         27","        100.00"
"HUDCO","N2","18-Apr-2017","       1143.51","       1150.00","       1152.00","       1145.00","       1148.00","       1149.78","       1148.94","       6801","             7813966.89","         50","       5680","         83.52"
"HUDCO","N3","18-Apr-2017","       1100.00","       1101.00","       1101.00","       1101.00","       1101.00","       1101.00","       1101.00","        100","              110100.00","          1","        100","        100.00"
"HUDCO","N4","18-Apr-2017","       1070.00","       1064.10","       1067.00","       1064.10","       1067.00","       1067.00","       1064.36","        110","              117080.00","          2","        110","        100.00"
"HUDCO","N5","18-Apr-2017","       1110.00","       1101.00","       1101.00","       1099.21","       1099.21","       1099.21","       1099.32","        500","              549660.70","          3","        500","        100.00"
"HUDCO","N3","19-Apr-2017","       1101.00","       1105.01","       1105.01","       1102.51","       1102.51","       1103.68","       1103.69","        294","              324483.44","          5","        294","        100.00"
"HUDCO","N5","19-Apr-2017","       1099.21","       1101.00","       1102.00","       1101.00","       1101.12","       1101.12","       1101.12","        105","              115617.88","          3","        105","        100.00"
"HUDCO","N8","19-Apr-2017","       1147.98","       1147.00","       1147.95","       1147.00","       1147.95","       1147.95","       1147.86","         10","               11478.55","          2","         10","        100.00"
"HUDCO","N2","20-Apr-2017","       1149.78","       1152.00","       1157.70","       1146.15","       1156.60","       1156.60","       1154.88","       1775","             2049914.05","         24","       1569","         88.39"
"HUDCO","N3","20-Apr-2017","       1103.68","       1103.00","       1109.50","       1103.00","       1109.50","       1109.49","       1106.83","       3205","             3547405.35","         29","       3202","         99.91"
"HUDCO","N2","21-Apr-2017","       1156.60","       1156.88","       1156.88","       1146.00","       1153.40","       1153.35","       1152.66","       2383","             2746797.31","         20","       2331","         97.82"
"HUDCO","N3","21-Apr-2017","       1109.49","       1103.50","       1106.50","       1091.00","       1103.50","       1103.50","       1098.61","       7284","             8002281.00","         57","       4224","         57.99"
"HUDCO","N5","21-Apr-2017","       1101.12","       1100.01","       1103.00","       1100.01","       1103.00","       1103.00","       1102.98","        776","              855910.06","          7","        776","        100.00"
"HUDCO","N8","21-Apr-2017","       1147.95","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","        675","              742500.00","          1","        675","        100.00"
"HUDCO","N9","21-Apr-2017","       1101.00","       1100.00","       1105.01","       1100.00","       1105.01","       1105.01","       1104.77","        988","             1091509.40","          2","        988","        100.00"
"HUDCO","ND","21-Apr-2017","       1100.00","       1156.38","       1156.38","       1156.38","       1156.38","       1156.38","       1156.38","        200","              231276.00","          1","        200","        100.00"
"HUDCO","NE","21-Apr-2017","       1000.00","       1179.56","       1179.56","       1179.56","       1179.56","       1179.56","       1179.56","        400","              471824.00","          2","        400","        100.00"
"HUDCO","N2","24-Apr-2017","       1153.35","       1158.00","       1158.00","       1153.00","       1155.00","       1155.00","       1156.60","       3772","             4362709.20","         31","       3770","         99.95"
"HUDCO","N3","24-Apr-2017","       1103.50","       1103.50","       1130.00","       1103.50","       1107.00","       1108.56","       1120.41","       2169","             2430161.04","         22","       2050","         94.51"
"HUDCO","N5","24-Apr-2017","       1103.00","       1101.00","       1101.00","       1100.01","       1100.01","       1100.90","       1100.90","         50","               55045.05","          2","         50","        100.00"
"HUDCO","N8","24-Apr-2017","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","       1100.00","         17","               18700.00","          2","         17","        100.00"
"HUDCO","NE","24-Apr-2017","       1179.56","       1179.50","       1179.50","       1179.50","       1179.50","       1179.50","       1179.50","        100","              117950.00","          1","        100","        100.00"
"HUDCO","N2","25-Apr-2017","       1155.00","       1242.00","       1242.00","       1155.60","       1157.00","       1157.00","       1182.94","        317","              374993.00","          9","        216","         68.14"
"HUDCO","N3","25-Apr-2017","       1108.56","       1101.26","       1118.50","       1101.26","       1117.90","       1117.26","       1115.21","        286","              318949.10","          8","        177","         61.89"
"HUDCO","N5","25-Apr-2017","       1100.90","       1100.00","       1112.00","       1100.00","       1112.00","       1111.98","       1109.35","       1400","             1553087.50","          6","       1400","        100.00"
"HUDCO","N9","25-Apr-2017","       1105.01","       1115.00","       1115.00","       1115.00","       1115.00","       1115.00","       1115.00","        118","              131570.00","          3","        118","        100.00"
"HUDCO","ND","25-Apr-2017","       1156.38","       1156.05","       1210.00","       1156.05","       1210.00","       1210.00","       1183.48","         42","               49706.00","          4","         20","         47.62"
"HUDCO","N2","26-Apr-2017","       1157.00","       1154.00","       1154.00","       1150.00","       1150.00","       1150.00","       1152.43","        126","              145205.75","         12","        121","         96.03"
"HUDCO","N4","26-Apr-2017","       1067.00","       1140.10","       1140.10","       1100.00","       1101.99","       1101.99","       1120.41","        100","              112040.94","         11","         50","         50.00"
"HUDCO","N5","26-Apr-2017","       1111.98","       1103.11","       1118.00","       1103.11","       1116.80","       1116.65","       1109.33","        929","             1030564.20","          9","        600","         64.59"
"HUDCO","ND","26-Apr-2017","       1210.00","       1232.00","       1232.00","       1232.00","       1232.00","       1232.00","       1232.00","         20","               24640.00","          1","         20","        100.00"
"HUDCO","N2","27-Apr-2017","       1150.00","       1155.99","       1155.99","       1147.00","       1150.00","       1150.00","       1150.00","        500","              574999.00","          4","        500","        100.00"
"HUDCO","N3","27-Apr-2017","       1117.26","       1114.73","       1114.75","       1104.00","       1104.00","       1104.00","       1109.52","        440","              488190.00","          6","        400","         90.91"
"HUDCO","N5","27-Apr-2017","       1116.65","       1114.00","       1119.99","       1105.05","       1117.40","       1105.58","       1109.97","        710","              788080.00","          8","        646","         90.99"
"HUDCO","N2","28-Apr-2017","       1150.00","       1155.00","       1155.99","       1155.00","       1155.00","       1155.00","       1155.55","       2586","             2988250.65","         27","       2584","         99.92"
"HUDCO","N3","28-Apr-2017","       1104.00","       1105.00","       1112.00","       1105.00","       1105.00","       1105.00","       1108.11","        405","              448785.00","          4","        405","        100.00"
"HUDCO","N2","02-May-2017","       1155.00","       1150.00","       1153.90","       1148.60","       1150.55","       1151.27","       1151.48","       3186","             3668615.65","         28","       2630","         82.55"
"HUDCO","N3","02-May-2017","       1105.00","       1105.00","       1115.00","       1105.00","       1115.00","       1115.00","       1111.60","       1364","             1516220.00","          6","       1364","        100.00"
"HUDCO","N4","02-May-2017","       1101.99","       1075.00","       1075.00","       1075.00","       1075.00","       1075.00","       1075.00","         20","               21500.00","          1","         20","        100.00"
"HUDCO","NE","02-May-2017","       1179.50","       1279.00","       1279.00","       1279.00","       1279.00","       1279.00","       1279.00","         25","               31975.00","          1","         25","        100.00"
"HUDCO","N2","03-May-2017","       1151.27","       1159.98","       1161.60","       1155.00","       1155.00","       1155.84","       1159.99","       2399","             2782805.88","         19","       2392","         99.71"
