"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NV20IWIN","EQ","03-Jan-2017","         35.96","         36.67","         36.67","         36.67","         36.67","         36.67","         36.67","         30","                1100.10","          1","         30","        100.00"
"NV20IWIN","EQ","05-Jan-2017","         36.67","         36.91","         36.91","         36.91","         36.91","         36.91","         36.91","        444","               16388.04","          1","        444","        100.00"
"NV20IWIN","EQ","17-Jan-2017","         36.91","         37.23","         37.23","         37.23","         37.23","         37.23","         37.23","         50","                1861.50","          1","         50","        100.00"
"NV20IWIN","EQ","23-Jan-2017","         37.23","         37.01","         37.01","         37.01","         37.01","         37.01","         37.01","         24","                 888.24","          1","         24","        100.00"
"NV20IWIN","EQ","25-Jan-2017","         37.01","         37.00","         37.00","         37.00","         37.00","         37.00","         37.00","        273","               10101.00","          1","        273","        100.00"
"NV20IWIN","EQ","06-Feb-2017","         37.00","         37.99","         37.99","         37.99","         37.99","         37.99","         37.99","       1000","               37990.00","          1","       1000","        100.00"
"NV20IWIN","EQ","10-Feb-2017","         37.99","         38.29","         38.29","         38.29","         38.29","         38.29","         38.29","       1300","               49777.00","          1","       1300","        100.00"
"NV20IWIN","EQ","13-Feb-2017","         38.29","         38.40","         38.40","         38.40","         38.40","         38.40","         38.40","       1300","               49920.00","          1","       1300","        100.00"
"NV20IWIN","EQ","15-Feb-2017","         38.40","         38.71","         38.71","         38.54","         38.54","         38.54","         38.70","         24","                 928.87","          2","         23","         95.83"
"NV20IWIN","EQ","21-Feb-2017","         38.54","         39.19","         39.19","         39.13","         39.13","         39.13","         39.16","         46","                1801.36","          2","         46","        100.00"
"NV20IWIN","EQ","23-Feb-2017","         39.13","         39.84","         39.84","         39.84","         39.84","         39.84","         39.84","        125","                4980.00","          1","        125","        100.00"
"NV20IWIN","EQ","27-Feb-2017","         39.84","         39.95","         39.95","         39.95","         39.95","         39.95","         39.95","        600","               23970.00","          1","        600","        100.00"
"NV20IWIN","EQ","02-Mar-2017","         39.95","         39.70","         39.70","         39.70","         39.70","         39.70","         39.70","        130","                5161.00","          1","        130","        100.00"
"NV20IWIN","EQ","15-Mar-2017","         39.70","         40.47","         40.50","         40.38","         40.38","         40.38","         40.38","       1249","               50439.78","          5","       1249","        100.00"
"NV20IWIN","EQ","17-Mar-2017","         40.38","         40.52","         40.52","         40.52","         40.52","         40.52","         40.52","          5","                 202.60","          1","          5","        100.00"
"NV20IWIN","EQ","21-Mar-2017","         40.52","         40.01","         40.01","         40.01","         40.01","         40.01","         40.01","         22","                 880.22","          1","         22","        100.00"
"NV20IWIN","EQ","28-Mar-2017","         40.01","         39.82","         39.82","         39.77","         39.77","         39.77","         39.80","      28500","             1134195.00","          2","      28500","        100.00"
"NV20IWIN","EQ","31-Mar-2017","         39.77","         40.43","         40.43","         40.43","         40.43","         40.43","         40.43","        154","                6226.22","          1","        154","        100.00"
