"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIF100IWIN","EQ","03-Apr-2017","         98.96","         99.32","         99.47","         98.95","         99.29","         99.25","         99.34","        859","               85329.58","         50","        654","         76.14"
"NIF100IWIN","EQ","05-Apr-2017","         99.25","         99.21","         99.94","         99.21","         99.90","         99.90","         99.66","        474","               47237.33","         36","        363","         76.58"
"NIF100IWIN","EQ","06-Apr-2017","         99.90","         99.60","         99.70","         99.60","         99.65","         99.65","         99.63","       2703","              269299.10","         10","       2654","         98.19"
"NIF100IWIN","EQ","07-Apr-2017","         99.65","         99.85","         99.90","         99.40","         99.40","         99.40","         99.62","       1293","              128809.23","         22","       1122","         86.77"
"NIF100IWIN","EQ","10-Apr-2017","         99.40","         99.64","         99.79","         99.11","         99.26","         99.26","         99.40","       1641","              163118.49","         50","       1155","         70.38"
"NIF100IWIN","EQ","11-Apr-2017","         99.26","         99.69","         99.69","         99.56","         99.65","         99.65","         99.59","        443","               44119.14","         11","        384","         86.68"
"NIF100IWIN","EQ","12-Apr-2017","         99.65","        100.00","        100.00","         99.16","         99.31","         99.31","         99.36","        634","               62994.66","         20","        399","         62.93"
"NIF100IWIN","EQ","13-Apr-2017","         99.31","         99.65","         99.65","         98.97","         98.97","         98.97","         99.29","       7528","              747442.34","         26","       7277","         96.67"
"NIF100IWIN","EQ","17-Apr-2017","         98.97","         99.17","         99.27","         99.00","         99.00","         99.00","         99.24","       1895","              188054.26","         72","       1895","        100.00"
"NIF100IWIN","EQ","18-Apr-2017","         99.00","         99.91","         99.96","         98.32","         98.32","         98.32","         99.47","       1425","              141738.40","         14","       1367","         95.93"
"NIF100IWIN","EQ","19-Apr-2017","         98.32","         98.53","         98.68","         98.25","         98.40","         98.40","         98.57","       2800","              275990.13","         36","       1724","         61.57"
"NIF100IWIN","EQ","20-Apr-2017","         98.40","        102.00","        114.00","         98.54","         98.79","         98.79","        102.73","       2783","              285891.36","         71","       1186","         42.62"
"NIF100IWIN","EQ","21-Apr-2017","         98.79","         99.37","         99.37","         98.49","         98.64","         98.64","         98.88","       1695","              167610.06","         28","       1038","         61.24"
"NIF100IWIN","EQ","24-Apr-2017","         98.64","         99.41","         99.95","         99.03","         99.63","         99.63","         99.45","       1614","              160505.34","         70","        999","         61.90"
"NIF100IWIN","EQ","25-Apr-2017","         99.63","        100.47","        100.67","        100.12","        100.67","        100.67","        100.51","       1686","              169467.87","         38","        959","         56.88"
"NIF100IWIN","EQ","26-Apr-2017","        100.67","        101.46","        101.46","        100.51","        101.01","        101.01","        101.01","       4960","              500985.69","         24","       4404","         88.79"
"NIF100IWIN","EQ","27-Apr-2017","        101.01","        101.32","        101.32","        100.87","        101.07","        101.07","        101.18","        402","               40675.39","         15","        287","         71.39"
"NIF100IWIN","EQ","28-Apr-2017","        101.07","        101.03","        101.03","        100.43","        100.58","        100.58","        100.92","       1732","              174795.31","         24","       1332","         76.91"
"NIF100IWIN","EQ","02-May-2017","        100.58","        100.87","        101.47","        100.45","        100.72","        100.72","        101.32","       1513","              153293.94","        106","       1419","         93.79"
"NIF100IWIN","EQ","03-May-2017","        100.72","        101.40","        101.40","        100.60","        100.60","        100.60","        101.13","        225","               22754.85","         17","        149","         66.22"
"NIF100IWIN","EQ","04-May-2017","        100.60","        101.13","        101.43","        101.00","        101.13","        101.13","        101.14","        279","               28218.55","         10","        243","         87.10"
"NIF100IWIN","EQ","05-May-2017","        101.13","        100.78","        101.18","         94.01","        100.22","        100.07","        100.37","        448","               44963.85","         38","        221","         49.33"
"NIF100IWIN","EQ","08-May-2017","        100.07","        100.88","        101.03","        100.58","        100.58","        100.62","        100.90","       1068","              107760.74","         30","       1022","         95.69"
"NIF100IWIN","EQ","09-May-2017","        100.62","        100.95","        101.10","        100.95","        101.00","        101.00","        101.00","        561","               56663.70","         22","        561","        100.00"
"NIF100IWIN","EQ","10-May-2017","        101.00","         99.90","        101.95","         99.90","        101.60","        101.60","        101.07","       1459","              147466.40","         30","        283","         19.40"
"NIF100IWIN","EQ","11-May-2017","        101.60","        102.50","        102.50","        102.15","        102.30","        102.30","        102.33","       2037","              208440.15","         29","         95","          4.66"
"NIF100IWIN","EQ","12-May-2017","        102.30","        101.89","        101.94","        101.39","        101.39","        101.39","        101.91","       6477","              660092.18","         15","       6154","         95.01"
"NIF100IWIN","EQ","15-May-2017","        101.39","        102.39","        102.54","        102.04","        102.14","        102.14","        102.41","       2221","              227447.34","         67","       1850","         83.30"
"NIF100IWIN","EQ","16-May-2017","        102.14","        102.91","        103.06","        102.41","        102.81","        102.81","        102.76","        340","               34938.40","         14","        209","         61.47"
"NIF100IWIN","EQ","17-May-2017","        102.81","        105.00","        117.00","        102.63","        103.23","        102.89","        107.27","        830","               89034.84","         46","        409","         49.28"
"NIF100IWIN","EQ","18-May-2017","        102.89","        103.25","        103.25","        100.00","        102.00","        102.00","        102.23","        935","               95584.73","         16","        833","         89.09"
"NIF100IWIN","EQ","19-May-2017","        102.00","        102.77","        102.82","        101.92","        101.92","        101.92","        102.75","       2120","              217836.85","         27","       2120","        100.00"
"NIF100IWIN","EQ","22-May-2017","        101.92","        103.00","        103.00","        101.42","        101.52","        101.52","        102.02","       2384","              243223.82","         71","       1495","         62.71"
"NIF100IWIN","EQ","23-May-2017","        101.52","        101.03","        112.00","        100.00","        112.00","        112.00","        101.02","        382","               38588.46","         22","        235","         61.52"
"NIF100IWIN","EQ","24-May-2017","        112.00","        112.00","        112.00","        100.50","        100.77","        100.77","        101.46","       2800","              284097.16","         40","        599","         21.39"
"NIF100IWIN","EQ","25-May-2017","        100.77","        100.77","        101.76","        100.71","        101.76","        101.76","        101.10","       1243","              125673.18","         34","        920","         74.01"
"NIF100IWIN","EQ","26-May-2017","        101.76","        102.50","        103.22","        102.32","        103.07","        103.07","        102.76","        765","               78607.73","         20","        356","         46.54"
"NIF100IWIN","EQ","29-May-2017","        103.07","        103.06","        103.26","        102.86","        102.86","        102.86","        103.10","       1353","              139500.52","         36","        743","         54.92"
