"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYIWIN","EQ","02-Jan-2017","         83.32","         84.00","         84.00","         82.80","         83.43","         83.44","         83.06","      58256","             4838641.30","       3557","      57754","         99.14"
"NIFTYIWIN","EQ","03-Jan-2017","         83.44","         84.00","         84.00","         82.93","         83.17","         83.26","         83.50","      12132","             1013061.88","        840","      10937","         90.15"
"NIFTYIWIN","EQ","04-Jan-2017","         83.26","         83.62","         83.72","         83.28","         83.60","         83.42","         83.60","       7625","              637430.27","        742","       6813","         89.35"
"NIFTYIWIN","EQ","05-Jan-2017","         83.42","         84.00","         84.27","         83.69","         84.27","         84.17","         84.13","      25939","             2182321.89","       1516","      17610","         67.89"
"NIFTYIWIN","EQ","06-Jan-2017","         84.17","         85.00","         85.00","         84.00","         84.13","         84.09","         84.32","      21415","             1805695.91","        996","      15575","         72.73"
"NIFTYIWIN","EQ","09-Jan-2017","         84.09","         84.00","         84.22","         83.75","         83.98","         83.86","         84.01","      53402","             4486282.57","       3203","      52451","         98.22"
"NIFTYIWIN","EQ","10-Jan-2017","         83.86","         85.00","         85.00","         83.80","         84.48","         84.24","         84.33","      31398","             2647731.30","       1879","      29636","         94.39"
"NIFTYIWIN","EQ","11-Jan-2017","         84.24","         84.20","         85.38","         84.00","         85.33","         85.26","         85.02","      15544","             1321607.33","       1008","      12243","         78.76"
"NIFTYIWIN","EQ","12-Jan-2017","         85.26","         86.00","         86.00","         85.10","         85.53","         85.58","         85.57","      24929","             2133277.51","       1591","      22624","         90.75"
"NIFTYIWIN","EQ","13-Jan-2017","         85.58","         85.00","         85.98","         85.00","         85.45","         85.51","         85.55","      12700","             1086535.33","        810","      11107","         87.46"
"NIFTYIWIN","EQ","16-Jan-2017","         85.51","         86.00","         86.00","         85.17","         85.80","         85.77","         85.66","      40288","             3451236.63","       2491","      36004","         89.37"
"NIFTYIWIN","EQ","17-Jan-2017","         85.77","         85.84","         85.90","         85.25","         85.51","         85.47","         85.58","      17711","             1515686.79","       1102","      14562","         82.22"
"NIFTYIWIN","EQ","18-Jan-2017","         85.47","         85.70","         86.22","         85.47","         85.75","         85.63","         85.97","      16700","             1435650.63","        782","      13194","         79.01"
"NIFTYIWIN","EQ","19-Jan-2017","         85.63","         86.00","         86.00","         85.50","         85.98","         85.95","         85.88","      18002","             1546030.90","       1378","      16724","         92.90"
"NIFTYIWIN","EQ","20-Jan-2017","         85.95","         86.00","         86.00","         84.96","         85.17","         85.15","         85.71","      17605","             1508874.73","        965","      16524","         93.86"
"NIFTYIWIN","EQ","23-Jan-2017","         85.15","         85.50","         85.67","         85.00","         85.41","         85.39","         85.57","      46870","             4010760.78","       2832","      40673","         86.78"
"NIFTYIWIN","EQ","24-Jan-2017","         85.39","         85.82","         86.20","         85.50","         86.18","         86.10","         85.95","      16900","             1452563.70","       1035","      13292","         78.65"
"NIFTYIWIN","EQ","25-Jan-2017","         86.10","         86.10","         87.31","         85.90","         87.20","         87.18","         86.69","      31025","             2689655.85","        983","      22519","         72.58"
"NIFTYIWIN","EQ","27-Jan-2017","         87.18","         87.10","         88.25","         86.95","         87.80","         87.97","         88.08","      32027","             2821026.89","       1968","      27063","         84.50"
"NIFTYIWIN","EQ","30-Jan-2017","         87.97","         88.50","         88.50","         87.46","         87.78","         87.82","         87.98","      38326","             3371747.85","       2402","      34332","         89.58"
"NIFTYIWIN","EQ","31-Jan-2017","         87.82","         88.00","         90.00","         87.01","         87.28","         87.13","         87.64","      17389","             1523981.32","       1382","      16190","         93.10"
"NIFTYIWIN","EQ","01-Feb-2017","         87.13","         87.00","         88.89","         86.88","         88.57","         88.59","         87.64","      27279","             2390810.38","       1626","      24435","         89.57"
"NIFTYIWIN","EQ","02-Feb-2017","         88.59","         88.64","         89.28","         88.30","         88.62","         88.71","         88.83","      22535","             2001865.74","       1757","      18812","         83.48"
"NIFTYIWIN","EQ","03-Feb-2017","         88.71","         90.00","         90.00","         88.62","         89.00","         88.84","         88.95","      14580","             1296900.81","        993","      12226","         83.85"
"NIFTYIWIN","EQ","06-Feb-2017","         88.84","         89.20","         89.85","         89.12","         89.49","         89.59","         89.63","      61779","             5537084.36","       2616","      45060","         72.94"
"NIFTYIWIN","EQ","07-Feb-2017","         89.59","         89.60","         89.69","         88.98","         89.25","         89.24","         89.49","      20065","             1795710.28","       1141","      14670","         73.11"
"NIFTYIWIN","EQ","08-Feb-2017","         89.24","         90.00","         90.00","         88.82","         89.30","         89.25","         89.44","      19724","             1764083.75","       1202","      14820","         75.14"
"NIFTYIWIN","EQ","09-Feb-2017","         89.25","         89.79","         89.90","         88.77","         89.39","         89.41","         89.31","      35403","             3161877.31","       1614","      24612","         69.52"
"NIFTYIWIN","EQ","10-Feb-2017","         89.41","         89.88","         89.90","         89.27","         89.50","         89.51","         89.70","      38609","             3463329.14","       1985","      35506","         91.96"
"NIFTYIWIN","EQ","13-Feb-2017","         89.51","         89.96","         89.97","         89.19","         89.50","         89.83","         89.44","    3170039","           283530288.77","       2520","    3167752","         99.93"
"NIFTYIWIN","EQ","14-Feb-2017","         89.83","         89.50","         89.86","         89.23","         89.62","         89.64","         89.64","      10539","              944748.23","        846","       9128","         86.61"
"NIFTYIWIN","EQ","15-Feb-2017","         89.64","         90.00","         90.00","         88.61","         88.80","         88.77","         89.32","      19714","             1760898.18","       1349","      16724","         84.83"
"NIFTYIWIN","EQ","16-Feb-2017","         88.77","         90.00","         90.00","         88.65","         89.40","         89.29","         89.09","      15542","             1384560.70","       1176","      13470","         86.67"
