"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICSA","EQ","03-Jul-2017","          2.60","          2.70","          2.70","          2.55","          2.60","          2.60","          2.61","      49389","              128945.85","         51","      42452","         85.95"
"ICSA","EQ","04-Jul-2017","          2.60","          2.60","          2.65","          2.55","          2.60","          2.65","          2.62","      65560","              171665.20","         41","      28924","         44.12"
"ICSA","EQ","05-Jul-2017","          2.65","          2.55","          2.90","          2.55","          2.90","          2.85","          2.75","     109538","              300741.35","        158","      99543","         90.88"
"ICSA","EQ","06-Jul-2017","          2.85","          2.85","          2.85","          2.65","          2.75","          2.70","          2.71","      32792","               88801.70","         67","      25196","         76.84"
"ICSA","EQ","07-Jul-2017","          2.70","          2.90","          2.90","          2.70","          2.85","          2.85","          2.83","      91122","              257685.55","         66","      71794","         78.79"
"ICSA","EQ","10-Jul-2017","          2.85","          2.95","          3.00","          2.75","          2.80","          2.90","          2.93","      64496","              188961.70","         44","      49492","         76.74"
"ICSA","EQ","11-Jul-2017","          2.90","          2.85","          2.95","          2.80","          2.80","          2.85","          2.88","      99013","              285461.00","         71","      73620","         74.35"
"ICSA","EQ","12-Jul-2017","          2.85","          2.90","          2.90","          2.75","          2.80","          2.80","          2.79","      19381","               54089.95","         41","      19360","         99.89"
"ICSA","EQ","13-Jul-2017","          2.80","          2.75","          2.85","          2.70","          2.70","          2.70","          2.73","      14561","               39728.60","         31","      14127","         97.02"
"ICSA","EQ","14-Jul-2017","          2.70","          2.70","          2.85","          2.70","          2.75","          2.75","          2.78","      52206","              145058.65","         45","      39906","         76.44"
"ICSA","EQ","17-Jul-2017","          2.75","          2.75","          2.75","          2.65","          2.75","          2.70","          2.70","      25033","               67586.25","         50","      17913","         71.56"
"ICSA","EQ","18-Jul-2017","          2.70","          2.70","          2.75","          2.50","          2.70","          2.70","          2.62","      67723","              177340.00","         65","      57092","         84.30"
"ICSA","EQ","19-Jul-2017","          2.70","          2.60","          2.75","          2.60","          2.65","          2.65","          2.69","      21654","               58268.85","         33","      14250","         65.81"
"ICSA","EQ","20-Jul-2017","          2.65","          2.65","          2.75","          2.65","          2.75","          2.75","          2.66","       8563","               22758.40","         18","       8563","        100.00"
"ICSA","EQ","21-Jul-2017","          2.75","          2.70","          2.75","          2.70","          2.70","          2.75","          2.73","      13184","               36019.50","         22","      13184","        100.00"
