"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IFBAGRO","EQ","02-Jan-2017","        378.95","        376.00","        381.90","        372.05","        379.30","        376.30","        375.06","       1135","              425698.75","        124","        746","         65.73"
"IFBAGRO","EQ","03-Jan-2017","        376.30","        379.30","        389.00","        377.25","        385.00","        386.80","        382.85","       5597","             2142805.55","         95","       3927","         70.16"
"IFBAGRO","EQ","04-Jan-2017","        386.80","        381.50","        408.90","        381.50","        402.50","        403.95","        401.35","       7534","             3023741.90","        285","       4011","         53.24"
"IFBAGRO","EQ","05-Jan-2017","        403.95","        402.50","        409.80","        396.55","        404.80","        404.50","        404.80","       2894","             1171505.65","        210","       1916","         66.21"
"IFBAGRO","EQ","06-Jan-2017","        404.50","        404.90","        405.00","        397.30","        404.75","        401.45","        401.77","        717","              288069.35","         31","        546","         76.15"
"IFBAGRO","EQ","09-Jan-2017","        401.45","        404.95","        414.40","        401.50","        409.25","        408.80","        407.88","       1669","              680747.60","         87","       1260","         75.49"
"IFBAGRO","EQ","10-Jan-2017","        408.80","        419.55","        420.00","        408.75","        419.90","        419.40","        414.21","       2917","             1208251.55","         90","       2263","         77.58"
"IFBAGRO","EQ","11-Jan-2017","        419.40","        415.00","        418.00","        407.00","        414.10","        414.50","        415.23","       1455","              604153.45","         72","        834","         57.32"
"IFBAGRO","EQ","12-Jan-2017","        414.50","        415.90","        423.90","        415.00","        417.00","        417.95","        418.92","       3397","             1423081.40","        117","       2927","         86.16"
"IFBAGRO","EQ","13-Jan-2017","        417.95","        420.00","        430.00","        416.00","        430.00","        428.70","        425.13","       5683","             2416001.55","        180","       4472","         78.69"
"IFBAGRO","EQ","16-Jan-2017","        428.70","        432.20","        434.00","        428.00","        430.00","        430.30","        432.05","       1880","              812247.70","         86","       1278","         67.98"
"IFBAGRO","EQ","17-Jan-2017","        430.30","        444.00","        480.00","        437.25","        463.65","        461.70","        449.53","      17922","             8056507.50","        568","      13227","         73.80"
"IFBAGRO","EQ","18-Jan-2017","        461.70","        465.95","        478.75","        460.65","        470.00","        470.80","        472.09","      19937","             9412119.55","        747","      11218","         56.27"
"IFBAGRO","EQ","19-Jan-2017","        470.80","        470.90","        480.00","        451.30","        458.00","        454.80","        468.36","       7128","             3338488.95","        407","       4248","         59.60"
"IFBAGRO","EQ","20-Jan-2017","        454.80","        453.00","        458.30","        449.10","        450.00","        450.20","        451.94","       1998","              902970.95","        141","       1258","         62.96"
"IFBAGRO","EQ","23-Jan-2017","        450.20","        456.85","        456.85","        442.00","        453.00","        450.25","        448.62","       2142","              960947.75","        126","       1440","         67.23"
"IFBAGRO","EQ","24-Jan-2017","        450.25","        449.00","        453.85","        445.00","        450.10","        450.10","        449.23","        695","              312213.30","         80","        575","         82.73"
"IFBAGRO","EQ","25-Jan-2017","        450.10","        445.25","        455.90","        445.00","        449.00","        447.05","        449.79","       2571","             1156413.80","         85","       2125","         82.65"
"IFBAGRO","EQ","27-Jan-2017","        447.05","        449.95","        450.55","        445.50","        450.00","        448.05","        447.93","       3411","             1527902.85","         96","       2426","         71.12"
"IFBAGRO","EQ","30-Jan-2017","        448.05","        447.20","        454.85","        417.05","        417.05","        421.25","        427.97","      17866","             7646125.55","        590","      13877","         77.67"
"IFBAGRO","EQ","31-Jan-2017","        421.25","        418.20","        425.50","        399.95","        408.00","        410.00","        410.78","      11490","             4719897.25","        591","       8163","         71.04"
"IFBAGRO","EQ","01-Feb-2017","        410.00","        409.10","        434.00","        407.60","        426.10","        429.95","        423.00","       5675","             2400530.30","        293","       4112","         72.46"
"IFBAGRO","EQ","02-Feb-2017","        429.95","        428.00","        428.95","        422.90","        422.90","        425.55","        425.88","       1553","              661384.45","        131","       1076","         69.29"
"IFBAGRO","EQ","03-Feb-2017","        425.55","        438.35","        438.35","        422.05","        433.20","        434.35","        430.82","       5174","             2229055.90","        296","       3640","         70.35"
"IFBAGRO","EQ","06-Feb-2017","        434.35","        442.00","        443.90","        425.05","        425.05","        433.05","        435.76","       5381","             2344834.30","        207","       3218","         59.80"
"IFBAGRO","EQ","07-Feb-2017","        433.05","        428.05","        434.65","        416.10","        416.10","        419.40","        424.32","       2974","             1261916.45","        218","       2327","         78.24"
"IFBAGRO","EQ","08-Feb-2017","        419.40","        432.70","        432.70","        420.15","        430.05","        430.95","        429.54","       2956","             1269725.20","        172","       1982","         67.05"
"IFBAGRO","EQ","09-Feb-2017","        430.95","        423.50","        440.90","        423.50","        436.45","        436.50","        436.25","       2473","             1078843.30","        144","       1644","         66.48"
"IFBAGRO","EQ","10-Feb-2017","        436.50","        443.90","        443.90","        419.50","        435.00","        433.25","        432.41","       1907","              824598.65","        144","       1435","         75.25"
"IFBAGRO","EQ","13-Feb-2017","        433.25","        430.15","        442.45","        423.00","        432.00","        436.00","        434.28","       2522","             1095262.75","        169","       1279","         50.71"
"IFBAGRO","EQ","14-Feb-2017","        436.00","        431.00","        436.75","        421.00","        426.00","        429.45","        427.27","       2206","              942561.45","        125","       1365","         61.88"
"IFBAGRO","EQ","15-Feb-2017","        429.45","        429.95","        440.00","        423.85","        435.95","        433.15","        434.06","       7149","             3103114.30","        262","       3902","         54.58"
"IFBAGRO","EQ","16-Feb-2017","        433.15","        435.95","        435.95","        423.00","        428.50","        429.60","        428.49","       1422","              609309.50","         78","        775","         54.50"
"IFBAGRO","EQ","17-Feb-2017","        429.60","        428.55","        495.50","        424.15","        467.00","        468.95","        476.40","      83545","            39800825.25","       4255","      23938","         28.65"
"IFBAGRO","EQ","20-Feb-2017","        468.95","        470.10","        489.70","        455.00","        463.40","        462.90","        477.09","      34894","            16647574.40","       3515","       8934","         25.60"
"IFBAGRO","EQ","21-Feb-2017","        462.90","        465.00","        471.95","        451.40","        458.90","        457.15","        461.44","       3912","             1805165.60","        331","       2170","         55.47"
"IFBAGRO","EQ","22-Feb-2017","        457.15","        462.00","        470.75","        453.00","        455.10","        456.85","        460.97","       7965","             3671664.75","        446","       4096","         51.42"
"IFBAGRO","EQ","23-Feb-2017","        456.85","        460.00","        469.00","        451.20","        451.30","        455.60","        461.71","       4645","             2144625.20","        337","       2327","         50.10"
"IFBAGRO","EQ","27-Feb-2017","        455.60","        456.00","        456.00","        430.05","        438.00","        437.20","        441.85","       6680","             2951533.00","        401","       4651","         69.63"
"IFBAGRO","EQ","28-Feb-2017","        437.20","        437.20","        460.00","        437.20","        458.00","        459.00","        454.36","       9908","             4501789.80","        371","       7322","         73.90"
"IFBAGRO","EQ","01-Mar-2017","        459.00","        462.90","        462.90","        454.00","        458.00","        458.70","        458.55","       5851","             2682978.15","        233","       3572","         61.05"
"IFBAGRO","EQ","02-Mar-2017","        458.70","        463.00","        463.00","        446.30","        446.30","        450.55","        455.46","       3231","             1471594.45","        126","       2024","         62.64"
"IFBAGRO","EQ","03-Mar-2017","        450.55","        450.00","        450.00","        440.05","        443.00","        443.95","        445.76","        945","              421239.20","        114","        365","         38.62"
"IFBAGRO","EQ","06-Mar-2017","        443.95","        450.00","        453.95","        436.20","        451.00","        447.50","        445.14","       4619","             2056095.35","        219","       3064","         66.33"
"IFBAGRO","EQ","07-Mar-2017","        447.50","        451.00","        459.00","        444.25","        458.00","        455.10","        450.33","       4218","             1899507.75","        228","       2768","         65.62"
"IFBAGRO","EQ","08-Mar-2017","        455.10","        460.00","        460.00","        442.10","        447.85","        445.30","        449.48","       2640","             1186637.70","        153","       1343","         50.87"
"IFBAGRO","EQ","09-Mar-2017","        445.30","        441.05","        452.75","        441.05","        444.50","        449.20","        446.98","        649","              290090.40","        105","        319","         49.15"
"IFBAGRO","EQ","10-Mar-2017","        449.20","        449.30","        449.90","        439.90","        441.00","        440.50","        442.74","       1506","              666772.90","        109","        874","         58.03"
"IFBAGRO","EQ","14-Mar-2017","        440.50","        450.00","        462.00","        434.00","        434.00","        437.30","        442.24","       3915","             1731350.45","        116","       2737","         69.91"
"IFBAGRO","EQ","15-Mar-2017","        437.30","        437.45","        448.00","        437.00","        443.70","        443.70","        442.46","       4377","             1936629.90","        175","       2188","         49.99"
"IFBAGRO","EQ","16-Mar-2017","        443.70","        438.75","        449.75","        438.10","        445.00","        444.30","        441.32","       3540","             1562270.85","        114","       1976","         55.82"
