"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IFCI","EQ","03-Apr-2017","         29.65","         29.75","         30.20","         29.45","         30.10","         30.10","         29.99","   10902920","           327011668.75","      11652","    3619727","         33.20"
"IFCI","NC","03-Apr-2017","       1032.00","       1050.00","       1070.00","       1034.05","       1034.05","       1034.05","       1057.71","        109","              115290.50","          4","        109","        100.00"
"IFCI","ND","03-Apr-2017","       1246.00","       1225.00","       1225.00","       1225.00","       1225.00","       1225.00","       1225.00","         10","               12250.00","          1","         10","        100.00"
"IFCI","NI","03-Apr-2017","       1350.00","       1350.00","       1350.00","       1350.00","       1350.00","       1350.00","       1350.00","         20","               27000.00","          1","         20","        100.00"
"IFCI","NL","03-Apr-2017","       1025.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","        160","              164800.00","          3","        160","        100.00"
"IFCI","EQ","05-Apr-2017","         30.10","         30.25","         30.60","         30.05","         30.25","         30.20","         30.37","    8848437","           268730619.30","      14557","    2718179","         30.72"
"IFCI","NF","05-Apr-2017","       1075.00","       1290.00","       1290.00","       1025.25","       1080.00","       1080.00","       1069.40","        179","              191422.50","          5","        179","        100.00"
"IFCI","NL","05-Apr-2017","       1030.00","       1040.00","       1040.00","       1021.00","       1021.00","       1021.00","       1031.00","         19","               19589.00","          2","         19","        100.00"
"IFCI","EQ","06-Apr-2017","         30.20","         30.20","         30.65","         29.80","         30.05","         30.10","         30.19","   16474863","           497406112.45","      13040","    3004416","         18.24"
"IFCI","NH","06-Apr-2017","       1100.00","       1135.00","       1135.00","       1135.00","       1135.00","       1135.00","       1135.00","         10","               11350.00","          1","         10","        100.00"
"IFCI","NL","06-Apr-2017","       1021.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","         25","               25750.00","          1","         25","        100.00"
"IFCI","EQ","07-Apr-2017","         30.10","         29.95","         30.15","         29.50","         29.70","         29.65","         29.87","    6821151","           203716434.10","       6422","    2341152","         34.32"
"IFCI","ND","07-Apr-2017","       1225.00","       1255.00","       1255.00","       1245.00","       1245.00","       1245.00","       1247.42","         66","               82330.00","          2","         66","        100.00"
"IFCI","NE","07-Apr-2017","       1030.00","       1040.00","       1040.00","       1040.00","       1040.00","       1040.00","       1040.00","         50","               52000.00","          1","         50","        100.00"
"IFCI","NH","07-Apr-2017","       1135.00","       1135.00","       1135.00","       1135.00","       1135.00","       1135.00","       1135.00","         10","               11350.00","          1","         10","        100.00"
"IFCI","NI","07-Apr-2017","       1350.00","       1280.00","       1280.00","       1280.00","       1280.00","       1280.00","       1280.00","        100","              128000.00","          1","        100","        100.00"
"IFCI","NJ","07-Apr-2017","       1012.00","       1004.08","       1004.08","       1004.08","       1004.08","       1004.08","       1004.08","         25","               25102.00","          1","         25","        100.00"
"IFCI","NL","07-Apr-2017","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","         48","               49440.00","          1","         48","        100.00"
"IFCI","EQ","10-Apr-2017","         29.65","         29.75","         30.10","         29.60","         29.85","         29.85","         29.85","    6873702","           205184892.30","       8607","    2320000","         33.75"
"IFCI","NC","10-Apr-2017","       1034.05","       1035.10","       1035.10","       1034.10","       1034.10","       1034.10","       1034.46","        100","              103446.20","          5","        100","        100.00"
"IFCI","ND","10-Apr-2017","       1245.00","       1245.00","       1245.00","       1245.00","       1245.00","       1245.00","       1245.00","          8","                9960.00","          1","          8","        100.00"
"IFCI","NE","10-Apr-2017","       1040.00","       1042.00","       1045.00","       1042.00","       1045.00","       1045.00","       1044.00","         15","               15660.00","          3","         15","        100.00"
"IFCI","NL","10-Apr-2017","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","       1030.00","        100","              103000.00","          2","        100","        100.00"
"IFCI","EQ","11-Apr-2017","         29.85","         29.80","         30.30","         29.70","         30.05","         30.05","         30.06","   15936411","           479092414.85","      13249","    4548642","         28.54"
"IFCI","ND","11-Apr-2017","       1245.00","       1230.00","       1230.00","       1230.00","       1230.00","       1230.00","       1230.00","        100","              123000.00","          4","        100","        100.00"
"IFCI","NE","11-Apr-2017","       1045.00","       1006.68","       1006.68","       1006.68","       1006.68","       1006.68","       1006.68","          5","                5033.40","          1","          5","        100.00"
"IFCI","NH","11-Apr-2017","       1135.00","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","        150","              166500.00","          3","        150","        100.00"
"IFCI","NK","11-Apr-2017","       1207.00","       1181.05","       1181.05","       1181.05","       1181.05","       1181.05","       1181.05","         10","               11810.50","          1","         10","        100.00"
"IFCI","EQ","12-Apr-2017","         30.05","         30.10","         30.20","         29.50","         29.55","         29.55","         29.70","    7153809","           212458224.65","       8588","    2466197","         34.47"
"IFCI","NH","12-Apr-2017","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","         30","               33300.00","          1","         30","        100.00"
"IFCI","NL","12-Apr-2017","       1030.00","       1030.00","       1030.00","       1023.00","       1023.00","       1023.00","       1027.90","        529","              543761.50","          7","        529","        100.00"
"IFCI","EQ","13-Apr-2017","         29.55","         29.55","         29.90","         29.20","         29.35","         29.30","         29.51","    6335669","           186968071.50","       9672","    2152904","         33.98"
"IFCI","ND","13-Apr-2017","       1230.00","       1250.00","       1250.00","       1250.00","       1250.00","       1250.00","       1250.00","        119","              148750.00","          2","        119","        100.00"
"IFCI","NI","13-Apr-2017","       1280.00","       1283.00","       1350.00","       1283.00","       1350.00","       1350.00","       1316.50","          2","                2633.00","          2","          1","         50.00"
"IFCI","NL","13-Apr-2017","       1023.00","       1025.00","       1025.00","       1025.00","       1025.00","       1025.00","       1025.00","         14","               14350.00","          1","         14","        100.00"
"IFCI","EQ","17-Apr-2017","         29.30","         29.30","         29.40","         28.85","         28.85","         28.90","         29.08","    4804921","           139709804.15","       5063","    2060831","         42.89"
"IFCI","NH","17-Apr-2017","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","       1110.00","         50","               55500.00","          1","         50","        100.00"
"IFCI","NJ","17-Apr-2017","       1004.08","       1006.11","       1006.11","       1006.11","       1006.11","       1006.11","       1006.11","         50","               50305.50","          1","         50","        100.00"
"IFCI","NL","17-Apr-2017","       1025.00","       1025.00","       1030.01","       1025.00","       1025.00","       1026.01","       1028.44","       2137","             2197786.00","         35","       2137","        100.00"
