"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDLMETER","EQ","03-Apr-2017","         87.60","         88.95","         89.00","         86.55","         86.55","         86.95","         87.67","      14227","             1247302.85","         70","       8835","         62.10"
"INDLMETER","EQ","05-Apr-2017","         86.95","         89.00","         89.85","         86.25","         88.50","         88.25","         88.39","       9675","              855139.90","         96","       6797","         70.25"
"INDLMETER","EQ","06-Apr-2017","         88.25","         90.00","         91.50","         87.50","         88.85","         88.85","         89.26","       3789","              338197.05","         53","       2766","         73.00"
"INDLMETER","EQ","07-Apr-2017","         88.85","         89.85","         93.00","         89.85","         93.00","         92.45","         90.72","      22446","             2036283.35","        117","      17278","         76.98"
"INDLMETER","EQ","10-Apr-2017","         92.45","         93.00","         94.50","         91.20","         92.50","         92.50","         93.14","       4054","              377590.65","         51","       3163","         78.02"
"INDLMETER","EQ","11-Apr-2017","         92.50","         93.00","         97.00","         92.00","         95.05","         94.70","         94.38","      10429","              984275.15","        100","       6894","         66.10"
"INDLMETER","EQ","12-Apr-2017","         94.70","         98.50","        109.40","         96.00","        102.25","        102.35","        102.86","     112270","            11548115.10","       1309","      38025","         33.87"
"INDLMETER","EQ","13-Apr-2017","        102.35","        102.00","        105.00","         99.20","        104.90","        103.35","        102.46","      18441","             1889379.00","        222","      12698","         68.86"
"INDLMETER","EQ","17-Apr-2017","        103.35","        105.90","        106.00","        103.35","        105.40","        104.90","        104.60","      16443","             1719964.60","        113","      14332","         87.16"
"INDLMETER","EQ","18-Apr-2017","        104.90","        106.00","        110.00","        103.75","        103.75","        104.65","        107.38","      38765","             4162685.75","        277","      28470","         73.44"
"INDLMETER","EQ","19-Apr-2017","        104.65","        106.95","        106.95","        103.40","        105.95","        105.15","        104.20","       1490","              155253.70","         37","        662","         44.43"
"INDLMETER","EQ","20-Apr-2017","        105.15","        106.90","        108.20","        103.10","        108.00","        107.30","        106.61","      14548","             1551014.55","        101","       8732","         60.02"
"INDLMETER","EQ","21-Apr-2017","        107.30","        111.00","        111.00","        105.00","        107.00","        107.85","        108.23","      10445","             1130468.50","        110","       7506","         71.86"
"INDLMETER","EQ","24-Apr-2017","        107.85","        115.00","        116.90","        110.75","        113.55","        113.80","        114.21","     105004","            11992053.60","       1176","      49647","         47.28"
"INDLMETER","EQ","25-Apr-2017","        113.80","        117.90","        117.95","        110.00","        112.45","        112.05","        112.11","       7532","              844423.40","        128","       4946","         65.67"
"INDLMETER","EQ","26-Apr-2017","        112.05","        111.00","        112.05","        101.30","        106.40","        104.90","        107.45","      14334","             1540179.75","        235","      10913","         76.13"
"INDLMETER","EQ","27-Apr-2017","        104.90","        107.85","        107.85","        102.50","        102.50","        102.65","        104.25","      13027","             1358099.45","        125","       9374","         71.96"
"INDLMETER","EQ","28-Apr-2017","        102.65","        102.70","        106.45","        102.70","        103.00","        104.15","        105.08","       7550","              793375.95","         68","       6425","         85.10"
"INDLMETER","EQ","02-May-2017","        104.15","        105.00","        105.95","         98.55","        100.60","        100.85","        101.52","       9417","              956054.70","        135","       6948","         73.78"
