"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IOLCP","EQ","02-Jan-2017","         95.75","         94.55","         96.25","         93.60","         94.60","         95.85","         95.34","      26843","             2559300.80","        348","       9097","         33.89"
"IOLCP","EQ","03-Jan-2017","         95.85","         95.85","         97.75","         94.30","         96.95","         97.25","         96.65","      46707","             4514222.45","        571","       9997","         21.40"
"IOLCP","EQ","04-Jan-2017","         97.25","         98.20","         98.20","         96.15","         97.70","         97.60","         97.55","      25510","             2488375.15","        334","       8312","         32.58"
"IOLCP","EQ","05-Jan-2017","         97.60","         98.90","        100.70","         98.00","        100.50","        100.30","         99.49","      35501","             3531862.05","        464","      10982","         30.93"
"IOLCP","EQ","06-Jan-2017","        100.30","        101.00","        101.50","         99.65","        100.00","        100.30","        100.53","      18091","             1818706.90","        257","       8449","         46.70"
"IOLCP","EQ","09-Jan-2017","        100.30","        100.60","        100.60","         99.10","        100.00","         99.90","         99.98","       7466","              746444.70","        205","       4905","         65.70"
"IOLCP","EQ","10-Jan-2017","         99.90","        100.00","        101.25","         99.65","        100.70","        100.50","        100.49","      26224","             2635370.75","        225","      11990","         45.72"
"IOLCP","EQ","11-Jan-2017","        100.50","        100.05","        101.50","        100.00","        100.50","        100.90","        100.91","       6898","              696068.40","        133","       3597","         52.15"
"IOLCP","EQ","12-Jan-2017","        100.90","        100.50","        101.65","         97.00","        100.25","        101.15","         99.94","      56466","             5643393.05","        759","      18345","         32.49"
"IOLCP","EQ","13-Jan-2017","        101.15","        101.70","        101.70","         98.50","         99.40","        100.45","        100.04","      40021","             4003870.25","        577","      12826","         32.05"
"IOLCP","EQ","16-Jan-2017","        100.45","        100.50","        102.30","         99.50","        101.40","        101.95","        101.69","      30281","             3079239.90","        397","       6566","         21.68"
"IOLCP","EQ","17-Jan-2017","        101.95","        102.00","        102.50","        100.65","        101.15","        101.55","        101.63","      10476","             1064659.30","        221","       3398","         32.44"
"IOLCP","EQ","18-Jan-2017","        101.55","        101.00","        102.85","        100.00","        101.90","        101.75","        102.14","      19185","             1959489.65","        292","       8215","         42.82"
"IOLCP","EQ","19-Jan-2017","        101.75","        102.00","        102.50","        100.05","        100.05","        101.05","        101.79","      15761","             1604312.85","        260","       7870","         49.93"
"IOLCP","EQ","20-Jan-2017","        101.05","        100.40","        100.40","         94.10","         94.60","         95.50","         96.46","      28317","             2731598.50","        459","      20657","         72.95"
"IOLCP","EQ","23-Jan-2017","         95.50","         96.00","         97.50","         94.10","         94.75","         95.35","         95.86","      36722","             3520169.75","        733","      18746","         51.05"
"IOLCP","EQ","24-Jan-2017","         95.35","        100.35","        100.35","         94.80","         94.95","         95.00","         95.23","      22637","             2155762.90","        354","      10152","         44.85"
"IOLCP","EQ","25-Jan-2017","         95.00","         95.10","         96.00","         93.25","         95.00","         95.05","         94.76","      68063","             6449823.35","        587","      19905","         29.24"
"IOLCP","EQ","27-Jan-2017","         95.05","         96.50","         96.50","         94.05","         95.10","         94.70","         95.26","      14924","             1421627.10","        338","       6390","         42.82"
"IOLCP","EQ","30-Jan-2017","         94.70","         94.50","         95.30","         92.10","         92.55","         93.20","         93.74","      17073","             1600503.60","        379","       9312","         54.54"
"IOLCP","EQ","31-Jan-2017","         93.20","         92.20","         93.65","         91.50","         92.00","         91.65","         92.13","      12087","             1113522.65","        234","       8049","         66.59"
"IOLCP","EQ","01-Feb-2017","         91.65","         92.00","         94.50","         86.65","         94.00","         94.25","         91.93","      50970","             4685601.25","        924","      13012","         25.53"
"IOLCP","EQ","02-Feb-2017","         94.25","         94.50","         95.30","         92.60","         92.60","         94.00","         93.70","      26923","             2522705.00","        440","      12180","         45.24"
"IOLCP","EQ","03-Feb-2017","         94.00","         94.00","         94.75","         92.70","         93.65","         93.50","         93.35","      19857","             1853666.55","        324","      10141","         51.07"
"IOLCP","EQ","06-Feb-2017","         93.50","         94.25","         95.50","         93.05","         93.70","         93.65","         94.08","      31987","             3009295.30","        207","      18642","         58.28"
"IOLCP","EQ","07-Feb-2017","         93.65","         93.95","         93.95","         89.05","         92.50","         92.85","         92.54","      55092","             5098309.20","        898","      21634","         39.27"
"IOLCP","EQ","08-Feb-2017","         92.85","         94.40","         94.40","         91.60","         92.90","         92.60","         92.71","      19363","             1795086.45","        421","       7272","         37.56"
"IOLCP","EQ","09-Feb-2017","         92.60","         93.80","         93.80","         91.55","         92.20","         92.10","         92.16","      25284","             2330269.25","        209","      14224","         56.26"
"IOLCP","EQ","10-Feb-2017","         92.10","         92.50","         93.30","         91.70","         92.40","         92.35","         92.40","      26447","             2443631.45","        291","      12432","         47.01"
"IOLCP","EQ","13-Feb-2017","         92.35","         93.50","         94.00","         91.30","         92.55","         92.30","         92.98","      52615","             4892124.05","        485","      18512","         35.18"
"IOLCP","EQ","14-Feb-2017","         92.30","         92.50","         93.60","         90.55","         93.00","         93.00","         92.96","      55044","             5116849.90","        547","      23250","         42.24"
"IOLCP","EQ","15-Feb-2017","         93.00","         94.40","         94.40","         90.00","         90.00","         90.75","         91.88","      56978","             5235187.55","        517","      28488","         50.00"
"IOLCP","EQ","16-Feb-2017","         90.75","         90.10","         94.00","         90.05","         92.95","         93.60","         92.93","      48835","             4538175.95","        388","      14464","         29.62"
"IOLCP","EQ","17-Feb-2017","         93.60","         93.50","         94.50","         91.15","         92.15","         92.15","         92.81","      23584","             2188831.20","        164","      11663","         49.45"
"IOLCP","EQ","20-Feb-2017","         92.15","         93.75","         94.30","         92.00","         94.30","         93.85","         93.48","      54251","             5071157.15","        498","      10873","         20.04"
"IOLCP","EQ","21-Feb-2017","         93.85","         93.30","         95.20","         92.50","         92.70","         93.70","         94.22","     358456","            33775070.35","       2601","      82786","         23.10"
"IOLCP","EQ","22-Feb-2017","         93.70","         93.70","         95.05","         93.45","         93.60","         94.00","         94.41","     100458","             9484196.05","        509","      34868","         34.71"
"IOLCP","EQ","23-Feb-2017","         94.00","         94.35","         94.35","         91.50","         92.00","         92.40","         92.55","      22564","             2088203.40","        232","      11543","         51.16"
"IOLCP","EQ","27-Feb-2017","         92.40","         92.95","         92.95","         88.80","         92.55","         92.25","         91.68","      49834","             4568715.10","        563","      18061","         36.24"
"IOLCP","EQ","28-Feb-2017","         92.25","         92.90","         92.90","         90.60","         90.60","         91.50","         91.75","      22520","             2066114.35","        306","      12148","         53.94"
"IOLCP","EQ","01-Mar-2017","         91.50","         91.50","         93.75","         90.80","         92.70","         92.95","         92.57","     103326","             9565397.25","        684","      46920","         45.41"
