"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITDC","EQ","02-Jan-2017","        213.10","        215.25","        219.90","        203.00","        216.00","        217.20","        214.15","      32691","             7000736.85","       1253","       6337","         19.38"
"ITDC","EQ","03-Jan-2017","        217.20","        221.00","        222.90","        210.60","        217.00","        213.95","        217.50","      25486","             5543227.00","       1027","       4190","         16.44"
"ITDC","EQ","04-Jan-2017","        213.95","        216.80","        221.00","        209.60","        210.45","        210.95","        214.00","       9640","             2062933.75","        360","       2956","         30.66"
"ITDC","EQ","05-Jan-2017","        210.95","        218.70","        219.00","        210.50","        212.40","        211.25","        213.95","      10361","             2216768.85","        441","       3799","         36.67"
"ITDC","EQ","06-Jan-2017","        211.25","        210.00","        219.00","        209.00","        213.00","        214.80","        213.96","      12546","             2684400.00","        400","       4227","         33.69"
"ITDC","EQ","09-Jan-2017","        214.80","        215.90","        218.50","        211.05","        213.20","        215.85","        216.09","      10936","             2363123.65","        354","       5797","         53.01"
"ITDC","EQ","10-Jan-2017","        215.85","        216.75","        219.40","        211.10","        217.05","        218.65","        217.07","      10119","             2196552.95","        287","       6585","         65.08"
"ITDC","EQ","11-Jan-2017","        218.65","        217.00","        222.00","        213.50","        216.00","        217.60","        218.15","       9030","             1969935.60","        322","       6409","         70.97"
"ITDC","EQ","12-Jan-2017","        217.60","        212.50","        220.00","        212.50","        214.90","        214.85","        217.92","       4306","              938378.45","        190","       3414","         79.28"
"ITDC","EQ","13-Jan-2017","        214.85","        235.00","        257.80","        222.00","        257.80","        257.80","        249.86","     208418","            52075196.55","       4291","      74969","         35.97"
"ITDC","EQ","16-Jan-2017","        257.80","        277.00","        308.80","        260.15","        301.00","        301.95","        288.37","    1097128","           316374240.50","      25686","     108796","          9.92"
"ITDC","EQ","17-Jan-2017","        301.95","        301.25","        326.00","        296.10","        313.20","        313.45","        314.09","     872218","           273952252.45","      23095","      87597","         10.04"
"ITDC","EQ","18-Jan-2017","        313.45","        308.60","        312.40","        292.20","        294.80","        296.30","        301.47","     182377","            54981667.40","       4928","      44660","         24.49"
