"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IBULHSGFIN","EQ","03-Apr-2017","        997.75","        998.00","       1001.65","        986.80","        994.80","        995.90","        995.84","    1011022","          1006813199.30","      30899","     535412","         52.96"
"IBULHSGFIN","NA","03-Apr-2017","       1038.00","       1038.00","       1038.00","       1038.00","       1038.00","       1038.00","       1038.00","         31","               32178.00","          4","         31","        100.00"
"IBULHSGFIN","EQ","05-Apr-2017","        995.90","        994.90","        998.95","        978.60","        986.00","        986.30","        986.31","    2177321","          2147510813.85","      86029","    1503677","         69.06"
"IBULHSGFIN","N3","05-Apr-2017","       1005.00","       1028.99","       1028.99","       1028.99","       1028.99","       1028.99","       1028.99","         10","               10289.90","          1","         10","        100.00"
"IBULHSGFIN","NA","05-Apr-2017","       1038.00","       1054.99","       1054.99","       1054.99","       1054.99","       1054.99","       1054.99","          1","                1054.99","          1","          1","        100.00"
"IBULHSGFIN","NB","05-Apr-2017","       1030.00","        980.00","       1044.90","        980.00","       1044.90","       1044.90","        986.95","        560","              552694.00","          3","        560","        100.00"
"IBULHSGFIN","EQ","06-Apr-2017","        986.30","        985.00","        988.00","        964.60","        974.55","        977.00","        973.68","    1544977","          1504312375.00","      40653","     962371","         62.29"
"IBULHSGFIN","N8","06-Apr-2017","        997.05","       1020.00","       1020.00","       1020.00","       1020.00","       1020.00","       1020.00","          5","                5100.00","          1","          5","        100.00"
"IBULHSGFIN","NA","06-Apr-2017","       1054.99","       1054.00","       1054.00","       1041.00","       1041.00","       1041.00","       1043.17","          6","                6259.00","          2","          6","        100.00"
"IBULHSGFIN","EQ","07-Apr-2017","        977.00","        974.55","        977.75","        952.50","        954.15","        955.85","        962.59","    2689720","          2589092272.30","      63997","    1533245","         57.00"
"IBULHSGFIN","N8","07-Apr-2017","       1020.00","       1019.00","       1019.00","       1019.00","       1019.00","       1019.00","       1019.00","         10","               10190.00","          2","         10","        100.00"
"IBULHSGFIN","NA","07-Apr-2017","       1041.00","       1059.99","       1059.99","       1041.00","       1041.00","       1041.00","       1041.73","         26","               27084.99","          2","         26","        100.00"
"IBULHSGFIN","NC","07-Apr-2017","       1010.00","       1010.00","       1010.00","       1010.00","       1010.00","       1010.00","       1010.00","         34","               34340.00","          2","         34","        100.00"
