"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IBVENTURES","EQ","03-Apr-2017","         58.40","         61.30","         61.30","         61.30","         61.30","         61.30","         61.30","     329707","            20211039.10","        556","     329705","        100.00"
"IBVENTURES","EQ","05-Apr-2017","         61.30","         64.35","         64.35","         64.35","         64.35","         64.35","         64.35","     265454","            17081964.90","        540","     265454","        100.00"
"IBVENTURES","EQ","06-Apr-2017","         64.35","         67.55","         67.55","         67.55","         67.55","         67.55","         67.55","     256886","            17352649.30","        528","     256886","        100.00"
"IBVENTURES","EQ","07-Apr-2017","         67.55","         70.30","         70.90","         68.20","         70.90","         70.80","         70.58","   13128510","           926546228.10","      11159","    5024984","         38.28"
"IBVENTURES","EQ","10-Apr-2017","         70.80","         70.00","         74.30","         67.30","         74.30","         74.30","         71.52","    9037727","           646387707.55","      20256","    3533419","         39.10"
"IBVENTURES","EQ","11-Apr-2017","         74.30","         76.45","         78.00","         75.15","         78.00","         78.00","         77.48","    4302954","           333381710.95","      10085","    1960006","         45.55"
"IBVENTURES","EQ","12-Apr-2017","         78.00","         79.90","         81.90","         77.55","         81.90","         81.90","         80.51","    4826143","           388545573.70","      12459","    1822377","         37.76"
"IBVENTURES","EQ","13-Apr-2017","         81.90","         83.40","         85.95","         83.00","         85.95","         85.95","         85.38","    3003112","           256402600.00","       6475","    1481455","         49.33"
"IBVENTURES","EQ","17-Apr-2017","         85.95","         90.20","         90.20","         90.20","         90.20","         90.20","         90.20","     567567","            51194543.40","        871","     567304","         99.95"
"IBVENTURES","EQ","18-Apr-2017","         90.20","         94.70","         94.70","         86.25","         94.70","         93.95","         93.99","    9533187","           896062961.85","      16710","    3872552","         40.62"
"IBVENTURES","EQ","19-Apr-2017","         93.95","         97.00","         98.60","         92.65","         98.60","         98.60","         97.27","    5359852","           521348498.25","      11568","    2580646","         48.15"
"IBVENTURES","EQ","20-Apr-2017","         98.60","        103.50","        103.50","        103.50","        103.50","        103.50","        103.50","     502143","            51971800.50","        829","     502141","        100.00"
"IBVENTURES","EQ","21-Apr-2017","        103.50","        108.65","        108.65","        104.60","        108.65","        108.25","        108.01","    9490206","          1025073862.80","      19413","    4737469","         49.92"
"IBVENTURES","EQ","24-Apr-2017","        108.25","        113.65","        113.65","        113.65","        113.65","        113.65","        113.65","     632451","            71878056.15","        999","     615433","         97.31"
"IBVENTURES","EQ","25-Apr-2017","        113.65","        119.30","        119.30","        119.30","        119.30","        119.30","        119.30","     486092","            57990775.60","        850","     486091","        100.00"
"IBVENTURES","EQ","26-Apr-2017","        119.30","        125.25","        125.25","        113.35","        113.35","        114.00","        119.96","   11224714","          1346484259.25","      42288","    4375186","         38.98"
"IBVENTURES","EQ","27-Apr-2017","        114.00","        109.25","        110.25","        108.30","        108.30","        108.30","        108.71","     946756","           102925515.50","       1861","     543720","         57.43"
"IBVENTURES","EQ","28-Apr-2017","        108.30","        113.70","        113.70","        103.60","        110.20","        110.60","        109.08","   10309240","          1124566515.80","      29934","    5024454","         48.74"
"IBVENTURES","EQ","02-May-2017","        110.60","        112.40","        113.40","        105.10","        105.45","        105.95","        106.81","    3529725","           377012889.10","      13151","    1655868","         46.91"
"IBVENTURES","EQ","03-May-2017","        105.95","        104.80","        110.20","        102.30","        107.00","        106.95","        107.72","    2232427","           240488081.20","       8335","     996106","         44.62"
"IBVENTURES","EQ","04-May-2017","        106.95","        107.60","        112.25","        106.10","        112.25","        112.25","        109.94","    1877981","           206471690.25","       6299","    1196227","         63.70"
"IBVENTURES","EQ","05-May-2017","        112.25","        116.00","        117.85","        115.10","        117.85","        117.85","        117.31","    2131134","           250002298.75","       4703","    1172527","         55.02"
"IBVENTURES","EQ","08-May-2017","        117.85","        123.70","        123.70","        123.70","        123.70","        123.70","        123.70","     278085","            34399114.50","        667","     278085","        100.00"
"IBVENTURES","EQ","09-May-2017","        123.70","        129.85","        129.85","        129.85","        129.85","        129.85","        129.85","     340702","            44240154.70","        594","     340700","        100.00"
"IBVENTURES","EQ","10-May-2017","        129.85","        136.30","        136.30","        136.30","        136.30","        136.30","        136.30","     379846","            51773009.80","        580","     379845","        100.00"
