"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFOBEAN","SM","02-May-2017","         58.00","         69.60","         69.60","         69.60","         69.60","         69.60","         69.60","     454000","            31598400.00","         63","     424000","         93.39"
"INFOBEAN","SM","03-May-2017","         69.60","         79.60","         79.60","         62.25","         68.20","         68.30","         69.56","    4186000","           291173500.00","       1706","    2362000","         56.43"
"INFOBEAN","SM","04-May-2017","         68.30","         69.25","         69.25","         63.60","         66.00","         65.15","         66.92","     602000","            40284400.00","        286","     384000","         63.79"
"INFOBEAN","SM","05-May-2017","         65.15","         64.75","         65.45","         62.50","         63.10","         63.20","         63.42","     322000","            20419700.00","        158","     196000","         60.87"
"INFOBEAN","SM","08-May-2017","         63.20","         63.50","         64.65","         63.15","         63.50","         63.45","         63.71","     130000","             8281700.00","         60","     116000","         89.23"
"INFOBEAN","SM","09-May-2017","         63.45","         64.40","         64.45","         60.00","         60.10","         60.30","         62.23","     248000","            15432200.00","        110","     186000","         75.00"
"INFOBEAN","SM","10-May-2017","         60.30","         60.00","         64.85","         57.55","         61.80","         61.95","         60.76","     518000","            31471400.00","        240","     290000","         55.98"
"INFOBEAN","SM","11-May-2017","         61.95","         62.50","         66.00","         62.50","         64.00","         63.90","         64.66","     196000","            12674100.00","         93","     132000","         67.35"
"INFOBEAN","SM","12-May-2017","         63.90","         63.60","         65.00","         63.15","         63.90","         63.55","         63.97","      74000","             4733500.00","         37","      60000","         81.08"
"INFOBEAN","SM","15-May-2017","         63.55","         65.00","         65.00","         63.00","         63.45","         63.15","         63.39","      44000","             2789300.00","         22","      30000","         68.18"
"INFOBEAN","SM","16-May-2017","         63.15","         63.15","         64.25","         63.00","         63.25","         63.25","         63.53","      34000","             2159900.00","         16","      28000","         82.35"
"INFOBEAN","SM","17-May-2017","         63.25","         64.75","         74.30","         64.00","         71.55","         71.15","         70.39","     728000","            51247000.00","        331","     432000","         59.34"
"INFOBEAN","SM","18-May-2017","         71.15","         71.00","         72.60","         69.00","         69.00","         69.20","         70.69","     182000","            12865000.00","         76","     142000","         78.02"
"INFOBEAN","SM","19-May-2017","         69.20","         69.75","         76.60","         69.75","         72.00","         71.90","         73.18","     362000","            26492500.00","        151","     154000","         42.54"
"INFOBEAN","SM","22-May-2017","         71.90","         73.95","         77.35","         73.00","         76.50","         76.25","         75.25","     374000","            28143500.00","        182","     212000","         56.68"
"INFOBEAN","SM","23-May-2017","         76.25","         76.50","         76.50","         69.55","         69.55","         70.70","         72.03","     176000","            12677500.00","         86","     114000","         64.77"
"INFOBEAN","SM","24-May-2017","         70.70","         70.50","         71.50","         65.00","         68.50","         68.35","         68.89","     106000","             7302400.00","         53","      58000","         54.72"
"INFOBEAN","SM","25-May-2017","         68.35","         68.70","         70.00","         68.70","         69.95","         69.55","         69.39","      26000","             1804100.00","         12","      24000","         92.31"
"INFOBEAN","SM","26-May-2017","         69.55","         70.00","         70.00","         68.50","         68.50","         68.65","         69.46","      34000","             2361700.00","         17","      30000","         88.24"
"INFOBEAN","SM","29-May-2017","         68.65","         68.40","         68.50","         65.00","         65.50","         65.80","         66.68","      68000","             4534100.00","         34","      54000","         79.41"
"INFOBEAN","SM","30-May-2017","         65.80","         65.40","         65.40","         64.00","         64.00","         64.45","         64.50","      52000","             3354100.00","         26","      38000","         73.08"
"INFOBEAN","SM","31-May-2017","         64.45","         64.65","         69.25","         64.65","         68.45","         68.30","         67.55","      50000","             3377700.00","         25","      42000","         84.00"
"INFOBEAN","SM","01-Jun-2017","         68.30","         68.90","         69.00","         68.00","         68.00","         68.00","         68.64","      20000","             1372700.00","         10","      14000","         70.00"
"INFOBEAN","SM","02-Jun-2017","         68.00","         67.95","         67.95","         66.00","         67.65","         66.90","         66.88","      32000","             2140300.00","         16","      20000","         62.50"
"INFOBEAN","SM","05-Jun-2017","         66.90","         67.00","         67.00","         65.80","         66.05","         66.05","         66.20","      22000","             1456300.00","         11","      18000","         81.82"
"INFOBEAN","SM","06-Jun-2017","         66.05","         66.95","         66.95","         65.10","         65.25","         65.40","         65.87","      26000","             1712600.00","         13","      20000","         76.92"
"INFOBEAN","SM","07-Jun-2017","         65.40","         66.70","         66.70","         65.25","         65.95","         65.95","         65.83","      12000","              789900.00","          6","      10000","         83.33"
"INFOBEAN","SM","08-Jun-2017","         65.95","         67.00","         67.00","         63.80","         63.90","         63.90","         64.30","      94000","             6044400.00","         43","      82000","         87.23"
"INFOBEAN","SM","09-Jun-2017","         63.90","         64.10","         64.65","         63.90","         63.90","         63.95","         64.03","      44000","             2817100.00","         20","      42000","         95.45"
