"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INTEGRA","BE","12-Jul-2017","          2.80","          2.80","          2.80","          2.80","          2.80","          2.80","          2.80","        103","                 288.40","          3","-","-"
"INTEGRA","BE","18-Jul-2017","          2.80","          2.80","          2.80","          2.80","          2.80","          2.80","          2.80","         50","                 140.00","          1","-","-"
"INTEGRA","BE","04-Aug-2017","          2.80","          2.80","          2.80","          2.70","          2.70","          2.70","          2.71","         97","                 262.90","          3","-","-"
"INTEGRA","BE","08-Aug-2017","          2.70","          2.60","          2.60","          2.60","          2.60","          2.60","          2.60","          1","                   2.60","          1","-","-"
"INTEGRA","BE","10-Aug-2017","          2.60","          2.50","          2.50","          2.50","          2.50","          2.50","          2.50","       3513","                8782.50","          7","-","-"
"INTEGRA","BE","16-Aug-2017","          2.50","          2.60","          2.60","          2.60","          2.60","          2.60","          2.60","        100","                 260.00","          1","-","-"
"INTEGRA","BE","17-Aug-2017","          2.60","          2.50","          2.50","          2.50","          2.50","          2.50","          2.50","      10000","               25000.00","          2","-","-"
"INTEGRA","BE","21-Aug-2017","          2.50","          2.40","          2.40","          2.40","          2.40","          2.40","          2.40","       3650","                8760.00","          4","-","-"
"INTEGRA","BE","24-Aug-2017","          2.40","          2.30","          2.30","          2.30","          2.30","          2.30","          2.30","        325","                 747.50","          3","-","-"
"INTEGRA","BE","11-Sep-2017","          2.30","          2.20","          2.30","          2.20","          2.30","          2.30","          2.29","        200","                 458.40","          2","-","-"
"INTEGRA","BE","12-Sep-2017","          2.30","          2.20","          2.20","          2.20","          2.20","          2.20","          2.20","         10","                  22.00","          1","-","-"
