"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IPAPPM","EQ","02-Jan-2017","        294.10","        297.00","        298.85","        293.90","        296.15","        296.05","        296.74","      17271","             5125069.00","        427","      14541","         84.19"
"IPAPPM","EQ","03-Jan-2017","        296.05","        299.10","        306.00","        296.20","        304.00","        304.10","        301.36","       9856","             2970237.80","        495","       6852","         69.52"
"IPAPPM","EQ","04-Jan-2017","        304.10","        305.00","        309.85","        303.00","        303.35","        304.60","        306.14","       7776","             2380517.80","        622","       4577","         58.86"
"IPAPPM","EQ","05-Jan-2017","        304.60","        306.90","        310.00","        305.00","        305.10","        305.80","        306.61","       8512","             2609876.25","        369","       5181","         60.87"
"IPAPPM","EQ","06-Jan-2017","        305.80","        306.90","        311.50","        304.60","        306.55","        307.70","        307.43","      11544","             3548995.20","        533","       8871","         76.85"
"IPAPPM","EQ","09-Jan-2017","        307.70","        313.50","        313.50","        306.25","        309.00","        308.95","        308.33","      10118","             3119670.50","        380","       6180","         61.08"
"IPAPPM","EQ","10-Jan-2017","        308.95","        310.85","        313.40","        306.15","        310.00","        311.00","        310.29","      10333","             3206202.25","        480","       7726","         74.77"
"IPAPPM","EQ","11-Jan-2017","        311.00","        309.10","        322.00","        308.10","        316.00","        316.95","        316.10","      59403","            18777366.50","       1353","      33022","         55.59"
"IPAPPM","EQ","12-Jan-2017","        316.95","        316.00","        320.00","        313.95","        317.00","        318.90","        317.14","      22360","             7091175.25","        414","      14823","         66.29"
"IPAPPM","EQ","13-Jan-2017","        318.90","        315.10","        320.40","        311.05","        314.25","        313.35","        314.95","       9887","             3113955.85","        468","       7105","         71.86"
"IPAPPM","EQ","16-Jan-2017","        313.35","        316.00","        317.75","        312.40","        317.25","        316.50","        315.27","       8817","             2779744.40","        558","       4924","         55.85"
"IPAPPM","EQ","17-Jan-2017","        316.50","        317.00","        326.00","        312.30","        319.10","        320.15","        320.89","      27312","             8764151.45","        818","      17475","         63.98"
"IPAPPM","EQ","18-Jan-2017","        320.15","        323.65","        345.00","        319.95","        333.40","        336.25","        337.00","     253584","            85458596.70","       8248","      87790","         34.62"
"IPAPPM","EQ","19-Jan-2017","        336.25","        355.00","        355.00","        330.30","        338.00","        337.55","        340.24","     220268","            74943222.95","       6725","      62361","         28.31"
"IPAPPM","EQ","20-Jan-2017","        337.55","        335.05","        338.00","        322.00","        323.65","        323.85","        329.66","      41323","            13622666.25","       1961","      23614","         57.14"
"IPAPPM","EQ","23-Jan-2017","        323.85","        326.80","        330.05","        316.70","        318.00","        318.25","        321.84","      20770","             6684520.95","        667","      16114","         77.58"
"IPAPPM","EQ","24-Jan-2017","        318.25","        323.80","        323.80","        312.40","        315.50","        315.75","        315.67","      18059","             5700632.00","        535","      12650","         70.05"
"IPAPPM","EQ","25-Jan-2017","        315.75","        315.10","        325.75","        312.20","        319.60","        320.10","        321.48","      22302","             7169642.65","        637","      16210","         72.68"
"IPAPPM","EQ","27-Jan-2017","        320.10","        321.45","        332.40","        321.10","        324.70","        324.65","        327.15","      27319","             8937449.90","        803","      19071","         69.81"
"IPAPPM","EQ","30-Jan-2017","        324.65","        325.95","        325.95","        311.70","        319.00","        316.80","        318.10","      27835","             8854196.50","        748","      18338","         65.88"
"IPAPPM","EQ","31-Jan-2017","        316.80","        318.05","        324.50","        312.30","        314.00","        314.10","        317.40","      32040","            10169372.70","       1236","      21639","         67.54"
"IPAPPM","EQ","01-Feb-2017","        314.10","        314.20","        321.00","        314.00","        318.50","        317.20","        315.63","       9364","             2955551.25","        247","       6601","         70.49"
