"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JKCEMENT","EQ","03-Jul-2017","        938.90","        949.00","        958.00","        945.00","        946.00","        949.20","        949.46","      26090","            24771398.45","       1168","      17643","         67.62"
"JKCEMENT","EQ","04-Jul-2017","        949.20","        956.00","        978.00","        945.95","        965.00","        967.80","        966.92","      65843","            63664587.65","       3923","      49539","         75.24"
"JKCEMENT","EQ","05-Jul-2017","        967.80","        967.80","        980.50","        967.70","        979.90","        979.65","        978.47","      26660","            26086091.00","       1143","      16226","         60.86"
"JKCEMENT","EQ","06-Jul-2017","        979.65","        983.25","        984.45","        966.00","        978.45","        980.05","        980.21","      45397","            44498816.50","       1297","      39667","         87.38"
"JKCEMENT","EQ","07-Jul-2017","        980.05","        975.00","        979.90","        968.00","        970.00","        970.20","        970.23","      30706","            29791817.10","       1296","      26763","         87.16"
"JKCEMENT","EQ","10-Jul-2017","        970.20","        971.60","        980.00","        921.25","        974.60","        974.15","        970.78","      10572","            10263123.35","        243","       8942","         84.58"
"JKCEMENT","EQ","11-Jul-2017","        974.15","        981.40","        981.55","        964.05","        967.20","        971.15","        968.62","       6483","             6279588.25","        497","       4315","         66.56"
"JKCEMENT","EQ","12-Jul-2017","        971.15","        971.05","        980.00","        960.05","        966.00","        966.65","        975.19","      15773","            15381653.00","        722","      13350","         84.64"
"JKCEMENT","EQ","13-Jul-2017","        966.65","        981.00","        986.00","        955.10","        980.00","        978.80","        975.32","      24272","            23672994.85","       1651","      15282","         62.96"
"JKCEMENT","EQ","14-Jul-2017","        978.80","        978.80","        978.80","        952.00","        960.00","        962.55","        959.47","      24143","            23164577.60","       1039","      18916","         78.35"
"JKCEMENT","EQ","17-Jul-2017","        962.55","        955.00","        979.00","        955.00","        979.00","        971.60","        965.44","       9523","             9193863.15","        983","       6346","         66.64"
"JKCEMENT","EQ","18-Jul-2017","        971.60","        982.00","        990.00","        965.00","        977.00","        977.70","        979.04","      20193","            19769692.60","       1404","      10192","         50.47"
"JKCEMENT","EQ","19-Jul-2017","        977.70","        963.00","        998.00","        962.45","        980.00","        979.55","        979.24","      94366","            92406915.20","       2414","      73079","         77.44"
"JKCEMENT","EQ","20-Jul-2017","        979.55","        979.55","        988.80","        968.25","        985.00","        983.65","        980.64","      16654","            16331636.30","        615","      13475","         80.91"
"JKCEMENT","EQ","21-Jul-2017","        983.65","        981.90","        998.30","        971.00","        979.00","        979.05","        981.77","      39930","            39202212.75","       1312","      32124","         80.45"
"JKCEMENT","EQ","24-Jul-2017","        979.05","        984.00","        989.00","        975.00","        981.50","        983.45","        981.29","      23679","            23235961.15","       1826","      17937","         75.75"
"JKCEMENT","EQ","25-Jul-2017","        983.45","        980.95","        984.00","        970.00","        972.00","        972.15","        976.49","      13349","            13035106.35","       1670","       9731","         72.90"
"JKCEMENT","EQ","26-Jul-2017","        972.15","        970.00","        998.00","        970.00","        987.70","        992.20","        980.49","      14018","            13744464.10","        979","       9975","         71.16"
"JKCEMENT","EQ","27-Jul-2017","        992.20","        989.20","       1026.90","        986.05","        998.00","       1007.00","       1012.05","      33976","            34385422.60","       2812","      15050","         44.30"
"JKCEMENT","EQ","28-Jul-2017","       1007.00","       1002.00","       1034.80","        982.45","       1005.00","       1012.25","       1012.92","      34680","            35128132.30","       3353","      18318","         52.82"
"JKCEMENT","EQ","31-Jul-2017","       1012.25","       1027.00","       1027.00","       1005.00","       1010.00","       1018.00","       1016.58","      11907","            12104383.25","       1277","       6400","         53.75"
"JKCEMENT","EQ","01-Aug-2017","       1018.00","       1010.10","       1024.50","       1009.10","       1011.00","       1018.30","       1015.80","       7120","             7232515.00","        604","       4828","         67.81"
"JKCEMENT","EQ","02-Aug-2017","       1018.30","       1019.00","       1025.00","        998.15","       1012.00","       1008.20","       1008.24","      22821","            23009142.15","       2261","      13793","         60.44"
"JKCEMENT","EQ","03-Aug-2017","       1008.20","       1018.90","       1020.00","        990.10","       1000.00","       1007.20","       1005.87","      10402","            10463099.30","        805","       6988","         67.18"
"JKCEMENT","EQ","04-Aug-2017","       1007.20","       1010.95","       1017.55","        993.90","       1010.00","       1012.20","       1010.09","      11744","            11862481.60","        479","       9516","         81.03"
"JKCEMENT","EQ","07-Aug-2017","       1012.20","       1010.00","       1037.95","       1005.00","       1022.50","       1026.45","       1022.80","      16821","            17204602.00","        915","      12689","         75.44"
"JKCEMENT","EQ","08-Aug-2017","       1026.45","       1025.05","       1039.90","       1002.10","       1031.00","       1033.25","       1022.98","      12824","            13118658.40","       1336","       7248","         56.52"
"JKCEMENT","EQ","09-Aug-2017","       1033.25","       1031.00","       1035.00","        995.65","       1028.75","       1026.20","       1016.00","      16145","            16403355.45","       1598","       6835","         42.34"
"JKCEMENT","EQ","10-Aug-2017","       1026.20","       1022.15","       1028.70","        995.05","       1018.00","       1015.75","       1015.34","      33636","            34152100.25","       5345","      20885","         62.09"
"JKCEMENT","EQ","11-Aug-2017","       1015.75","       1001.00","       1039.90","        976.25","       1030.00","       1030.70","       1009.05","      30277","            30551041.15","       2650","      18304","         60.46"
"JKCEMENT","EQ","14-Aug-2017","       1030.70","       1059.90","       1079.90","       1026.00","       1040.00","       1037.40","       1044.85","      38792","            40531702.40","       2408","      15602","         40.22"
"JKCEMENT","EQ","16-Aug-2017","       1037.40","       1050.00","       1050.00","       1022.30","       1034.00","       1032.25","       1035.88","      19006","            19687922.35","       1487","      14221","         74.82"
"JKCEMENT","EQ","17-Aug-2017","       1032.25","       1049.00","       1049.00","       1013.35","       1028.00","       1028.80","       1030.38","      16314","            16809608.35","       1382","      10699","         65.58"
"JKCEMENT","EQ","18-Aug-2017","       1028.80","       1038.00","       1038.00","        995.00","        995.05","        999.35","       1001.28","      32623","            32664780.00","       2548","      20098","         61.61"
"JKCEMENT","EQ","21-Aug-2017","        999.35","       1005.95","       1017.55","        988.40","       1000.00","       1001.15","        999.19","      25400","            25379357.90","       1525","      16546","         65.14"
"JKCEMENT","EQ","22-Aug-2017","       1001.15","       1015.60","       1018.00","        991.25","       1009.00","       1013.40","       1003.77","       8915","             8948602.30","        632","       5995","         67.25"
"JKCEMENT","EQ","23-Aug-2017","       1013.40","       1013.40","       1022.45","       1001.00","       1013.00","       1011.70","       1010.79","       5390","             5448162.10","        413","       3251","         60.32"
"JKCEMENT","EQ","24-Aug-2017","       1011.70","       1008.05","       1016.25","       1001.00","       1010.00","       1013.45","       1010.29","       5068","             5120149.25","        404","       3433","         67.74"
"JKCEMENT","EQ","28-Aug-2017","       1013.45","       1019.00","       1019.80","       1011.00","       1017.90","       1016.65","       1015.35","       7853","             7973532.30","        423","       5879","         74.86"
"JKCEMENT","EQ","29-Aug-2017","       1016.65","       1003.45","       1016.65","        990.10","        995.10","        997.05","        998.35","      16490","            16462746.10","       2110","      11493","         69.70"
"JKCEMENT","EQ","30-Aug-2017","        997.05","       1005.00","       1018.00","       1002.05","       1010.00","       1010.80","       1011.35","      11316","            11444410.40","        788","       8124","         71.79"
"JKCEMENT","EQ","31-Aug-2017","       1010.80","       1007.00","       1018.95","        998.00","       1001.00","       1005.10","       1010.10","       8035","             8116123.15","        734","       4677","         58.21"
"JKCEMENT","EQ","01-Sep-2017","       1005.10","        998.05","       1016.80","        998.00","       1015.00","       1011.65","       1011.37","       7373","             7456854.95","        607","       5259","         71.33"
"JKCEMENT","EQ","04-Sep-2017","       1011.65","       1019.00","       1019.00","        995.00","       1001.55","       1005.65","       1002.98","       8176","             8200398.80","        648","       4421","         54.07"
"JKCEMENT","EQ","05-Sep-2017","       1005.65","       1000.05","       1025.00","       1000.05","       1022.00","       1017.10","       1014.79","      14788","            15006644.05","       1267","      11537","         78.02"
"JKCEMENT","EQ","06-Sep-2017","       1017.10","       1024.95","       1025.50","       1006.50","       1024.90","       1020.50","       1015.36","       7666","             7783713.15","       1039","       4467","         58.27"
"JKCEMENT","EQ","07-Sep-2017","       1020.50","       1022.00","       1024.00","       1005.40","       1011.05","       1011.55","       1015.03","      13490","            13692718.95","       1091","       9855","         73.05"
"JKCEMENT","EQ","08-Sep-2017","       1011.55","       1015.00","       1045.60","       1010.10","       1028.00","       1023.10","       1024.25","      25092","            25700373.95","       3304","       9469","         37.74"
"JKCEMENT","EQ","11-Sep-2017","       1023.10","       1023.10","       1035.95","       1022.10","       1025.15","       1025.20","       1027.88","      13722","            14104531.35","        916","       7804","         56.87"
"JKCEMENT","EQ","12-Sep-2017","       1025.20","       1025.20","       1058.70","       1021.70","       1051.00","       1047.85","       1044.56","      35356","            36931505.45","       3862","      22650","         64.06"
"JKCEMENT","EQ","13-Sep-2017","       1047.85","       1050.00","       1064.80","       1036.10","       1054.00","       1050.95","       1052.39","      37160","            39106836.50","       1851","      27402","         73.74"
"JKCEMENT","EQ","14-Sep-2017","       1050.95","       1055.05","       1071.80","       1031.30","       1032.00","       1038.45","       1057.13","      33099","            34990102.55","       2561","      17176","         51.89"
"JKCEMENT","EQ","15-Sep-2017","       1038.45","       1029.70","       1045.05","        991.15","       1002.00","       1005.70","       1008.13","      99554","           100362971.15","       5473","      77975","         78.32"
"JKCEMENT","EQ","18-Sep-2017","       1005.70","       1006.10","       1025.80","        997.05","       1020.00","       1019.70","       1016.59","     103052","           104761771.75","       3377","      90939","         88.25"
"JKCEMENT","EQ","19-Sep-2017","       1019.70","       1025.00","       1026.80","       1005.00","       1017.00","       1021.95","       1016.28","      30292","            30785005.75","       3142","      19100","         63.05"
