"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JKPAPER","EQ","03-Jul-2017","         90.40","         90.70","         93.25","         90.25","         91.00","         91.15","         91.73","    1119307","           102678809.80","       7198","     807093","         72.11"
"JKPAPER","EQ","04-Jul-2017","         91.15","         96.40","         96.75","         90.50","         90.70","         90.90","         92.91","    3600856","           334543676.65","      21023","    1953534","         54.25"
"JKPAPER","EQ","05-Jul-2017","         90.90","         91.40","         92.10","         90.25","         90.50","         90.50","         91.15","     755712","            68886565.55","       6723","     478263","         63.29"
"JKPAPER","EQ","06-Jul-2017","         90.50","         91.20","         94.85","         90.90","         94.85","         94.05","         93.63","    1490702","           139580936.40","      12186","     758245","         50.86"
"JKPAPER","EQ","07-Jul-2017","         94.05","         94.65","         96.00","         93.80","         95.50","         95.35","         95.31","     615342","            58645392.65","       6352","     331369","         53.85"
"JKPAPER","EQ","10-Jul-2017","         95.35","         95.30","        100.25","         92.05","         98.00","         98.20","         98.28","     369571","            36319711.30","       3214","     216626","         58.62"
"JKPAPER","EQ","11-Jul-2017","         98.20","         98.70","        100.00","         97.00","         97.75","         98.10","         98.55","     617162","            60823225.40","       5562","     331835","         53.77"
"JKPAPER","EQ","12-Jul-2017","         98.10","         98.85","        100.00","         98.00","         99.50","         99.60","         99.28","     516288","            51259394.10","       6079","     298495","         57.82"
"JKPAPER","EQ","13-Jul-2017","         99.60","        100.00","        101.35","         98.15","         98.35","         98.55","         99.53","     775068","            77141967.90","       5318","     372994","         48.12"
"JKPAPER","EQ","14-Jul-2017","         98.55","         98.60","         99.35","         96.25","         96.70","         96.75","         97.50","     378337","            36887242.45","       3367","     229820","         60.74"
"JKPAPER","EQ","17-Jul-2017","         96.75","         96.15","         97.35","         95.75","         96.10","         95.90","         96.24","     199020","            19154635.35","       2167","     100193","         50.34"
"JKPAPER","EQ","18-Jul-2017","         95.90","         96.70","         97.80","         93.90","         94.95","         94.50","         95.45","     357570","            34130870.55","       3044","     180081","         50.36"
"JKPAPER","EQ","19-Jul-2017","         94.50","         95.35","         96.50","         95.10","         95.90","         95.80","         95.68","     200035","            19139850.50","       2077","     117880","         58.93"
"JKPAPER","EQ","20-Jul-2017","         95.80","         95.90","         99.00","         95.55","         98.25","         98.10","         97.51","     501632","            48915814.00","       4027","     247086","         49.26"
"JKPAPER","EQ","21-Jul-2017","         98.10","         98.80","         99.90","         94.85","         96.50","         96.60","         96.71","     672853","            65068825.80","       3659","     452308","         67.22"
"JKPAPER","EQ","24-Jul-2017","         96.60","         97.25","         99.80","         96.80","         98.00","         97.95","         98.02","     357807","            35073317.60","       3010","     239047","         66.81"
"JKPAPER","EQ","25-Jul-2017","         97.95","         98.75","         98.75","         96.55","         96.95","         97.10","         97.26","     337860","            32858818.25","       2735","     219046","         64.83"
"JKPAPER","EQ","26-Jul-2017","         97.10","         97.95","         97.95","         95.75","         96.00","         95.95","         96.82","     383325","            37112531.15","       2864","     282155","         73.61"
"JKPAPER","EQ","27-Jul-2017","         95.95","         95.50","         98.50","         95.50","         97.95","         96.30","         96.44","     864453","            83371153.50","       3364","     677993","         78.43"
"JKPAPER","EQ","28-Jul-2017","         96.30","         99.00","         99.00","         96.75","         97.60","         97.80","         97.83","    1946028","           190387104.30","      13139","     991553","         50.95"
"JKPAPER","EQ","31-Jul-2017","         97.80","         98.95","         99.00","         96.05","         97.50","         97.20","         98.09","    1289377","           126480507.30","       7077","     824155","         63.92"
"JKPAPER","EQ","01-Aug-2017","         97.20","        100.00","        100.00","         94.00","         94.30","         94.85","         96.65","    2414015","           233325181.50","      13759","    1543751","         63.95"
"JKPAPER","EQ","02-Aug-2017","         94.85","         95.25","         95.25","         92.90","         93.25","         93.40","         94.06","     764644","            71920897.45","       6084","     471662","         61.68"
"JKPAPER","EQ","03-Aug-2017","         93.40","         93.50","         94.20","         90.60","         91.35","         91.30","         92.77","    1049907","            97396178.65","       5749","     766347","         72.99"
"JKPAPER","EQ","04-Aug-2017","         91.30","         92.30","         93.20","         90.05","         90.35","         90.60","         91.98","    1393462","           128174637.05","       8420","    1083795","         77.78"
"JKPAPER","EQ","07-Aug-2017","         90.60","         90.85","         96.95","         90.85","         94.75","         95.45","         94.37","    1307406","           123385066.55","       8868","     859247","         65.72"
"JKPAPER","EQ","08-Aug-2017","         95.45","         95.95","         96.30","         93.75","         95.70","         95.30","         95.50","     876077","            83666724.55","       5411","     582230","         66.46"
"JKPAPER","EQ","09-Aug-2017","         95.30","         94.25","         96.30","         93.10","         93.50","         93.75","         95.24","     771819","            73504294.35","       5154","     541222","         70.12"
