"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JKTYRE","EQ","02-Jan-2017","        113.45","        113.50","        116.80","        112.25","        115.45","        115.80","        114.65","     671274","            76960721.75","       5379","     189537","         28.24"
"JKTYRE","EQ","03-Jan-2017","        115.80","        116.50","        117.90","        115.15","        116.95","        116.55","        116.56","     771682","            89944557.90","       7668","     237550","         30.78"
"JKTYRE","EQ","04-Jan-2017","        116.55","        116.50","        117.80","        115.40","        115.60","        116.15","        116.72","     800139","            93393395.95","       6867","     399000","         49.87"
"JKTYRE","EQ","05-Jan-2017","        116.15","        116.50","        117.30","        116.00","        116.60","        116.45","        116.63","     729761","            85111194.75","       5484","     272232","         37.30"
"JKTYRE","EQ","06-Jan-2017","        116.45","        117.00","        119.70","        116.10","        116.50","        116.40","        117.82","    1009065","           118890175.05","       7648","     281229","         27.87"
"JKTYRE","EQ","09-Jan-2017","        116.40","        116.55","        116.90","        114.50","        115.10","        114.85","        115.53","     400155","            46228943.50","       5282","     163963","         40.97"
"JKTYRE","EQ","10-Jan-2017","        114.85","        115.50","        122.30","        115.00","        122.20","        120.65","        119.25","    1910585","           227842809.05","      14408","     581303","         30.43"
"JKTYRE","EQ","11-Jan-2017","        120.65","        122.90","        125.70","        121.50","        125.00","        124.95","        124.03","    2721711","           337582565.15","      23514","     930297","         34.18"
"JKTYRE","EQ","12-Jan-2017","        124.95","        125.00","        126.80","        121.45","        125.00","        124.35","        123.94","    1875440","           232435020.05","      14311","     529640","         28.24"
"JKTYRE","EQ","13-Jan-2017","        124.35","        125.00","        129.50","        121.30","        126.90","        127.55","        125.46","    2812455","           352846743.55","      24887","    1242382","         44.17"
"JKTYRE","EQ","16-Jan-2017","        127.55","        127.45","        135.50","        126.10","        134.35","        134.45","        132.11","    3687013","           487083441.55","      29209","    1401279","         38.01"
"JKTYRE","EQ","17-Jan-2017","        134.45","        134.90","        136.90","        132.15","        132.55","        132.90","        134.31","    2078737","           279200973.85","      15486","     764060","         36.76"
"JKTYRE","EQ","18-Jan-2017","        132.90","        133.75","        135.30","        128.45","        130.00","        129.65","        131.70","    1169082","           153970101.10","      13618","     502905","         43.02"
"JKTYRE","EQ","19-Jan-2017","        129.65","        130.00","        131.70","        128.50","        130.10","        130.35","        129.84","     748028","            97124327.60","       9321","     314440","         42.04"
"JKTYRE","EQ","20-Jan-2017","        130.35","        129.20","        131.40","        126.00","        126.60","        127.00","        128.62","     747362","            96124477.80","      10181","     337838","         45.20"
"JKTYRE","EQ","23-Jan-2017","        127.00","        126.80","        128.35","        124.90","        125.10","        125.35","        126.43","     856270","           108257197.40","       8801","     313783","         36.65"
"JKTYRE","EQ","24-Jan-2017","        125.35","        125.80","        129.15","        125.50","        128.00","        127.80","        127.58","     983201","           125434804.50","      10243","     432302","         43.97"
"JKTYRE","EQ","25-Jan-2017","        127.80","        128.95","        130.40","        127.40","        128.90","        129.40","        128.81","     763751","            98379608.30","       6648","     266626","         34.91"
"JKTYRE","EQ","27-Jan-2017","        129.40","        130.00","        130.60","        126.25","        126.35","        126.75","        128.49","     790258","           101542720.85","       7284","     383699","         48.55"
"JKTYRE","EQ","30-Jan-2017","        126.75","        126.30","        126.60","        124.55","        125.25","        125.25","        125.43","     437978","            54937641.25","       4050","     222141","         50.72"
"JKTYRE","EQ","31-Jan-2017","        125.25","        124.50","        124.55","        120.00","        120.80","        120.45","        121.86","     986651","           120234649.00","       7895","     396808","         40.22"
"JKTYRE","EQ","01-Feb-2017","        120.45","        120.00","        123.50","        118.10","        122.50","        122.55","        121.45","    1283065","           155826365.85","       9848","     525566","         40.96"
"JKTYRE","EQ","02-Feb-2017","        122.55","        121.90","        123.90","        119.55","        119.95","        120.30","        121.56","     880969","           107090686.50","       8934","     522673","         59.33"
"JKTYRE","EQ","03-Feb-2017","        120.30","        120.55","        123.50","        120.00","        122.00","        121.40","        121.88","     923477","           112550936.00","      10033","     354856","         38.43"
"JKTYRE","EQ","06-Feb-2017","        121.40","        122.40","        123.40","        120.15","        121.50","        121.35","        121.81","     709624","            86436425.45","       7621","     380559","         53.63"
"JKTYRE","EQ","07-Feb-2017","        121.35","        121.55","        121.95","        118.05","        118.15","        118.35","        119.50","    1460893","           174576864.65","      19024","     696852","         47.70"
"JKTYRE","EQ","08-Feb-2017","        118.35","        118.40","        119.40","        116.80","        117.55","        118.05","        117.92","    1151557","           135790217.80","      15534","     567377","         49.27"
"JKTYRE","EQ","09-Feb-2017","        118.05","        118.80","        120.00","        118.00","        119.00","        119.25","        119.21","     813466","            96976441.80","       7063","     415077","         51.03"
"JKTYRE","EQ","10-Feb-2017","        119.25","        115.00","        117.75","        113.60","        116.15","        116.50","        116.40","    1127393","           131229359.30","       9309","     488019","         43.29"
"JKTYRE","EQ","13-Feb-2017","        116.50","        117.10","        117.80","        116.05","        116.20","        116.85","        117.06","     616373","            72151846.95","       4695","     275119","         44.64"
"JKTYRE","EQ","14-Feb-2017","        116.85","        116.90","        116.90","        111.55","        112.45","        112.60","        114.19","     761091","            86908352.95","       8110","     526811","         69.22"
"JKTYRE","EQ","15-Feb-2017","        112.60","        113.70","        116.85","        112.50","        116.00","        116.10","        115.05","    1473036","           169466915.70","      16889","     666928","         45.28"
"JKTYRE","EQ","16-Feb-2017","        116.10","        116.50","        120.70","        113.65","        120.30","        119.50","        117.59","    2196513","           258296733.90","      15266","    1062342","         48.36"
"JKTYRE","EQ","17-Feb-2017","        119.50","        121.40","        121.50","        118.40","        118.50","        118.85","        120.11","    1406648","           168949630.95","      10926","     499502","         35.51"
"JKTYRE","EQ","20-Feb-2017","        118.85","        118.95","        120.30","        117.70","        118.40","        118.70","        118.89","     655055","            77882470.15","       6451","     262589","         40.09"
"JKTYRE","EQ","21-Feb-2017","        118.70","        118.80","        119.70","        118.00","        118.10","        118.25","        118.59","     465430","            55193026.30","       5381","     195271","         41.95"
"JKTYRE","EQ","22-Feb-2017","        118.25","        118.90","        122.20","        117.65","        119.20","        119.40","        120.48","    1463536","           176322737.65","      18533","     681785","         46.58"
"JKTYRE","EQ","23-Feb-2017","        119.40","        119.00","        122.35","        118.85","        120.65","        120.60","        121.02","    1358597","           164420398.35","      11520","     519084","         38.21"
"JKTYRE","EQ","27-Feb-2017","        120.60","        121.70","        123.90","        121.05","        121.90","        121.90","        122.40","    1239184","           151680760.70","       8560","     695159","         56.10"
"JKTYRE","EQ","28-Feb-2017","        121.90","        122.90","        125.35","        122.55","        124.15","        124.50","        124.43","    1802926","           224345784.40","      17430","    1007468","         55.88"
"JKTYRE","EQ","01-Mar-2017","        124.50","        125.00","        125.90","        124.50","        124.65","        124.95","        125.10","     801206","           100230518.80","       5642","     431188","         53.82"
"JKTYRE","EQ","02-Mar-2017","        124.95","        125.45","        125.65","        120.10","        121.35","        121.00","        122.86","    1059053","           130111605.80","       9809","     664619","         62.76"
"JKTYRE","EQ","03-Mar-2017","        121.00","        120.70","        123.80","        119.70","        123.50","        123.00","        122.00","    1008092","           122983051.15","      18250","     465219","         46.15"
"JKTYRE","EQ","06-Mar-2017","        123.00","        123.50","        126.70","        123.10","        124.25","        124.35","        124.90","     859659","           107368741.30","      11068","     462485","         53.80"
"JKTYRE","EQ","07-Mar-2017","        124.35","        123.40","        123.40","        119.45","        120.00","        119.90","        121.03","    1107713","           134067814.80","      10654","     624250","         56.35"
"JKTYRE","EQ","08-Mar-2017","        119.90","        121.75","        121.75","        116.55","        117.20","        117.20","        118.50","     867070","           102748764.85","       6974","     515863","         59.49"
"JKTYRE","EQ","09-Mar-2017","        117.20","        118.00","        120.20","        116.80","        117.10","        117.40","        118.14","     985788","           116457336.55","      10289","     441004","         44.74"
"JKTYRE","EQ","10-Mar-2017","        117.40","        117.60","        119.10","        116.50","        116.50","        116.90","        117.68","     551424","            64893674.90","       5396","     286256","         51.91"
"JKTYRE","EQ","14-Mar-2017","        116.90","        119.70","        125.00","        118.00","        124.65","        124.10","        122.23","    2877434","           351706598.60","      23427","    1215730","         42.25"
"JKTYRE","EQ","15-Mar-2017","        124.10","        125.00","        131.40","        125.00","        128.25","        128.30","        128.64","    6887133","           885994714.60","      44718","    2252420","         32.70"
"JKTYRE","EQ","16-Mar-2017","        128.30","        129.30","        132.00","        128.30","        128.75","        129.50","        130.58","    2414085","           315234002.55","      24868","    1074660","         44.52"
"JKTYRE","EQ","17-Mar-2017","        129.50","        129.85","        131.30","        125.80","        128.70","        129.45","        128.85","    2498356","           321911699.20","      16196","     761592","         30.48"
"JKTYRE","EQ","20-Mar-2017","        129.45","        134.25","        135.00","        132.00","        132.25","        132.35","        133.21","    3584088","           477443647.80","      25994","    1345530","         37.54"
"JKTYRE","EQ","21-Mar-2017","        132.35","        132.70","        133.70","        129.10","        132.25","        132.60","        131.82","    2490836","           328337010.00","      20434","     577464","         23.18"
"JKTYRE","EQ","22-Mar-2017","        132.60","        131.50","        134.30","        130.25","        131.75","        132.05","        132.70","    2698763","           358122169.45","      20199","     746067","         27.64"
"JKTYRE","EQ","23-Mar-2017","        132.05","        132.55","        135.90","        132.55","        135.15","        135.05","        134.37","    2793873","           375405346.10","      24980","    1025314","         36.70"
"JKTYRE","EQ","24-Mar-2017","        135.05","        135.80","        136.40","        134.10","        134.70","        134.90","        135.17","    1819330","           245921205.60","      13413","     576370","         31.68"
"JKTYRE","EQ","27-Mar-2017","        134.90","        135.60","        137.00","        133.70","        135.20","        135.50","        135.62","    2253269","           305577307.45","      15856","     630725","         27.99"
"JKTYRE","EQ","28-Mar-2017","        135.50","        136.00","        136.45","        129.35","        130.55","        130.70","        132.98","    2160475","           287310747.70","      18453","     871921","         40.36"
"JKTYRE","EQ","29-Mar-2017","        130.70","        130.50","        132.20","        127.35","        130.00","        130.70","        129.71","    3121404","           404871539.85","      24388","     835383","         26.76"
"JKTYRE","EQ","30-Mar-2017","        130.70","        130.25","        131.75","        129.65","        130.25","        130.50","        130.68","    1014524","           132573382.60","      10750","     413382","         40.75"
"JKTYRE","EQ","31-Mar-2017","        130.50","        130.30","        133.20","        129.00","        132.60","        131.95","        131.53","    1674306","           220214890.60","      10907","     749344","         44.76"
