"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JMCPROJECT","EQ","03-Apr-2017","        265.55","        265.55","        270.00","        260.10","        270.00","        264.55","        263.78","      42992","            11340300.95","        787","      36106","         83.98"
"JMCPROJECT","EQ","05-Apr-2017","        264.55","        266.00","        275.80","        261.55","        275.00","        274.40","        271.27","      72598","            19693659.90","       1737","      51934","         71.54"
"JMCPROJECT","EQ","06-Apr-2017","        274.40","        278.00","        280.50","        272.50","        275.00","        276.65","        277.05","      65652","            18189144.40","       1109","      44236","         67.38"
"JMCPROJECT","EQ","07-Apr-2017","        276.65","        270.05","        288.70","        270.05","        281.00","        277.75","        282.36","     108016","            30499374.85","       1740","      64433","         59.65"
"JMCPROJECT","EQ","10-Apr-2017","        277.75","        275.00","        283.15","        275.00","        280.00","        280.20","        280.80","      43462","            12204013.00","        971","      32641","         75.10"
"JMCPROJECT","EQ","11-Apr-2017","        280.20","        283.75","        293.60","        279.90","        289.05","        289.10","        283.67","      71985","            20420216.30","       1058","      54737","         76.04"
"JMCPROJECT","EQ","12-Apr-2017","        289.10","        289.05","        292.00","        281.20","        287.95","        289.75","        286.04","      53362","            15263832.70","        988","      37149","         69.62"
"JMCPROJECT","EQ","13-Apr-2017","        289.75","        290.80","        292.90","        282.95","        287.00","        285.50","        288.30","      26507","             7641921.55","        679","      15808","         59.64"
"JMCPROJECT","EQ","17-Apr-2017","        285.50","        284.00","        298.00","        281.55","        297.50","        294.10","        291.48","      59943","            17472150.75","        936","      44679","         74.54"
"JMCPROJECT","EQ","18-Apr-2017","        294.10","        295.00","        308.70","        291.00","        291.25","        293.00","        299.35","     147139","            44046649.55","       3224","      79947","         54.33"
"JMCPROJECT","EQ","19-Apr-2017","        293.00","        294.15","        307.90","        292.50","        299.50","        301.40","        301.02","      71744","            21596615.40","       2035","      20918","         29.16"
"JMCPROJECT","EQ","20-Apr-2017","        301.40","        307.00","        308.00","        301.00","        306.50","        305.95","        305.79","      44802","            13700032.80","        909","      20597","         45.97"
"JMCPROJECT","EQ","21-Apr-2017","        305.95","        308.50","        311.00","        298.00","        298.05","        300.00","        306.33","      33788","            10350160.55","        571","      19980","         59.13"
"JMCPROJECT","EQ","24-Apr-2017","        300.00","        300.00","        306.85","        284.10","        285.55","        287.15","        295.65","      39538","            11689277.45","        947","      22953","         58.05"
"JMCPROJECT","EQ","25-Apr-2017","        287.15","        292.10","        297.95","        282.00","        283.55","        285.00","        289.34","      34498","             9981728.50","        753","      22405","         64.95"
"JMCPROJECT","EQ","26-Apr-2017","        285.00","        285.10","        290.95","        269.00","        269.90","        271.30","        278.89","      45295","            12632169.05","       1032","      27806","         61.39"
"JMCPROJECT","EQ","27-Apr-2017","        271.30","        270.50","        278.75","        263.60","        269.00","        266.60","        266.75","     159937","            42663739.30","        935","     146967","         91.89"
"JMCPROJECT","EQ","28-Apr-2017","        266.60","        274.00","        275.00","        263.75","        275.00","        270.75","        269.42","      28240","             7608473.95","        629","      14151","         50.11"
