"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JAGRAN","EQ","03-Jul-2017","        183.10","        183.20","        190.60","        181.10","        185.10","        184.90","        185.99","     130425","            24258116.35","       4485","      75563","         57.94"
"JAGRAN","EQ","04-Jul-2017","        184.90","        185.00","        186.00","        183.30","        184.75","        185.40","        185.00","      48695","             9008579.25","       1012","      37098","         76.18"
"JAGRAN","EQ","05-Jul-2017","        185.40","        185.00","        185.00","        183.00","        183.70","        183.75","        183.95","      47222","             8686354.35","        779","      39075","         82.75"
"JAGRAN","EQ","06-Jul-2017","        183.75","        184.00","        184.15","        182.45","        182.50","        182.75","        183.52","      38614","             7086586.60","        502","      34589","         89.58"
"JAGRAN","EQ","07-Jul-2017","        182.75","        182.05","        183.85","        178.00","        178.55","        178.65","        179.83","      81378","            14634457.25","       1219","      69454","         85.35"
"JAGRAN","EQ","10-Jul-2017","        178.65","        178.75","        181.90","        177.00","        177.45","        177.65","        178.39","      10388","             1853111.20","        203","       7663","         73.77"
"JAGRAN","EQ","11-Jul-2017","        177.65","        178.50","        179.00","        177.00","        177.50","        177.40","        177.93","     117493","            20906052.00","        751","     109586","         93.27"
"JAGRAN","EQ","12-Jul-2017","        177.40","        177.15","        179.85","        177.15","        178.95","        178.00","        178.05","     168695","            30035911.00","        840","     160974","         95.42"
"JAGRAN","EQ","13-Jul-2017","        178.00","        178.60","        179.30","        176.65","        177.00","        177.35","        178.01","     292435","            52056778.15","       1003","     275198","         94.11"
"JAGRAN","EQ","14-Jul-2017","        177.35","        177.05","        178.05","        174.10","        174.35","        174.90","        176.44","      87972","            15521473.40","        831","      75146","         85.42"
"JAGRAN","EQ","17-Jul-2017","        174.90","        176.40","        176.50","        173.00","        174.50","        173.90","        174.88","      45964","             8038061.55","       1695","      32481","         70.67"
"JAGRAN","EQ","18-Jul-2017","        173.90","        173.85","        173.85","        171.70","        172.00","        172.00","        172.53","      57564","             9931404.35","        823","      42954","         74.62"
"JAGRAN","EQ","19-Jul-2017","        172.00","        172.90","        173.00","        168.95","        170.30","        170.05","        171.62","     258227","            44315664.80","       2446","     191393","         74.12"
"JAGRAN","EQ","20-Jul-2017","        170.05","        170.50","        174.00","        169.95","        172.60","        173.00","        172.52","      54209","             9352392.70","       2449","      31953","         58.94"
"JAGRAN","EQ","21-Jul-2017","        173.00","        173.75","        175.40","        173.00","        175.35","        174.90","        174.48","      34182","             5964127.05","       1960","      25013","         73.18"
"JAGRAN","EQ","24-Jul-2017","        174.90","        176.00","        176.75","        173.00","        175.00","        174.65","        174.97","      69781","            12209745.05","       2336","      56665","         81.20"
"JAGRAN","EQ","25-Jul-2017","        174.65","        175.00","        175.90","        173.10","        173.30","        173.60","        174.97","     713402","           124825563.70","       3450","     699895","         98.11"
"JAGRAN","EQ","26-Jul-2017","        173.60","        175.00","        175.00","        173.60","        174.90","        174.40","        174.01","     378400","            65846176.65","       2076","     368326","         97.34"
"JAGRAN","EQ","27-Jul-2017","        174.40","        174.85","        176.10","        174.70","        175.10","        175.75","        175.27","      30979","             5429701.05","       1423","      25351","         81.83"
"JAGRAN","EQ","28-Jul-2017","        175.75","        175.10","        178.20","        174.05","        176.50","        176.05","        176.01","      91562","            16115378.20","       1351","      80697","         88.13"
"JAGRAN","EQ","31-Jul-2017","        176.05","        174.75","        176.85","        174.75","        176.10","        176.05","        175.97","      32375","             5696885.10","       1302","      25199","         77.83"
"JAGRAN","EQ","01-Aug-2017","        176.05","        175.10","        184.90","        175.10","        180.60","        181.95","        181.28","     202487","            36706220.60","       4900","      97142","         47.97"
"JAGRAN","EQ","02-Aug-2017","        181.95","        180.50","        182.50","        176.15","        177.50","        177.20","        178.75","      53427","             9550148.75","       1631","      34523","         64.62"
"JAGRAN","EQ","03-Aug-2017","        177.20","        176.00","        179.00","        176.00","        178.80","        178.30","        177.95","      57298","            10196235.10","       1296","      45716","         79.79"
"JAGRAN","EQ","04-Aug-2017","        178.30","        179.65","        179.65","        176.70","        178.85","        178.10","        177.70","      27750","             4931190.95","       1775","      19872","         71.61"
"JAGRAN","EQ","07-Aug-2017","        178.10","        175.00","        183.10","        175.00","        180.85","        180.30","        179.65","      83088","            14926709.50","       2305","      63461","         76.38"
"JAGRAN","EQ","08-Aug-2017","        180.30","        181.90","        183.00","        175.55","        181.90","        179.95","        178.96","     494446","            88484864.65","       5710","     434646","         87.91"
"JAGRAN","EQ","09-Aug-2017","        179.95","        180.00","        187.35","        176.85","        178.90","        178.70","        180.19","     134089","            24161678.10","       2726","      83231","         62.07"
"JAGRAN","EQ","10-Aug-2017","        178.70","        178.00","        178.00","        172.50","        173.50","        174.00","        174.97","      62882","            11002722.25","       2735","      48915","         77.79"
"JAGRAN","EQ","11-Aug-2017","        174.00","        173.00","        173.05","        167.65","        172.05","        172.10","        171.09","     108969","            18643710.40","       4185","      88465","         81.18"
"JAGRAN","EQ","14-Aug-2017","        172.10","        175.00","        175.50","        167.75","        168.75","        168.50","        170.43","     155545","            26509699.35","       3905","     114085","         73.35"
"JAGRAN","EQ","16-Aug-2017","        168.50","        170.00","        175.00","        169.95","        172.50","        172.95","        172.02","      76913","            13230510.95","       2235","      59455","         77.30"
"JAGRAN","EQ","17-Aug-2017","        172.95","        173.00","        177.40","        172.10","        176.00","        176.65","        175.86","      53503","             9409146.80","       1233","      40447","         75.60"
"JAGRAN","EQ","18-Aug-2017","        176.65","        175.55","        175.85","        170.25","        172.20","        172.60","        172.33","      68371","            11782057.80","       1719","      48681","         71.20"
"JAGRAN","EQ","21-Aug-2017","        172.60","        172.90","        174.25","        172.00","        173.00","        173.40","        173.10","      31779","             5500788.75","       1009","      22771","         71.65"
"JAGRAN","EQ","22-Aug-2017","        173.40","        172.00","        177.00","        172.00","        176.50","        176.30","        174.99","      46777","             8185516.90","       1024","      35220","         75.29"
"JAGRAN","EQ","23-Aug-2017","        176.30","        177.00","        177.00","        173.55","        174.55","        175.80","        175.48","      30006","             5265306.15","        964","      21458","         71.51"
"JAGRAN","EQ","24-Aug-2017","        175.80","        177.50","        184.20","        173.05","        173.20","        173.50","        174.72","    1359337","           237499144.65","       4726","    1127878","         82.97"
"JAGRAN","EQ","28-Aug-2017","        173.50","        174.95","        174.95","        171.25","        173.70","        173.85","        173.40","     182380","            31624950.95","       3648","      82062","         45.00"
"JAGRAN","EQ","29-Aug-2017","        173.85","        171.40","        174.25","        170.20","        170.50","        171.30","        172.95","    1085864","           187797422.45","       1959","    1054277","         97.09"
"JAGRAN","EQ","30-Aug-2017","        171.30","        171.60","        175.00","        171.50","        173.20","        173.00","        173.00","    6897123","          1193208474.65","       2162","    6864233","         99.52"
"JAGRAN","EQ","31-Aug-2017","        173.00","        175.25","        179.35","        175.25","        178.65","        178.50","        177.79","     116017","            20626470.25","       2021","      61557","         53.06"
"JAGRAN","EQ","01-Sep-2017","        178.50","        179.00","        181.30","        175.65","        180.05","        180.00","        178.49","      78798","            14064475.10","       1240","      60370","         76.61"
"JAGRAN","EQ","04-Sep-2017","        180.00","        181.00","        181.30","        175.50","        177.90","        177.35","        178.34","      53418","             9526307.15","       1152","      39554","         74.05"
"JAGRAN","EQ","05-Sep-2017","        177.35","        179.80","        179.80","        175.10","        176.20","        176.10","        176.52","      33846","             5974490.10","        930","      21044","         62.18"
"JAGRAN","EQ","06-Sep-2017","        176.10","        175.50","        176.40","        174.50","        174.80","        175.25","        175.36","      30347","             5321685.60","       1020","      15901","         52.40"
"JAGRAN","EQ","07-Sep-2017","        175.25","        176.00","        177.35","        174.70","        175.05","        175.45","        175.18","      96848","            16966132.65","       1755","      81310","         83.96"
"JAGRAN","EQ","08-Sep-2017","        175.45","        175.00","        177.20","        174.50","        175.10","        175.90","        175.37","      40308","             7068626.25","       1124","      27545","         68.34"
"JAGRAN","EQ","11-Sep-2017","        175.90","        176.50","        179.80","        175.20","        177.00","        177.10","        177.42","      74851","            13280339.05","       3062","      43291","         57.84"
"JAGRAN","EQ","12-Sep-2017","        177.10","        177.05","        179.30","        176.85","        178.00","        178.55","        177.88","      53285","             9478483.60","       2024","      42779","         80.28"
"JAGRAN","EQ","13-Sep-2017","        178.55","        178.80","        179.80","        178.00","        179.00","        179.15","        178.85","      48642","             8699586.20","       1336","      39179","         80.55"
"JAGRAN","EQ","14-Sep-2017","        179.15","        179.45","        182.70","        178.80","        181.00","        181.05","        181.05","      46877","             8487059.10","       1601","      36794","         78.49"
"JAGRAN","EQ","15-Sep-2017","        181.05","        180.20","        184.50","        178.15","        182.00","        183.65","        182.04","     196568","            35782832.65","       3003","     165924","         84.41"
"JAGRAN","EQ","18-Sep-2017","        183.65","        181.10","        187.00","        181.10","        185.50","        185.70","        184.63","     126947","            23438078.05","       3099","      85014","         66.97"
"JAGRAN","EQ","19-Sep-2017","        185.70","        184.95","        186.00","        182.00","        184.00","        184.20","        183.79","      43851","             8059495.80","       1159","      27964","         63.77"
