"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JINDRILL","EQ","03-Apr-2017","        166.05","        167.25","        168.80","        163.70","        164.00","        164.60","        166.45","     116514","            19393316.90","       1409","      75259","         64.59"
"JINDRILL","EQ","05-Apr-2017","        164.60","        166.40","        169.75","        165.45","        168.00","        167.15","        167.78","     184421","            30941259.10","       2027","     100061","         54.26"
"JINDRILL","EQ","06-Apr-2017","        167.15","        167.05","        171.90","        167.00","        170.85","        170.15","        169.50","      91714","            15545593.85","       1510","      43409","         47.33"
"JINDRILL","EQ","07-Apr-2017","        170.15","        171.00","        179.80","        170.00","        173.90","        173.15","        174.96","     262141","            45863736.40","       3813","     118953","         45.38"
"JINDRILL","EQ","10-Apr-2017","        173.15","        178.00","        179.00","        174.20","        174.65","        174.40","        175.84","      95514","            16795102.30","       1203","      51889","         54.33"
"JINDRILL","EQ","11-Apr-2017","        174.40","        175.00","        178.00","        173.60","        175.00","        174.40","        175.72","      71412","            12548592.60","       1202","      42679","         59.76"
"JINDRILL","EQ","12-Apr-2017","        174.40","        176.70","        176.90","        170.75","        172.25","        172.00","        172.80","      79388","            13718432.25","        967","      51295","         64.61"
"JINDRILL","EQ","13-Apr-2017","        172.00","        178.25","        189.60","        177.20","        179.45","        179.65","        183.89","    1054376","           193893927.60","      15741","     252242","         23.92"
"JINDRILL","EQ","17-Apr-2017","        179.65","        181.20","        184.55","        177.70","        179.90","        179.20","        181.09","     126444","            22897825.45","       1975","      57264","         45.29"
"JINDRILL","EQ","18-Apr-2017","        179.20","        179.05","        182.60","        172.30","        173.00","        173.10","        178.57","      81729","            14594240.50","       1115","      50479","         61.76"
"JINDRILL","EQ","19-Apr-2017","        173.10","        174.90","        176.25","        170.50","        173.60","        173.30","        173.29","      58720","            10175801.75","       1294","      22818","         38.86"
"JINDRILL","EQ","20-Apr-2017","        173.30","        173.15","        176.00","        173.10","        173.30","        173.55","        174.21","      37010","             6447398.35","        602","      19457","         52.57"
"JINDRILL","EQ","21-Apr-2017","        173.55","        174.00","        179.00","        174.00","        174.95","        174.60","        176.14","      91027","            16033841.10","       1124","      38763","         42.58"
"JINDRILL","EQ","24-Apr-2017","        174.60","        176.00","        177.40","        173.70","        174.00","        174.35","        174.95","      70645","            12359456.60","        558","      55925","         79.16"
