"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JINDWORLD","EQ","03-Apr-2017","        259.45","        265.00","        272.40","        247.05","        272.40","        272.40","        262.46","      12518","             3285473.30","        238","       3662","         29.25"
"JINDWORLD","EQ","05-Apr-2017","        272.40","        274.00","        286.00","        274.00","        286.00","        286.00","        283.18","       4618","             1307710.60","        128","       3401","         73.65"
"JINDWORLD","EQ","06-Apr-2017","        286.00","        292.00","        300.30","        289.00","        300.30","        300.30","        297.31","       8761","             2604715.80","        147","       5715","         65.23"
"JINDWORLD","EQ","07-Apr-2017","        300.30","        315.30","        315.30","        310.30","        315.30","        315.30","        315.16","      10757","             3390189.10","        123","       6520","         60.61"
"JINDWORLD","EQ","10-Apr-2017","        315.30","        327.00","        378.35","        327.00","        378.35","        378.35","        364.48","      50623","            18450902.40","       1808","      22633","         44.71"
"JINDWORLD","EQ","11-Apr-2017","        378.35","        412.90","        454.00","        412.90","        454.00","        454.00","        437.32","     215517","            94249131.10","       7932","      37289","         17.30"
"JINDWORLD","EQ","12-Apr-2017","        454.00","        475.70","        487.00","        436.60","        446.75","        447.80","        461.17","     242930","           112031654.20","      10199","      45147","         18.58"
"JINDWORLD","EQ","13-Apr-2017","        447.80","        448.90","        452.00","        414.00","        423.80","        424.55","        431.38","      42550","            18355103.35","       2051","       8836","         20.77"
"JINDWORLD","EQ","17-Apr-2017","        424.55","        427.00","        440.00","        406.00","        409.95","        411.25","        418.85","      16811","             7041342.30","       1067","       6910","         41.10"
"JINDWORLD","EQ","18-Apr-2017","        411.25","        408.10","        418.75","        375.60","        382.00","        379.80","        395.69","      16367","             6476186.25","        889","       7807","         47.70"
"JINDWORLD","EQ","19-Apr-2017","        379.80","        385.80","        389.90","        360.30","        362.50","        363.10","        370.34","      14048","             5202537.80","        836","       6346","         45.17"
"JINDWORLD","EQ","20-Apr-2017","        363.10","        362.50","        399.40","        355.15","        399.40","        399.40","        387.73","      15191","             5890004.35","        470","       9450","         62.21"
"JINDWORLD","EQ","21-Apr-2017","        399.40","        434.00","        438.00","        402.30","        409.00","        410.80","        425.41","      38813","            16511574.55","       1599","      15424","         39.74"
"JINDWORLD","EQ","24-Apr-2017","        410.80","        415.00","        435.00","        406.00","        409.00","        411.45","        417.52","      10237","             4274162.65","        509","       5477","         53.50"
"JINDWORLD","EQ","25-Apr-2017","        411.45","        419.00","        419.00","        390.10","        399.00","        396.95","        403.88","       7314","             2953991.20","        451","       3602","         49.25"
"JINDWORLD","EQ","26-Apr-2017","        396.95","        407.50","        423.10","        385.60","        402.30","        404.50","        405.20","      19801","             8023369.95","       1245","       5046","         25.48"
"JINDWORLD","EQ","27-Apr-2017","        404.50","        409.95","        419.00","        400.10","        418.00","        413.05","        409.84","      10035","             4112770.00","        674","       3426","         34.14"
"JINDWORLD","EQ","28-Apr-2017","        413.05","        403.00","        413.00","        402.05","        402.05","        404.05","        406.06","       3384","             1374105.55","        237","       2212","         65.37"
"JINDWORLD","EQ","02-May-2017","        404.05","        406.00","        416.00","        395.00","        395.25","        397.70","        401.60","       2050","              823270.25","        251","        789","         38.49"
"JINDWORLD","EQ","03-May-2017","        397.70","        398.20","        398.20","        385.00","        387.80","        386.70","        390.68","       2770","             1082194.45","        238","       1743","         62.92"
"JINDWORLD","EQ","04-May-2017","        386.70","        382.75","        425.35","        382.00","        425.35","        425.35","        418.07","      25610","            10706682.20","        791","      10198","         39.82"
"JINDWORLD","EQ","05-May-2017","        425.35","        435.30","        459.80","        412.60","        412.60","        424.55","        443.20","      58422","            25892659.35","       3078","      15788","         27.02"
"JINDWORLD","EQ","08-May-2017","        424.55","        423.00","        437.90","        413.60","        415.00","        419.25","        427.61","       6615","             2828663.65","        446","       1558","         23.55"
"JINDWORLD","EQ","09-May-2017","        419.25","        416.05","        423.95","        405.25","        415.00","        411.50","        414.31","       2123","              879579.65","        287","        940","         44.28"
"JINDWORLD","EQ","10-May-2017","        411.50","        415.00","        441.00","        406.60","        425.00","        423.20","        429.62","      10177","             4372219.00","        621","       4074","         40.03"
"JINDWORLD","EQ","11-May-2017","        423.20","        423.00","        423.00","        409.10","        417.50","        411.60","        413.85","       2607","             1078913.35","        299","       1544","         59.23"
"JINDWORLD","EQ","12-May-2017","        411.60","        411.60","        430.00","        400.05","        410.00","        408.10","        411.83","       3515","             1447597.85","        315","       1278","         36.36"
"JINDWORLD","EQ","15-May-2017","        408.10","        405.05","        414.95","        402.95","        404.15","        405.65","        406.77","       2015","              819633.65","        237","        778","         38.61"
"JINDWORLD","EQ","16-May-2017","        405.65","        405.10","        446.20","        404.50","        446.20","        446.20","        440.82","      35260","            15543377.40","       1046","      12675","         35.95"
"JINDWORLD","EQ","17-May-2017","        446.20","        456.95","        458.00","        414.00","        416.50","        416.50","        437.77","      25709","            11254648.15","       1299","      10349","         40.25"
"JINDWORLD","EQ","18-May-2017","        416.50","        414.80","        419.55","        385.50","        392.10","        392.25","        405.01","       8729","             3535362.55","        476","       4054","         46.44"
"JINDWORLD","EQ","19-May-2017","        392.25","        400.00","        424.40","        397.30","        402.50","        401.75","        411.72","      14716","             6058830.05","        882","       5466","         37.14"
"JINDWORLD","EQ","22-May-2017","        401.75","        412.00","        412.00","        393.65","        397.00","        399.50","        403.16","       3490","             1407021.40","        284","       1464","         41.95"
"JINDWORLD","EQ","23-May-2017","        399.50","        393.25","        393.25","        361.00","        380.10","        384.60","        379.66","      15344","             5825470.30","        474","       1763","         11.49"
"JINDWORLD","EQ","24-May-2017","        384.60","        393.00","        407.00","        384.00","        397.00","        389.75","        392.91","       3872","             1521343.05","        304","       1572","         40.60"
"JINDWORLD","EQ","25-May-2017","        389.75","        389.90","        399.95","        386.00","        389.10","        389.35","        390.81","       2162","              844930.35","        189","        823","         38.07"
"JINDWORLD","EQ","26-May-2017","        389.35","        397.50","        414.00","        388.60","        404.00","        403.70","        402.91","       5187","             2089885.65","        419","       2482","         47.85"
"JINDWORLD","EQ","29-May-2017","        403.70","        408.70","        408.70","        390.00","        400.00","        397.35","        399.25","       2185","              872368.55","        199","       1326","         60.69"
