"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JCHAC","EQ","03-Apr-2017","       1811.30","       1811.25","       1831.45","       1801.25","       1807.00","       1820.65","       1821.41","      12572","            22898785.25","       1300","       9062","         72.08"
"JCHAC","EQ","05-Apr-2017","       1820.65","       1828.00","       1849.00","       1805.00","       1805.00","       1819.50","       1821.66","      16638","            30308747.70","       1699","      13190","         79.28"
"JCHAC","EQ","06-Apr-2017","       1819.50","       1818.00","       1836.00","       1775.00","       1793.00","       1798.00","       1801.03","       5411","             9745387.75","       1142","       2282","         42.17"
"JCHAC","EQ","07-Apr-2017","       1798.00","       1790.00","       1819.90","       1780.00","       1810.00","       1796.55","       1797.04","      18297","            32880369.50","       1137","       3099","         16.94"
"JCHAC","EQ","10-Apr-2017","       1796.55","       1802.05","       1879.00","       1792.55","       1850.00","       1851.65","       1845.82","      12822","            23667141.50","       1714","       6842","         53.36"
"JCHAC","EQ","11-Apr-2017","       1851.65","       1867.90","       1880.00","       1845.00","       1875.00","       1872.85","       1866.86","       5950","            11107842.45","        920","       3198","         53.75"
"JCHAC","EQ","12-Apr-2017","       1872.85","       1870.00","       1889.95","       1823.60","       1855.00","       1856.80","       1855.13","      15176","            28153484.00","        819","      12007","         79.12"
"JCHAC","EQ","13-Apr-2017","       1856.80","       1836.05","       1880.00","       1836.05","       1875.00","       1868.75","       1865.00","       3549","             6618892.10","        622","       2132","         60.07"
"JCHAC","EQ","17-Apr-2017","       1868.75","       1845.20","       1865.00","       1797.05","       1813.95","       1810.45","       1832.50","       8573","            15710008.15","       1320","       4697","         54.79"
"JCHAC","EQ","18-Apr-2017","       1810.45","       1843.95","       1844.00","       1795.00","       1795.00","       1813.20","       1817.65","       4957","             9010113.80","        663","       2590","         52.25"
"JCHAC","EQ","19-Apr-2017","       1813.20","       1810.00","       1820.00","       1792.00","       1808.00","       1812.45","       1811.29","       4361","             7899038.50","        895","       2285","         52.40"
"JCHAC","EQ","20-Apr-2017","       1812.45","       1824.00","       1826.85","       1773.00","       1773.00","       1784.00","       1795.64","       4803","             8624462.45","        872","       2705","         56.32"
"JCHAC","EQ","21-Apr-2017","       1784.00","       1770.10","       1819.00","       1752.50","       1799.95","       1797.05","       1791.99","      11350","            20339084.90","       2411","       6263","         55.18"
"JCHAC","EQ","24-Apr-2017","       1797.05","       1775.00","       1819.00","       1775.00","       1788.00","       1790.10","       1791.86","       5052","             9052454.20","        869","       2830","         56.02"
"JCHAC","EQ","25-Apr-2017","       1790.10","       1799.00","       1809.00","       1788.05","       1805.00","       1804.00","       1802.87","      24785","            44684085.40","       1542","      21134","         85.27"
"JCHAC","EQ","26-Apr-2017","       1804.00","       1792.55","       1800.00","       1764.00","       1800.00","       1788.80","       1787.05","       7803","            13944352.50","        710","       4539","         58.17"
"JCHAC","EQ","27-Apr-2017","       1788.80","       1784.05","       1795.45","       1760.00","       1761.00","       1769.05","       1771.42","       3105","             5500267.15","        517","       1848","         59.52"
"JCHAC","EQ","28-Apr-2017","       1769.05","       1770.00","       1812.00","       1745.05","       1797.00","       1795.40","       1782.57","       7863","            14016332.35","       1289","       3700","         47.06"
"JCHAC","EQ","02-May-2017","       1795.40","       1800.00","       1818.55","       1758.10","       1775.00","       1778.05","       1789.73","      16793","            30054983.15","       1662","      12111","         72.12"
"JCHAC","EQ","03-May-2017","       1778.05","       1789.00","       1799.70","       1769.20","       1793.90","       1781.95","       1785.03","       4669","             8334302.60","       1126","       2325","         49.80"
"JCHAC","EQ","04-May-2017","       1781.95","       1788.65","       1799.00","       1771.00","       1780.00","       1779.30","       1779.32","       7215","            12837807.15","        491","       6431","         89.13"
