"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JUBLFOOD","EQ","03-Jul-2017","        946.40","        946.40","       1006.85","        946.40","       1006.00","        999.25","        984.95","    1016369","          1001075847.10","      29622","     245785","         24.18"
"JUBLFOOD","EQ","04-Jul-2017","        999.25","       1012.00","       1044.00","       1012.00","       1025.00","       1025.45","       1032.80","    1289457","          1331745337.25","      49531","     203516","         15.78"
"JUBLFOOD","EQ","05-Jul-2017","       1025.45","       1031.70","       1057.00","       1028.05","       1048.05","       1048.95","       1043.43","     550836","           574759859.30","      17081","     110064","         19.98"
"JUBLFOOD","EQ","06-Jul-2017","       1048.95","       1045.80","       1091.40","       1039.20","       1080.00","       1077.85","       1073.73","     876216","           940821133.65","      27664","     140650","         16.05"
"JUBLFOOD","EQ","07-Jul-2017","       1077.85","       1077.00","       1102.00","       1065.30","       1100.10","       1093.35","       1090.96","     683694","           745885941.00","      18412","      95515","         13.97"
"JUBLFOOD","EQ","10-Jul-2017","       1093.35","       1134.00","       1134.00","       1099.90","       1115.00","       1112.00","       1111.31","     129919","           144380289.10","       5133","      22435","         17.27"
"JUBLFOOD","EQ","11-Jul-2017","       1112.00","       1115.00","       1126.20","       1085.10","       1093.10","       1090.75","       1100.60","     409566","           450770245.20","      12933","      60743","         14.83"
"JUBLFOOD","EQ","12-Jul-2017","       1090.75","       1093.10","       1114.00","       1090.05","       1103.20","       1106.10","       1102.12","     320543","           353277039.30","       9308","      43191","         13.47"
"JUBLFOOD","EQ","13-Jul-2017","       1106.10","       1110.10","       1118.60","       1095.30","       1117.90","       1111.50","       1106.72","     278018","           307687741.60","      12283","      60341","         21.70"
"JUBLFOOD","EQ","14-Jul-2017","       1111.50","       1115.35","       1178.50","       1105.00","       1168.65","       1164.60","       1155.30","    1579818","          1825163863.00","      45916","     377304","         23.88"
"JUBLFOOD","EQ","17-Jul-2017","       1164.60","       1187.00","       1285.90","       1161.00","       1269.00","       1272.70","       1223.24","    6933168","          8480935248.80","     188338","     444273","          6.41"
"JUBLFOOD","EQ","18-Jul-2017","       1272.70","       1265.10","       1334.95","       1247.35","       1322.00","       1325.10","       1312.75","    5504940","          7226606536.30","     137752","     696183","         12.65"
"JUBLFOOD","EQ","19-Jul-2017","       1325.10","       1323.10","       1329.05","       1282.55","       1288.95","       1290.00","       1293.74","    1888442","          2443145017.40","      53320","     408242","         21.62"
"JUBLFOOD","EQ","20-Jul-2017","       1290.00","       1290.00","       1318.90","       1286.95","       1298.70","       1298.10","       1303.17","    1003031","          1307116305.25","      26837","      95953","          9.57"
"JUBLFOOD","EQ","21-Jul-2017","       1298.10","       1300.00","       1309.45","       1237.50","       1250.25","       1254.00","       1264.28","    1135921","          1436123267.75","      30915","     136171","         11.99"
"JUBLFOOD","EQ","24-Jul-2017","       1254.00","       1252.00","       1266.65","       1233.25","       1251.95","       1252.20","       1249.87","     708924","           886061970.70","      19291","      70314","          9.92"
"JUBLFOOD","EQ","25-Jul-2017","       1252.20","       1250.00","       1308.00","       1235.30","       1295.90","       1296.35","       1281.34","    1587139","          2033671192.30","      44968","     148577","          9.36"
"JUBLFOOD","EQ","26-Jul-2017","       1296.35","       1302.25","       1312.40","       1270.80","       1277.00","       1282.85","       1295.13","    1266049","          1639693749.25","      39680","     188110","         14.86"
"JUBLFOOD","EQ","27-Jul-2017","       1282.85","       1283.00","       1298.70","       1268.10","       1287.90","       1278.45","       1281.20","     872533","          1117891365.75","      30444","     236799","         27.14"
"JUBLFOOD","EQ","28-Jul-2017","       1278.45","       1281.95","       1318.00","       1260.00","       1313.00","       1312.60","       1297.88","    1067103","          1384975303.10","      28488","     138257","         12.96"
"JUBLFOOD","EQ","31-Jul-2017","       1312.60","       1322.00","       1338.00","       1304.50","       1310.00","       1317.75","       1322.10","    1182849","          1563848709.40","      36589","     238904","         20.20"
"JUBLFOOD","EQ","01-Aug-2017","       1317.75","       1307.60","       1321.25","       1283.80","       1293.00","       1293.95","       1301.52","     563946","           733989347.30","      16853","      57357","         10.17"
"JUBLFOOD","EQ","02-Aug-2017","       1293.95","       1280.20","       1306.00","       1269.65","       1280.00","       1280.75","       1290.43","     662368","           854736351.30","      19495","      68576","         10.35"
"JUBLFOOD","EQ","03-Aug-2017","       1280.75","       1286.00","       1293.90","       1250.00","       1250.60","       1254.80","       1269.00","     541181","           686759611.90","      14982","      59417","         10.98"
"JUBLFOOD","EQ","04-Aug-2017","       1254.80","       1256.00","       1286.00","       1246.80","       1279.95","       1279.30","       1265.86","     789359","           999217861.35","      25369","     138925","         17.60"
"JUBLFOOD","EQ","07-Aug-2017","       1279.30","       1270.10","       1286.00","       1258.00","       1265.00","       1264.55","       1269.34","     352060","           446883928.10","      11858","      55029","         15.63"
"JUBLFOOD","EQ","08-Aug-2017","       1264.55","       1275.20","       1345.00","       1255.00","       1337.20","       1330.80","       1302.66","    1674075","          2180743309.40","      50507","     196015","         11.71"
"JUBLFOOD","EQ","09-Aug-2017","       1330.80","       1342.00","       1355.75","       1283.25","       1297.00","       1299.20","       1325.17","    1763170","          2336496629.00","      47613","     345045","         19.57"
"JUBLFOOD","EQ","10-Aug-2017","       1299.20","       1298.00","       1352.40","       1267.20","       1320.00","       1317.95","       1323.71","    1926331","          2549898455.70","      53522","     371359","         19.28"
"JUBLFOOD","EQ","11-Aug-2017","       1317.95","       1289.00","       1336.20","       1269.95","       1298.00","       1296.60","       1303.81","    1223225","          1594854510.85","      35874","     132935","         10.87"
"JUBLFOOD","EQ","14-Aug-2017","       1296.60","       1305.00","       1380.00","       1305.00","       1379.90","       1370.70","       1350.44","    1253203","          1692378323.75","      41022","     198866","         15.87"
"JUBLFOOD","EQ","16-Aug-2017","       1370.70","       1409.00","       1444.75","       1382.65","       1385.95","       1392.90","       1411.65","    2174134","          3069125145.20","      65805","     295935","         13.61"
"JUBLFOOD","EQ","17-Aug-2017","       1392.90","       1408.00","       1424.50","       1386.00","       1399.05","       1399.40","       1406.79","    1254835","          1765287261.20","      36872","     162126","         12.92"
"JUBLFOOD","EQ","18-Aug-2017","       1399.40","       1390.00","       1410.95","       1379.00","       1395.00","       1394.55","       1394.74","     736471","          1027183705.00","      22279","      52220","          7.09"
"JUBLFOOD","EQ","21-Aug-2017","       1394.55","       1403.80","       1432.75","       1372.00","       1376.15","       1383.60","       1410.54","    1008859","          1423033286.55","      27688","      81304","          8.06"
"JUBLFOOD","EQ","22-Aug-2017","       1383.60","       1410.00","       1410.05","       1352.50","       1359.10","       1357.10","       1382.09","     993348","          1372895271.80","      28366","      79862","          8.04"
"JUBLFOOD","EQ","23-Aug-2017","       1357.10","       1369.00","       1387.65","       1354.00","       1383.00","       1380.30","       1369.82","     665029","           910970246.40","      18414","      46950","          7.06"
"JUBLFOOD","EQ","24-Aug-2017","       1380.30","       1388.00","       1406.00","       1372.05","       1389.65","       1393.55","       1392.81","     730350","          1017236349.45","      20843","      96493","         13.21"
"JUBLFOOD","EQ","28-Aug-2017","       1393.55","       1392.00","       1404.00","       1376.10","       1381.45","       1382.50","       1389.50","     580508","           806617469.90","      18667","     182807","         31.49"
"JUBLFOOD","EQ","29-Aug-2017","       1382.50","       1388.85","       1388.85","       1337.45","       1343.40","       1344.85","       1359.73","     658811","           895802886.70","      22614","     186550","         28.32"
"JUBLFOOD","EQ","30-Aug-2017","       1344.85","       1360.00","       1397.75","       1355.00","       1370.00","       1366.05","       1374.25","    1157869","          1591204096.05","      45994","     278466","         24.05"
"JUBLFOOD","EQ","31-Aug-2017","       1366.05","       1379.75","       1405.00","       1356.35","       1403.15","       1394.50","       1378.99","     765404","          1055482625.60","      20533","     171762","         22.44"
"JUBLFOOD","EQ","01-Sep-2017","       1394.50","       1395.35","       1425.00","       1395.05","       1400.00","       1403.10","       1410.77","     749515","          1057393421.00","      21662","     116192","         15.50"
"JUBLFOOD","EQ","04-Sep-2017","       1403.10","       1397.30","       1398.00","       1365.05","       1380.85","       1379.90","       1381.31","     562943","           777598606.90","      22947","      83647","         14.86"
"JUBLFOOD","EQ","05-Sep-2017","       1379.90","       1395.00","       1397.85","       1370.10","       1382.00","       1378.85","       1382.96","     437298","           604764277.30","      12633","      38842","          8.88"
"JUBLFOOD","EQ","06-Sep-2017","       1378.85","       1380.00","       1405.00","       1370.05","       1393.00","       1391.30","       1390.73","     592148","           823518859.00","      21284","      69440","         11.73"
"JUBLFOOD","EQ","07-Sep-2017","       1391.30","       1392.10","       1407.40","       1384.15","       1390.10","       1389.00","       1394.46","     361510","           504111959.45","      10434","      53221","         14.72"
"JUBLFOOD","EQ","08-Sep-2017","       1389.00","       1398.10","       1404.00","       1377.25","       1387.00","       1384.50","       1389.34","     468209","           650501705.50","      12788","      62229","         13.29"
"JUBLFOOD","EQ","11-Sep-2017","       1384.50","       1394.00","       1464.00","       1385.00","       1463.60","       1452.00","       1423.85","    1423607","          2027002500.85","      43292","     195373","         13.72"
"JUBLFOOD","EQ","12-Sep-2017","       1452.00","       1470.95","       1475.45","       1420.05","       1424.85","       1424.80","       1439.32","    1593399","          2293412220.80","      41542","     368060","         23.10"
"JUBLFOOD","EQ","13-Sep-2017","       1424.80","       1420.00","       1421.00","       1305.05","       1338.00","       1323.35","       1358.03","    2391392","          3247588930.05","      70371","     405954","         16.98"
"JUBLFOOD","EQ","14-Sep-2017","       1323.35","       1355.10","       1383.90","       1342.65","       1377.20","       1373.45","       1366.86","    3000789","          4101644741.65","      87027","     323551","         10.78"
"JUBLFOOD","EQ","15-Sep-2017","       1373.45","       1351.10","       1370.00","       1345.60","       1359.35","       1359.15","       1357.44","     709529","           963142810.70","      27958","     100372","         14.15"
