"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JYOTHYLAB","EQ","03-Apr-2017","        352.65","        352.80","        352.80","        342.50","        343.00","        343.70","        345.88","      74434","            25745040.50","       1800","      54866","         73.71"
"JYOTHYLAB","EQ","05-Apr-2017","        343.70","        343.70","        347.50","        341.10","        342.25","        342.10","        344.28","      33934","            11682705.05","       1494","      22088","         65.09"
"JYOTHYLAB","EQ","06-Apr-2017","        342.10","        342.90","        351.50","        340.45","        351.25","        349.85","        346.18","      51494","            17826209.90","       1479","      35082","         68.13"
"JYOTHYLAB","EQ","07-Apr-2017","        349.85","        350.00","        350.80","        337.00","        338.50","        340.15","        348.47","     275224","            95906259.30","       2448","     242174","         87.99"
"JYOTHYLAB","EQ","10-Apr-2017","        340.15","        342.80","        345.40","        341.00","        342.90","        342.70","        343.56","     172761","            59352993.10","       2548","     158001","         91.46"
"JYOTHYLAB","EQ","11-Apr-2017","        342.70","        342.05","        368.00","        341.90","        362.00","        362.00","        354.76","     283678","           100638189.85","       6893","     181046","         63.82"
"JYOTHYLAB","EQ","12-Apr-2017","        362.00","        363.95","        368.00","        356.10","        357.80","        357.60","        361.36","      91454","            33047474.45","       3263","      55513","         60.70"
"JYOTHYLAB","EQ","13-Apr-2017","        357.60","        355.00","        371.00","        355.00","        370.00","        370.15","        366.91","     105402","            38673467.05","       3812","      68271","         64.77"
"JYOTHYLAB","EQ","17-Apr-2017","        370.15","        376.20","        427.00","        375.95","        399.50","        399.05","        406.48","     959616","           390064661.95","      28306","     246932","         25.73"
"JYOTHYLAB","EQ","18-Apr-2017","        399.05","        402.10","        416.00","        389.50","        392.70","        391.40","        404.16","     195113","            78855927.05","       5361","      74670","         38.27"
"JYOTHYLAB","EQ","19-Apr-2017","        391.40","        390.00","        399.80","        380.10","        385.15","        388.15","        389.10","      69039","            26862836.60","       3289","      24555","         35.57"
"JYOTHYLAB","EQ","20-Apr-2017","        388.15","        388.15","        401.95","        388.15","        394.00","        394.35","        394.44","      67973","            26811268.95","       3048","      26973","         39.68"
"JYOTHYLAB","EQ","21-Apr-2017","        394.35","        395.00","        401.90","        378.10","        396.60","        395.45","        390.28","     183655","            71677506.25","       6027","     100754","         54.86"
"JYOTHYLAB","EQ","24-Apr-2017","        395.45","        396.50","        398.40","        383.50","        390.05","        391.90","        390.88","      65453","            25584112.00","       3855","      34132","         52.15"
"JYOTHYLAB","EQ","25-Apr-2017","        391.90","        392.80","        403.00","        386.50","        395.60","        398.65","        396.95","      72017","            28587264.65","       3219","      24107","         33.47"
"JYOTHYLAB","EQ","26-Apr-2017","        398.65","        397.30","        422.20","        394.10","        412.00","        411.80","        410.34","     281201","           115389304.40","       9586","     137195","         48.79"
"JYOTHYLAB","EQ","27-Apr-2017","        411.80","        414.95","        424.95","        408.15","        410.00","        412.60","        416.31","     164777","            68598969.85","       3895","     117341","         71.21"
"JYOTHYLAB","EQ","28-Apr-2017","        412.60","        412.00","        414.75","        392.35","        398.10","        400.00","        401.19","      73376","            29438028.85","       3262","      35479","         48.35"
"JYOTHYLAB","EQ","02-May-2017","        400.00","        401.00","        404.05","        389.50","        390.70","        392.20","        393.06","      41912","            16474045.60","       1792","      22058","         52.63"
"JYOTHYLAB","EQ","03-May-2017","        392.20","        392.20","        392.20","        375.05","        375.15","        376.15","        382.16","     100312","            38335439.00","       5631","      64464","         64.26"
"JYOTHYLAB","EQ","04-May-2017","        376.15","        379.55","        387.90","        375.25","        381.00","        380.20","        381.30","      54835","            20908503.10","       3236","      33875","         61.78"
"JYOTHYLAB","EQ","05-May-2017","        380.20","        380.20","        383.25","        375.00","        376.70","        377.00","        378.57","      89063","            33716828.20","       3020","      70634","         79.31"
"JYOTHYLAB","EQ","08-May-2017","        377.00","        379.90","        379.90","        369.05","        371.00","        370.70","        370.79","     709229","           262974296.30","       5620","     569098","         80.24"
"JYOTHYLAB","EQ","09-May-2017","        370.70","        374.00","        378.00","        369.65","        370.55","        371.25","        371.17","     557498","           206928368.00","       2281","     529932","         95.06"
"JYOTHYLAB","EQ","10-May-2017","        371.25","        374.00","        384.30","        372.85","        376.20","        378.15","        379.76","     111946","            42512169.80","       5898","      55716","         49.77"
"JYOTHYLAB","EQ","11-May-2017","        378.15","        375.05","        381.80","        375.05","        377.00","        377.70","        378.62","      24726","             9361860.15","       1157","      13573","         54.89"
"JYOTHYLAB","EQ","12-May-2017","        377.70","        377.65","        381.95","        365.00","        367.00","        366.85","        373.77","     107876","            40321245.10","       6806","      68529","         63.53"
"JYOTHYLAB","EQ","15-May-2017","        366.85","        367.10","        392.00","        367.10","        389.80","        384.90","        377.75","      91255","            34471552.55","       3846","      55349","         60.65"
"JYOTHYLAB","EQ","16-May-2017","        384.90","        387.00","        387.95","        376.10","        377.30","        377.70","        379.60","      32768","            12438571.85","       2215","      19478","         59.44"
"JYOTHYLAB","EQ","17-May-2017","        377.70","        381.80","        383.80","        375.30","        379.00","        382.00","        378.92","      39964","            15143241.50","       1698","      20705","         51.81"
"JYOTHYLAB","EQ","18-May-2017","        382.00","        378.00","        397.95","        374.10","        375.50","        377.15","        385.87","     197453","            76191064.10","       5820","      58094","         29.42"
"JYOTHYLAB","EQ","19-May-2017","        377.15","        381.00","        388.00","        370.00","        371.40","        372.95","        378.14","      90123","            34079204.35","       3251","      33581","         37.26"
