"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KCP","EQ","03-Apr-2017","        103.70","        104.55","        108.70","        104.55","        107.90","        107.60","        107.33","     965723","           103647436.75","       8141","     653131","         67.63"
"KCP","EQ","05-Apr-2017","        107.60","        108.10","        121.30","        106.70","        120.25","        117.00","        114.27","    3144887","           359379998.95","      13254","    1752222","         55.72"
"KCP","EQ","06-Apr-2017","        117.00","        119.90","        123.00","        116.70","        118.00","        118.60","        119.10","    1114014","           132673961.85","       7523","     580336","         52.09"
"KCP","EQ","07-Apr-2017","        118.60","        117.00","        124.75","        115.00","        119.60","        119.20","        121.72","    1177853","           143366258.75","       7056","     651103","         55.28"
"KCP","EQ","10-Apr-2017","        119.20","        119.00","        122.50","        118.80","        121.90","        121.30","        120.75","     479805","            57936740.30","       2616","     301464","         62.83"
"KCP","EQ","11-Apr-2017","        121.30","        122.00","        126.90","        120.15","        124.25","        124.95","        124.44","     934372","           116277224.90","       5416","     502756","         53.81"
"KCP","EQ","12-Apr-2017","        124.95","        123.50","        126.05","        118.50","        121.30","        121.40","        121.41","     459481","            55786868.05","       2952","     284769","         61.98"
"KCP","EQ","13-Apr-2017","        121.40","        121.00","        124.90","        118.60","        119.60","        119.75","        121.58","     243678","            29626153.80","       1980","     150782","         61.88"
"KCP","EQ","17-Apr-2017","        119.75","        119.05","        123.00","        118.20","        122.30","        122.40","        121.06","     242598","            29367739.95","       1722","     112383","         46.32"
"KCP","EQ","18-Apr-2017","        122.40","        122.55","        128.45","        122.55","        124.30","        123.45","        125.57","     493321","            61944565.15","       3005","     330479","         66.99"
"KCP","EQ","19-Apr-2017","        123.45","        122.90","        124.35","        121.05","        123.80","        123.55","        122.60","     184999","            22681670.50","       1083","     120163","         64.95"
"KCP","EQ","20-Apr-2017","        123.55","        123.65","        127.60","        123.60","        125.55","        125.00","        125.99","     249633","            31451044.50","       1929","     145634","         58.34"
"KCP","EQ","21-Apr-2017","        125.00","        126.40","        131.00","        125.00","        127.90","        128.20","        127.91","     438436","            56078928.75","       2745","     228207","         52.05"
"KCP","EQ","24-Apr-2017","        128.20","        127.70","        137.70","        127.70","        133.00","        133.70","        133.22","     826427","           110094038.35","       5508","     519955","         62.92"
"KCP","EQ","25-Apr-2017","        133.70","        133.75","        135.40","        128.60","        133.00","        132.30","        132.19","     345654","            45693341.15","       2535","     191721","         55.47"
"KCP","EQ","26-Apr-2017","        132.30","        130.50","        135.60","        126.00","        130.00","        130.25","        131.13","     304930","            39986265.30","       2149","     199039","         65.27"
"KCP","EQ","27-Apr-2017","        130.25","        130.00","        134.40","        128.90","        132.00","        132.30","        131.33","     192326","            25258706.00","       1409","     121348","         63.09"
"KCP","EQ","28-Apr-2017","        132.30","        132.50","        132.60","        129.60","        130.00","        130.00","        130.45","     124434","            16231849.80","        988","      90378","         72.63"
