"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KDDL","EQ","03-Jul-2017","        191.10","        191.05","        197.90","        190.10","        190.50","        191.65","        192.35","       3096","              595515.25","         99","       1799","         58.11"
"KDDL","EQ","04-Jul-2017","        191.65","        195.10","        195.10","        189.00","        192.00","        189.80","        190.66","       1603","              305628.65","         62","        978","         61.01"
"KDDL","EQ","05-Jul-2017","        189.80","        190.00","        194.00","        185.70","        189.00","        188.85","        189.15","       2035","              384928.85","         69","       1552","         76.27"
"KDDL","EQ","06-Jul-2017","        188.85","        194.00","        194.00","        188.95","        192.00","        191.55","        190.08","       6108","             1161029.15","         92","       4938","         80.84"
"KDDL","EQ","07-Jul-2017","        191.55","        191.50","        206.00","        189.80","        202.00","        204.65","        201.49","      11285","             2273773.25","        206","      10265","         90.96"
"KDDL","EQ","10-Jul-2017","        204.65","        197.00","        210.00","        195.10","        204.50","        204.45","        203.14","       4206","              854416.90","         49","       3026","         71.94"
"KDDL","EQ","11-Jul-2017","        204.45","        196.30","        206.00","        196.15","        198.60","        201.45","        202.36","       4493","              909209.60","        124","       3886","         86.49"
"KDDL","EQ","12-Jul-2017","        201.45","        202.45","        202.90","        198.50","        199.00","        201.05","        200.59","       6951","             1394297.60","         86","       5512","         79.30"
"KDDL","EQ","13-Jul-2017","        201.05","        201.05","        208.00","        196.50","        206.00","        205.70","        203.36","      11149","             2267235.25","        189","       9811","         88.00"
"KDDL","EQ","14-Jul-2017","        205.70","        208.00","        208.00","        201.00","        208.00","        206.05","        203.37","       5617","             1142353.05","         80","       4783","         85.15"
"KDDL","EQ","17-Jul-2017","        206.05","        202.00","        205.95","        197.80","        197.80","        199.45","        200.58","       5030","             1008911.40","         90","       3542","         70.42"
"KDDL","EQ","18-Jul-2017","        199.45","        198.00","        202.95","        197.50","        198.00","        198.20","        199.01","       3754","              747075.90","         83","       3281","         87.40"
"KDDL","EQ","19-Jul-2017","        198.20","        202.35","        203.40","        198.15","        200.95","        200.10","        200.10","       3019","              604116.70","         46","       2811","         93.11"
"KDDL","EQ","20-Jul-2017","        200.10","        201.00","        205.00","        197.15","        201.05","        202.20","        200.90","       5034","             1011336.05","        112","       3600","         71.51"
"KDDL","EQ","21-Jul-2017","        202.20","        208.00","        208.00","        199.95","        201.95","        200.75","        201.43","       3319","              668540.00","         43","       2903","         87.47"
