"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KIOCL","EQ","03-Jul-2017","         81.25","         77.20","         85.30","         77.20","         84.00","         85.00","         81.40","      31570","             2569870.70","        332","      16761","         53.09"
"KIOCL","EQ","04-Jul-2017","         85.00","         85.20","         89.25","         85.20","         89.25","         88.50","         88.81","      32497","             2886161.70","        273","      29577","         91.01"
"KIOCL","EQ","05-Jul-2017","         88.50","         92.85","         92.85","         84.10","         89.60","         88.40","         89.64","      15954","             1430121.15","        186","      11813","         74.04"
"KIOCL","EQ","06-Jul-2017","         88.40","         92.45","         92.45","         85.25","         90.90","         89.40","         87.81","      19048","             1672520.90","        162","      16636","         87.34"
"KIOCL","EQ","07-Jul-2017","         89.40","         86.35","         90.40","         86.35","         86.45","         86.60","         87.89","      18930","             1663794.65","        164","      16226","         85.72"
"KIOCL","EQ","10-Jul-2017","         86.60","         85.00","         89.50","         82.50","         84.05","         84.55","         85.80","       2813","              241366.45","         57","       1367","         48.60"
"KIOCL","EQ","11-Jul-2017","         84.55","         85.40","         87.90","         80.35","         82.00","         81.10","         81.76","      29060","             2375992.55","        214","      13972","         48.08"
"KIOCL","EQ","12-Jul-2017","         81.10","         80.00","         82.40","         77.40","         77.40","         77.80","         78.43","      12230","              959223.95","        126","      11627","         95.07"
"KIOCL","EQ","13-Jul-2017","         77.80","         74.50","         79.85","         74.15","         79.75","         78.85","         76.26","       9228","              703739.75","        110","       7067","         76.58"
"KIOCL","EQ","14-Jul-2017","         78.85","         78.00","         82.00","         75.75","         78.50","         77.85","         78.07","       4234","              330558.70","         68","       3347","         79.05"
"KIOCL","EQ","17-Jul-2017","         77.85","         79.10","         80.40","         78.10","         80.40","         79.10","         79.02","      12517","              989127.95","         41","      12011","         95.96"
"KIOCL","EQ","18-Jul-2017","         79.10","         81.95","         82.70","         75.15","         75.15","         75.40","         78.14","      15466","             1208438.60","        113","      13217","         85.46"
"KIOCL","EQ","19-Jul-2017","         75.40","         78.80","         78.80","         71.65","         72.00","         72.70","         72.71","      12875","              936204.35","        195","       7320","         56.85"
"KIOCL","EQ","20-Jul-2017","         72.70","         75.30","         75.30","         72.00","         73.40","         72.50","         73.42","       6210","              455913.65","         63","       5379","         86.62"
"KIOCL","EQ","21-Jul-2017","         72.50","         72.50","         74.00","         69.60","         74.00","         73.80","         72.20","       3457","              249601.70","         60","       2071","         59.91"
"KIOCL","EQ","24-Jul-2017","         73.80","         76.50","         76.50","         72.55","         76.45","         75.30","         74.63","       4023","              300237.70","         67","       2573","         63.96"
"KIOCL","EQ","25-Jul-2017","         75.30","         73.30","         74.85","         72.80","         74.65","         73.55","         73.29","       1152","               84424.90","         32","       1030","         89.41"
"KIOCL","EQ","26-Jul-2017","         73.55","         74.95","         74.95","         71.60","         73.70","         72.05","         72.71","        813","               59112.30","         16","        688","         84.62"
"KIOCL","EQ","27-Jul-2017","         72.05","         72.10","         73.95","         70.15","         73.30","         72.30","         73.24","       1367","              100112.80","         37","       1227","         89.76"
