"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KPIT","EQ","02-Jan-2017","        134.35","        131.45","        136.25","        131.45","        135.55","        135.50","        134.46","     326109","            43849344.20","       4189","      70403","         21.59"
"KPIT","EQ","03-Jan-2017","        135.50","        136.00","        136.35","        134.25","        135.70","        135.55","        135.29","     357852","            48412215.10","       7297","      84088","         23.50"
"KPIT","EQ","04-Jan-2017","        135.55","        135.80","        138.70","        135.55","        137.10","        137.15","        137.53","     573319","            78850718.95","      11619","     175702","         30.65"
"KPIT","EQ","05-Jan-2017","        137.15","        138.00","        139.65","        136.70","        137.00","        137.60","        138.49","     287528","            39820478.05","       8516","     123986","         43.12"
"KPIT","EQ","06-Jan-2017","        137.60","        137.15","        137.50","        134.15","        134.35","        134.70","        135.45","     777732","           105343059.45","      12877","     197407","         25.38"
"KPIT","EQ","09-Jan-2017","        134.70","        134.70","        141.90","        133.25","        137.00","        137.55","        139.14","    1189863","           165560251.20","      21950","     287074","         24.13"
"KPIT","EQ","10-Jan-2017","        137.55","        137.80","        139.10","        136.40","        138.75","        138.65","        138.15","     362966","            50142896.90","      13928","     153208","         42.21"
"KPIT","EQ","11-Jan-2017","        138.65","        138.95","        139.85","        137.00","        138.75","        138.55","        138.27","     667266","            92260727.70","      14821","     470282","         70.48"
"KPIT","EQ","12-Jan-2017","        138.55","        140.00","        140.75","        139.00","        139.10","        139.65","        139.78","     395136","            55230594.45","      11970","     136205","         34.47"
"KPIT","EQ","13-Jan-2017","        139.65","        140.00","        143.45","        136.20","        142.10","        142.05","        141.12","    1080301","           152454703.80","      20633","     318379","         29.47"
"KPIT","EQ","16-Jan-2017","        142.05","        142.35","        144.25","        139.80","        143.50","        143.10","        142.12","     564078","            80168140.15","      10406","     193064","         34.23"
"KPIT","EQ","17-Jan-2017","        143.10","        143.55","        144.65","        141.30","        143.80","        143.50","        142.85","     573184","            81881714.10","      15140","     234103","         40.84"
"KPIT","EQ","18-Jan-2017","        143.50","        144.25","        146.80","        142.20","        145.00","        145.40","        145.31","    1482568","           215429250.75","      19419","     402999","         27.18"
"KPIT","EQ","19-Jan-2017","        145.40","        140.00","        142.60","        135.80","        138.85","        138.60","        138.99","    3656543","           508217812.40","      34763","     825288","         22.57"
"KPIT","EQ","20-Jan-2017","        138.60","        139.00","        139.65","        136.00","        136.90","        137.10","        137.62","     824946","           113527591.70","      23337","     356940","         43.27"
"KPIT","EQ","23-Jan-2017","        137.10","        136.00","        140.95","        133.75","        137.50","        136.50","        136.88","     682089","            93361195.35","      10095","     117652","         17.25"
"KPIT","EQ","24-Jan-2017","        136.50","        136.75","        137.85","        135.20","        135.95","        135.75","        136.00","     607209","            82582586.90","      13154","     230385","         37.94"
"KPIT","EQ","25-Jan-2017","        135.75","        135.75","        137.20","        133.80","        134.95","        134.35","        135.30","     548551","            74218643.60","       8123","     207820","         37.89"
"KPIT","EQ","27-Jan-2017","        134.35","        134.35","        138.40","        134.35","        137.60","        136.30","        136.53","     366682","            50061668.00","       5583","     142182","         38.78"
"KPIT","EQ","30-Jan-2017","        136.30","        137.00","        137.55","        135.05","        135.25","        135.50","        135.84","     230923","            31368225.80","       5101","      85236","         36.91"
"KPIT","EQ","31-Jan-2017","        135.50","        135.00","        135.70","        128.80","        130.15","        130.15","        131.75","     708226","            93309295.85","      10009","     269978","         38.12"
"KPIT","EQ","01-Feb-2017","        130.15","        130.90","        130.90","        128.10","        130.60","        130.60","        129.59","     385078","            49900683.10","       9121","     130264","         33.83"
"KPIT","EQ","02-Feb-2017","        130.60","        130.00","        134.00","        130.00","        133.50","        133.45","        132.65","     450338","            59737976.65","       8051","     193728","         43.02"
"KPIT","EQ","03-Feb-2017","        133.45","        133.70","        135.00","        132.15","        132.90","        132.55","        133.00","     533387","            70940869.05","       9364","     307760","         57.70"
"KPIT","EQ","06-Feb-2017","        132.55","        132.90","        133.80","        131.20","        132.70","        132.20","        132.27","     367339","            48588782.85","      10554","     172460","         46.95"
"KPIT","EQ","07-Feb-2017","        132.20","        133.00","        134.90","        131.55","        132.00","        132.45","        132.82","     403253","            53561860.10","       6737","     176470","         43.76"
"KPIT","EQ","08-Feb-2017","        132.45","        133.45","        134.30","        131.80","        133.50","        133.50","        133.04","     200119","            26622992.20","       3461","      56577","         28.27"
"KPIT","EQ","09-Feb-2017","        133.50","        133.50","        134.65","        132.60","        133.30","        133.50","        133.47","     277884","            37088195.10","       4504","     109066","         39.25"
"KPIT","EQ","10-Feb-2017","        133.50","        133.85","        136.30","        133.10","        134.90","        134.60","        135.12","     870820","           117667816.35","       7103","     398166","         45.72"
"KPIT","EQ","13-Feb-2017","        134.60","        135.80","        135.80","        132.75","        133.05","        133.30","        133.93","     438812","            58768544.10","       4336","     174123","         39.68"
"KPIT","EQ","14-Feb-2017","        133.30","        132.05","        134.60","        131.50","        132.00","        132.30","        132.77","     293544","            38974052.80","       2765","      93673","         31.91"
"KPIT","EQ","15-Feb-2017","        132.30","        133.40","        133.40","        129.10","        129.40","        130.30","        130.96","     337438","            44189952.20","       3090","     108575","         32.18"
"KPIT","EQ","16-Feb-2017","        130.30","        130.30","        132.40","        129.15","        131.85","        131.75","        131.43","     272797","            35854984.80","       4177","      73971","         27.12"
"KPIT","EQ","17-Feb-2017","        131.75","        133.00","        133.50","        130.60","        132.00","        131.65","        131.69","     277609","            36558585.95","       2652","      98400","         35.45"
"KPIT","EQ","20-Feb-2017","        131.65","        132.25","        133.30","        132.05","        132.75","        132.80","        132.85","     255505","            33943510.45","       2381","      95746","         37.47"
